
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               ABRIL      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 96.541         69.393        165.934            0       96.202         66.878        163.080  ALAVA
ALBACETE             796.264         31.734        827.998            0      795.694         30.430        826.124  ALBACETE
ALICANTE                   0         31.071         31.071            0            0         30.687         30.687  ALICANTE
ALMERIA                    0      2.456.381      2.456.381            0            0      2.379.502      2.379.502  ALMERIA
AVILA                 95.787              0         95.787            0       95.341              0         95.341  AVILA
BADAJOZ                5.446         17.733         23.179            0        5.255         16.545         21.800  BADAJOZ
BALEARES                   0      1.897.416      1.897.416            0            0      1.780.088      1.780.088  BALEARES
BARCELONA             89.498      3.174.021      3.263.519            0       88.756      3.042.708      3.131.464  BARCELONA
BURGOS               250.069      1.750.132      2.000.201            0      247.199      1.678.938      1.926.137  BURGOS
CACERES              278.177      4.993.755      5.271.932       31.887      240.848      4.818.978      5.059.826  CACERES
CADIZ                 55.039      6.002.031      6.057.070            0       53.285      5.843.750      5.897.035  CADIZ
CASTELLON             44.360      2.189.395      2.233.755            0       44.031      2.135.576      2.179.607  CASTELLON
CIUDAD REAL                0      1.204.787      1.204.787            0            0      1.081.298      1.081.298  CIUDAD REAL
CORDOBA               11.029        568.152        579.181            0       10.555        517.060        527.615  CORDOBA
LA CORUÑA          1.074.027      5.338.444      6.412.471            0    1.045.280      5.059.928      6.105.208  LA CORUÑA
CUENCA               342.875        101.294        444.169            0      342.116         95.658        437.774  CUENCA
GIRONA                65.862        150.558        216.420            0       63.605        144.996        208.601  GIRONA
GRANADA               11.452        161.157        172.609            0       11.251        155.103        166.354  GRANADA
GUADALAJARA          181.757      3.459.322      3.641.079      149.821       30.416      3.241.872      3.272.288  GUADALAJARA
GUIPUZCOA             15.722        683.842        699.564            0       15.495        650.386        665.881  GUIPUZCOA
HUELVA                     0      2.834.358      2.834.358            0            0      2.750.223      2.750.223  HUELVA
HUESCA               749.292         86.159        835.451      155.631      577.391         81.958        659.349  HUESCA
JAEN                  18.529        140.643        159.172            0       18.026        134.493        152.519  JAEN
LEON                 221.707      4.094.138      4.315.845            0      217.776      3.807.364      4.025.140  LEON
LLEIDA               761.009        175.677        936.686      199.507      542.476        169.924        712.400  LLEIDA
LA RIOJA             229.129      1.346.548      1.575.677            0      229.034      1.314.316      1.543.350  LA RIOJA
LUGO               1.246.469         24.470      1.270.939            0    1.224.102         24.156      1.248.258  LUGO
MADRID                18.370        420.154        438.524            0       17.722        389.942        407.664  MADRID
MALAGA               168.602         75.095        243.697      163.695        1.957         72.725         74.682  MALAGA
MURCIA                33.620      3.427.936      3.461.556            0       33.482      3.359.374      3.392.856  MURCIA
NAVARRA              842.602      1.040.731      1.883.333            0      839.094      1.014.893      1.853.987  NAVARRA
ORENSE             1.567.466        265.471      1.832.937      121.083    1.423.577        262.940      1.686.517  ORENSE
ASTURIAS             958.887      5.534.723      6.493.610       22.989      919.432      5.208.241      6.127.673  ASTURIAS
PALENCIA             140.296        922.737      1.063.033            0      140.092        865.265      1.005.357  PALENCIA
LAS PALMAS            62.998      1.606.029      1.669.027            0       62.998      1.513.863      1.576.861  LAS PALMAS
PONTEVEDRA           156.308         92.993        249.301            0      155.235         89.408        244.643  PONTEVEDRA
SALAMANCA          1.018.095          1.611      1.019.706      378.000      630.396          1.547        631.943  SALAMANCA
S.C.TENERIFE          29.380      1.270.454      1.299.834            0       29.072      1.194.230      1.223.302  S.C.TENERIFE
CANTABRIA            310.986        303.203        614.189      256.741       49.096        283.716        332.812  CANTABRIA
SEGOVIA               13.885          6.860         20.745            0       13.685          6.510         20.195  SEGOVIA
SEVILLA               63.302        161.031        224.333       75.063      -13.497        155.876        142.379  SEVILLA
SORIA                147.603        103.028        250.631            0      146.878         97.399        244.277  SORIA
TARRAGONA            330.217      9.374.234      9.704.451            0      326.563      9.004.350      9.330.913  TARRAGONA
TERUEL                11.093      2.495.061      2.506.154            0       11.021      2.321.026      2.332.047  TERUEL
TOLEDO               101.354      1.334.730      1.436.084            0      100.276      1.289.698      1.389.974  TOLEDO
VALENCIA             296.397      3.201.767      3.498.164      295.984       -4.742      3.082.095      3.077.353  VALENCIA
VALLADOLID            31.727        155.901        187.628            0       31.455        151.819        183.274  VALLADOLID
VIZCAYA               97.642      3.852.813      3.950.455            0       97.034      3.762.285      3.859.319  VIZCAYA
ZAMORA               703.180         14.707        717.887            0      698.202         14.543        712.745  ZAMORA
ZARAGOZA             598.990        667.927      1.266.917            0      594.948        654.241      1.249.189  ZARAGOZA
CEUTA                      0         68.700         68.700            0            0         65.114         65.114  CEUTA
MELILLA                    0         57.332         57.332            0            0         54.217         54.217  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        14.343.040     79.437.839     93.780.879    1.850.401   12.298.110     75.968.132     88.266.242  T O T A L
