
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                ABRIL      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 25.738         38.434         64.172            0       25.653         36.946         62.599  ALAVA
ALBACETE             178.904         14.143        193.047            0      178.646         13.578        192.224  ALBACETE
ALICANTE                   0          6.465          6.465            0            0          6.088          6.088  ALICANTE
ALMERIA                    0        670.448        670.448            0            0        648.798        648.798  ALMERIA
AVILA                 18.770              0         18.770            0       18.617              0         18.617  AVILA
BADAJOZ                  905            636          1.541            0          723            573          1.296  BADAJOZ
BALEARES                   0        463.353        463.353            0            0        431.939        431.939  BALEARES
BARCELONA             24.759        677.341        702.100            0       24.535        648.509        673.044  BARCELONA
BURGOS                62.654        400.736        463.390            0       61.549        384.256        445.805  BURGOS
CACERES               95.274      1.410.494      1.505.768        4.806       88.978      1.360.264      1.449.242  CACERES
CADIZ                 38.324      1.000.253      1.038.577            0       37.474        979.611      1.017.085  CADIZ
CASTELLON             12.036        342.011        354.047            0       11.950        334.565        346.515  CASTELLON
CIUDAD REAL                0        313.273        313.273            0            0        282.562        282.562  CIUDAD REAL
CORDOBA                4.499        166.899        171.398            0        4.380        151.935        156.315  CORDOBA
LA CORUÑA            172.024      1.292.826      1.464.850            0      169.401      1.225.015      1.394.416  LA CORUÑA
CUENCA                83.409         23.922        107.331            0       83.230         22.730        105.960  CUENCA
GIRONA                15.208         39.391         54.599            0       15.017         37.674         52.691  GIRONA
GRANADA                4.501         43.455         47.956            0        4.240         41.981         46.221  GRANADA
GUADALAJARA           47.445        770.805        818.250       42.291        4.653        722.367        727.020  GUADALAJARA
GUIPUZCOA              5.705        175.742        181.447            0        5.643        167.275        172.918  GUIPUZCOA
HUELVA                     0        851.246        851.246            0            0        825.829        825.829  HUELVA
HUESCA               309.825         34.102        343.927       27.788      275.960         31.588        307.548  HUESCA
JAEN                   6.900         31.496         38.396            0        6.640         29.896         36.536  JAEN
LEON                 120.492      1.134.863      1.255.355            0      118.444      1.052.999      1.171.443  LEON
LLEIDA               309.398         46.454        355.852       37.056      266.769         44.878        311.647  LLEIDA
LA RIOJA              37.327        350.979        388.306            0       37.298        343.548        380.846  LA RIOJA
LUGO                 240.546          6.007        246.553            0      237.384          5.912        243.296  LUGO
MADRID                 5.458        100.864        106.322            0        5.378         92.612         97.990  MADRID
MALAGA                22.107         11.451         33.558       22.372         -831         11.155         10.324  MALAGA
MURCIA                 8.780        648.935        657.715            0        8.748        634.565        643.313  MURCIA
NAVARRA              152.853        208.603        361.456            0      152.479        203.985        356.464  NAVARRA
ORENSE               426.192         15.706        441.898       15.399      403.740         14.964        418.704  ORENSE
ASTURIAS             250.164      1.559.071      1.809.235        9.031      237.575      1.464.219      1.701.794  ASTURIAS
PALENCIA              36.960        290.208        327.168            0       36.849        272.235        309.084  PALENCIA
LAS PALMAS            25.416        407.938        433.354            0       25.331        385.511        410.842  LAS PALMAS
PONTEVEDRA            16.005         20.283         36.288            0       15.873         19.622         35.495  PONTEVEDRA
SALAMANCA            368.004            516        368.520       69.327      295.459            495        295.954  SALAMANCA
S.C.TENERIFE           7.682        324.468        332.150            0        7.659        305.356        313.015  S.C.TENERIFE
CANTABRIA             93.006         86.304        179.310        7.350       83.128         80.637        163.765  CANTABRIA
SEGOVIA                6.404         11.872         18.276            0        6.346         10.842         17.188  SEGOVIA
SEVILLA                3.094         33.478         36.572        1.526        1.478         32.425         33.903  SEVILLA
SORIA                 30.534         25.951         56.485            0       30.309         24.589         54.898  SORIA
TARRAGONA            165.744      1.900.407      2.066.151            0      163.599      1.826.964      1.990.563  TARRAGONA
TERUEL                 4.915        618.811        623.726            0        4.885        578.317        583.202  TERUEL
TOLEDO                27.223        372.887        400.110            0       26.761        363.861        390.622  TOLEDO
VALENCIA              19.838        714.295        734.133        5.905       13.323        682.403        695.726  VALENCIA
VALLADOLID             7.345         40.398         47.743            0        7.330         38.577         45.907  VALLADOLID
VIZCAYA               27.483        255.665        283.148            0       27.337        245.417        272.754  VIZCAYA
ZAMORA               191.974              0        191.974            0      190.836              0        190.836  ZAMORA
ZARAGOZA             176.863        169.889        346.752            0      175.666        166.621        342.287  ZARAGOZA
CEUTA                      0         15.651         15.651            0            0         15.651         15.651  CEUTA
MELILLA                    0         13.914         13.914            0            0         13.512         13.512  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.888.687     18.153.339     22.042.026      242.851    3.596.442     17.315.851     20.912.293  T O T A L
