
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                ABRIL      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                15.728      25.786        39.049        80.563            0      15.674      25.786        37.674        79.134
ALBACETE             18.417     409.025        20.774       448.216            0      18.322     407.198        19.949       445.469
ALICANTE                  0           0         8.977         8.977            0           0           0         8.609         8.609
ALMERIA                   0      17.758       415.416       433.174            0           0      17.225       401.662       418.887
AVILA                 9.118      27.915             0        37.033            0       8.974      27.384             0        36.358
BADAJOZ              11.315           0         3.928        15.243            0      11.046           0         3.579        14.625
BALEARES                  0         741       451.120       451.861            0           0         719       423.446       424.165
BARCELONA             6.683      15.520       568.457       590.660            0       6.596      15.416       548.461       570.473
BURGOS                8.372     205.187       430.073       643.632            0       8.336     201.700       411.903       621.939
CACERES             133.624           0     1.009.569     1.143.193       10.213     121.646           0       971.188     1.092.834
CADIZ                     0     160.920     1.302.942     1.463.862            0           0     157.281     1.260.886     1.418.167
CASTELLON             5.612     100.038       435.074       540.724            0       5.565      97.037       424.877       527.479
CIUDAD REAL               0      48.049       144.676       192.725            0           0      47.192       136.587       183.779
CORDOBA               6.091           0        19.715        25.806            0       5.872           0        18.747        24.619
LA CORUÑA           142.917     210.364       891.799     1.245.080            0     141.434     203.919       848.539     1.193.892
CUENCA               12.426     151.327        30.416       194.169            0      12.289     150.587        28.216       191.092
GIRONA                8.571           0        41.529        50.100            0       8.444           0        39.925        48.369
GRANADA              10.365      66.290        48.518       125.173            0      10.132      65.945        46.600       122.677
GUADALAJARA           8.495      98.922         2.727       110.144       35.248     -27.064      98.271         2.655        73.862
GUIPUZCOA             6.294           0        88.494        94.788            0       6.230           0        82.796        89.026
HUELVA                    0       7.953       862.563       870.516            0           0       7.798       840.947       848.745
HUESCA              222.692      60.472        57.200       340.364       20.374     197.564      59.472        54.071       311.107
JAEN                  6.361       3.826        42.784        52.971            0       6.200       3.711        40.216        50.127
LEON                 60.717      17.155       840.037       917.909            0      59.664      16.717       780.786       857.167
LLEIDA              250.054      20.071        80.771       350.896       29.026     216.619      19.469        76.305       312.393
LA RIOJA             14.671      92.544       319.316       426.531            0      14.649      90.974       312.504       418.127
LUGO                170.339     289.197         5.775       465.311            0     168.245     283.849         5.703       457.797
MADRID                5.247           0       105.836       111.083            0       5.159           0        96.996       102.155
MALAGA               22.007      15.936        11.614        49.557       17.984       3.478      15.743        11.275        30.496
MURCIA                3.240      30.559     1.446.682     1.480.481            0       3.210      30.062     1.400.308     1.433.580
NAVARRA              58.612     230.035       457.185       745.832            0      58.052     227.613       447.198       732.863
ORENSE              377.613      66.342        16.194       460.149       28.354     344.886      65.913        15.750       426.549
ASTURIAS            235.361      52.303       885.405     1.173.069        3.194     228.749      50.707       821.341     1.100.797
PALENCIA              6.232      82.874        10.121        99.227            0       6.158      81.497         8.801        96.456
LAS PALMAS                0      26.796       419.362       446.158            0           0      26.796       395.544       422.340
PONTEVEDRA           21.897      74.489        20.632       117.018            0      21.622      73.119        19.887       114.628
SALAMANCA           379.605       8.141           479       388.225       38.393     338.340       8.141           460       346.941
S.C.TENERIFE              0      13.257       337.735       350.992            0           0      13.251       317.171       330.422
CANTABRIA            63.471         836        96.290       160.597            0      62.062         811        89.790       152.663
SEGOVIA                 645      10.580        10.329        21.554            0         598      10.580         9.407        20.585
SEVILLA               7.701      18.226        33.032        58.959        5.824       1.604      17.679        31.855        51.138
SORIA                 1.559     165.316        26.363       193.238            0       1.546     162.476        24.916       188.938
TARRAGONA            72.541      36.206     2.934.895     3.043.642            0      71.793      35.047     2.824.784     2.931.624
TERUEL                2.191      32.627       748.058       782.876            0       2.167      31.648       706.608       740.423
TOLEDO               23.790      18.348       406.672       448.810            0      23.515      18.057       395.535       437.107
VALENCIA             41.775       4.761     1.045.312     1.091.848       31.046       9.834       4.618     1.008.433     1.022.885
VALLADOLID            7.765      28.495        51.160        87.420            0       7.714      27.640        49.128        84.482
VIZCAYA              20.043      16.181       828.745       864.969            0      19.914      15.838       807.688       843.440
ZAMORA              134.440      80.829             0       215.269            0     133.125      79.945             0       213.070
ZARAGOZA             96.327     327.033       516.007       939.367            0      95.369     318.535       504.335       918.239
CEUTA                     0           0        17.053        17.053            0           0           0        16.146        16.146
MELILLA                   0           0        15.598        15.598            0           0           0        14.666        14.666
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        2.710.924   3.369.230    18.602.458    24.682.612      219.656   2.455.332   3.313.366    17.844.853    23.613.551
