
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               ABRIL      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                35.731     104.784       159.848       300.363            0      35.598     104.784       153.719       294.101
ALBACETE             46.721   1.539.603        57.492     1.643.816            0      46.404   1.526.175        55.219     1.627.798
ALICANTE                  0           0        27.677        27.677            0           0           0        26.333        26.333
ALMERIA                   0      35.103     2.054.441     2.089.544            0           0      34.050     1.991.871     2.025.921
AVILA                23.347     122.395             0       145.742            0      22.743     120.257             0       143.000
BADAJOZ              24.551           0        15.517        40.068            0      23.252           0        14.180        37.432
BALEARES                  0       2.151     1.965.394     1.967.545            0           0       2.087     1.838.567     1.840.654
BARCELONA            18.230      62.886     2.667.758     2.748.874            0      17.970      62.507     2.565.998     2.646.475
BURGOS               19.773     727.942     1.731.208     2.478.923            0      19.667     715.547     1.659.990     2.395.204
CACERES             233.616           0     5.306.727     5.540.343       24.098     204.197           0     5.120.837     5.325.034
CADIZ                     0     455.054     5.235.002     5.690.056            0           0     443.734     5.089.019     5.532.753
CASTELLON            16.492     384.477     1.827.288     2.228.257            0      16.328     374.163     1.781.594     2.172.085
CIUDAD REAL               0     144.719       617.692       762.411            0           0     142.759       583.589       726.348
CORDOBA              11.407           0        78.234        89.641            0      10.663           0        74.970        85.633
LA CORUÑA           373.489     868.187     4.362.867     5.604.543            0     368.083     844.927     4.152.511     5.365.521
CUENCA               26.587     598.233       140.639       765.459            0      26.095     594.295       131.974       752.364
GIRONA               25.036           0       169.930       194.966            0      24.513           0       163.098       187.611
GRANADA              20.530     222.357       186.712       429.599            0      20.037     221.306       179.745       421.088
GUADALAJARA          54.217     353.553     2.203.552     2.611.322      149.368     -96.627     349.756     2.064.001     2.317.130
GUIPUZCOA            18.746           0       521.774       540.520            0      18.457           0       492.899       511.356
HUELVA                    0      25.401     3.790.042     3.815.443            0           0      24.920     3.701.307     3.726.227
HUESCA              514.885     227.573       233.852       976.310      103.454     398.216     223.546       220.048       841.810
JAEN                 13.561      11.949       164.037       189.547            0      13.106      11.590       155.604       180.300
LEON                119.461      69.750     4.392.638     4.581.849            0     116.120      68.151     4.074.733     4.259.004
LLEIDA              639.480      74.326       320.501     1.034.307      163.743     461.829      72.097       304.356       838.282
LA RIOJA             32.788     359.931     1.215.623     1.608.342            0      32.745     353.905     1.189.455     1.576.105
LUGO                329.408   1.051.411        24.403     1.405.222            0     324.726   1.028.123        24.081     1.376.930
MADRID               13.334           0       376.739       390.073            0      13.022           0       342.522       355.544
MALAGA               92.975      60.117        78.999       232.091      103.264     -12.247      59.358        76.579       123.690
MURCIA               15.210     121.393     5.756.361     5.892.964            0      15.074     119.182     5.559.975     5.694.231
NAVARRA             147.476     789.850     1.581.109     2.518.435            0     145.856     783.666     1.546.420     2.475.942
ORENSE              838.199     260.101        67.381     1.165.681      102.098     721.677     258.167        65.385     1.045.229
ASTURIAS            485.855     199.463     4.197.937     4.883.255       44.380     433.065     193.018     3.908.999     4.535.082
PALENCIA             14.758     256.234       236.480       507.472            0      14.498     252.269       215.623       482.390
LAS PALMAS                0      74.151     1.719.387     1.793.538            0           0      72.948     1.620.159     1.693.107
PONTEVEDRA           61.182     329.718        70.426       461.326            0      58.419     323.789        67.851       450.059
SALAMANCA         1.133.780      25.099         2.860     1.161.739      228.725     895.230      25.099         2.758       923.087
S.C.TENERIFE              0      45.030     1.376.419     1.421.449            0           0      44.345     1.296.464     1.340.809
CANTABRIA           252.698       2.680       335.977       591.355      193.291      53.048       2.600       311.361       367.009
SEGOVIA               1.090      38.750        48.756        88.596            0         972      38.750        44.741        84.463
SEVILLA              50.260      63.246       104.305       217.811       57.046      -6.345      61.348       100.651       155.654
SORIA                 2.610     529.708       108.746       641.064            0       2.589     520.989       103.183       626.761
TARRAGONA           153.666     145.613    12.603.083    12.902.362            0     151.964     140.888    12.130.958    12.423.810
TERUEL                9.019     106.007     4.318.327     4.433.353            0       8.940     102.827     4.129.742     4.241.509
TOLEDO               65.282      62.088     1.577.624     1.704.994            0      64.406      61.093     1.534.136     1.659.635
VALENCIA            316.150      17.341     4.978.556     5.312.047      333.074     -22.518      16.971     4.813.924     4.808.377
VALLADOLID           23.250      76.812       186.137       286.199            0      23.045      74.507       178.853       276.405
VIZCAYA              47.699      68.114     3.772.166     3.887.979            0      47.326      66.809     3.683.579     3.797.714
ZAMORA              271.121     281.175         8.521       560.817            0     267.588     275.568         8.456       551.612
ZARAGOZA            189.737   1.082.083     1.436.531     2.708.351            0     187.158   1.055.358     1.402.287     2.644.803
CEUTA                     0           0        71.698        71.698            0           0           0        68.040        68.040
MELILLA                   0           0        64.634        64.634            0           0           0        60.900        60.900
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        6.783.407  12.076.558    84.550.007   103.409.972    1.502.541   5.166.889  11.868.228    81.083.244    98.118.361
