
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                AGOSTO     2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 21.597         26.618         48.215            0       21.544         26.080         47.624  ALAVA
ALBACETE             133.388          8.438        141.826            0      133.238          8.043        141.281  ALBACETE
ALICANTE                   0          7.058          7.058            0            0          6.991          6.991  ALICANTE
ALMERIA                    0        635.940        635.940            0            0        612.393        612.393  ALMERIA
AVILA                 15.849              0         15.849            0       15.780              0         15.780  AVILA
BADAJOZ               27.467          2.372         29.839            0       26.990          2.258         29.248  BADAJOZ
BALEARES                   0        644.749        644.749            0            0        607.500        607.500  BALEARES
BARCELONA             12.295        711.588        723.883            0       12.242        678.799        691.041  BARCELONA
BURGOS                69.351        427.084        496.435            0       68.541        407.961        476.502  BURGOS
CACERES              111.480      1.428.928      1.540.408          151      109.895      1.375.808      1.485.703  CACERES
CADIZ                    998      1.275.562      1.276.560            0          998      1.236.486      1.237.484  CADIZ
CASTELLON              5.057        411.522        416.579            0        5.004        399.050        404.054  CASTELLON
CIUDAD REAL                0        202.747        202.747            0            0        179.866        179.866  CIUDAD REAL
CORDOBA               12.633        106.686        119.319            0       12.464         95.446        107.910  CORDOBA
LA CORUÑA            150.292      1.103.779      1.254.071            0      149.519      1.044.647      1.194.166  LA CORUÑA
CUENCA                60.948         14.582         75.530            0       60.839         13.399         74.238  CUENCA
GIRONA                16.721         29.660         46.381            0       16.483         28.394         44.877  GIRONA
GRANADA                1.957         37.811         39.768            0        1.908         36.325         38.233  GRANADA
GUADALAJARA           48.748        788.850        837.598       28.654       19.812        737.921        757.733  GUADALAJARA
GUIPUZCOA                 63        110.940        111.003            0           61        104.694        104.755  GUIPUZCOA
HUELVA                     0        743.534        743.534            0            0        719.250        719.250  HUELVA
HUESCA               182.785         22.009        204.794       44.119      135.971         20.635        156.606  HUESCA
JAEN                  21.777         23.077         44.854            0       21.459         22.291         43.750  JAEN
LEON                  82.993      1.053.620      1.136.613            0       81.273        983.129      1.064.402  LEON
LLEIDA               124.879         42.022        166.901       61.467       59.630         40.342         99.972  LLEIDA
LA RIOJA              52.107        334.212        386.319            0       52.092        325.959        378.051  LA RIOJA
LUGO                 117.317          6.322        123.639            0      116.643          6.217        122.860  LUGO
MADRID                 4.850         65.039         69.889            0        4.798         60.825         65.623  MADRID
MALAGA                60.614         18.652         79.266       61.514       -1.869         18.001         16.132  MALAGA
MURCIA                 7.036        894.197        901.233            0        7.003        872.659        879.662  MURCIA
NAVARRA              224.522        302.389        526.911            0      221.992        296.121        518.113  NAVARRA
ORENSE               111.102         15.456        126.558       30.472       77.612         14.639         92.251  ORENSE
ASTURIAS              70.118      1.513.530      1.583.648       15.897       52.564      1.418.079      1.470.643  ASTURIAS
PALENCIA              48.429        234.194        282.623            0       48.302        218.602        266.904  PALENCIA
LAS PALMAS            29.626        439.679        469.305            0       29.626        415.126        444.752  LAS PALMAS
PONTEVEDRA            18.837         21.830         40.667            0       18.811         20.977         39.788  PONTEVEDRA
SALAMANCA            144.187            579        144.766       65.370       77.031            556         77.587  SALAMANCA
S.C.TENERIFE          10.706        349.519        360.225            0       10.706        330.734        341.440  S.C.TENERIFE
CANTABRIA             55.660         83.204        138.864       67.959      -13.400         78.420         65.020  CANTABRIA
SEGOVIA                1.813          1.743          3.556            0        1.751          1.663          3.414  SEGOVIA
SEVILLA                5.197         42.272         47.469            0        5.066         40.370         45.436  SEVILLA
SORIA                 31.728         16.584         48.312            0       31.509         15.520         47.029  SORIA
TARRAGONA             40.685      2.506.241      2.546.926            0       40.515      2.393.493      2.434.008  TARRAGONA
TERUEL                 2.268        654.681        656.949            0        2.249        605.029        607.278  TERUEL
TOLEDO                 2.391        351.261        353.652            0        2.255        338.835        341.090  TOLEDO
VALENCIA              74.776        842.926        917.702       31.117       42.550        810.832        853.382  VALENCIA
VALLADOLID             1.484         28.550         30.034            0        1.447         28.000         29.447  VALLADOLID
VIZCAYA                7.460        830.275        837.735            0        7.412        807.491        814.903  VIZCAYA
ZAMORA                77.275              0         77.275            0       76.649              0         76.649  ZAMORA
ZARAGOZA             106.548        147.988        254.536            0      106.212        144.168        250.380  ZARAGOZA
CEUTA                      0         18.067         18.067            0            0         17.113         17.113  CEUTA
MELILLA                    0         17.494         17.494            0            0         16.633         16.633  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.408.014     19.596.060     22.004.074      406.720    1.973.177     18.683.770     20.656.947  T O T A L
