
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                AGOSTO     2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 4.573      14.094        25.179        43.846            0       4.562      14.094        23.873        42.529
ALBACETE             10.252     260.975         2.391       273.618            0      10.121     259.719         2.271       272.111
ALICANTE                  0           0         2.864         2.864            0           0           0         2.789         2.789
ALMERIA                   0      24.044       421.597       445.641            0           0      23.323       404.704       428.027
AVILA                10.467      12.852             0        23.319            0      10.332      12.794             0        23.126
BADAJOZ              25.845           0         3.222        29.067            0      25.255           0         2.875        28.130
BALEARES                  0         328       692.407       692.735            0           0         318       651.618       651.936
BARCELONA            11.563       7.887       720.860       740.310            0      11.438       7.837       691.748       711.023
BURGOS                4.158      91.343       393.538       489.039            0       4.135      89.380       375.910       469.425
CACERES             186.180           0     1.415.553     1.601.733          282     184.297           0     1.362.003     1.546.300
CADIZ                     0      78.248     1.260.095     1.338.343            0           0      76.499     1.229.112     1.305.611
CASTELLON             9.763      55.875       797.111       862.749            0       9.698      54.199       779.387       843.284
CIUDAD REAL               0      21.263       231.015       252.278            0           0      21.128       208.160       229.288
CORDOBA              10.167           0        20.217        30.384            0       9.908           0        19.068        28.976
LA CORUÑA            12.345     121.899     1.621.711     1.755.955            0      12.032     120.227     1.564.533     1.696.792
CUENCA                8.714      88.788        22.118       119.620            0       8.623      88.092        21.364       118.079
GIRONA               17.555           0        22.997        40.552            0      17.252           0        21.906        39.158
GRANADA               3.242      39.369        41.061        83.672            0       3.156      39.168        39.621        81.945
GUADALAJARA          13.510      49.112       788.206       850.828       28.836     -15.555      48.659       737.226       770.330
GUIPUZCOA                52           0       105.050       105.102            0          49           0        99.024        99.073
HUELVA                    0       7.033     1.097.451     1.104.484            0           0       6.905     1.072.687     1.079.592
HUESCA              205.942      40.781        55.113       301.836       12.662     189.228      40.546        51.454       281.228
JAEN                 15.823       1.228        15.677        32.728            0      14.722       1.228        14.824        30.774
LEON                 57.577      11.841       841.169       910.587            0      56.747      11.764       776.113       844.624
LLEIDA              181.837      13.094        77.595       272.526       16.909     161.754      12.701        73.372       247.827
LA RIOJA             11.221      38.748       208.661       258.630            0      11.199      38.086       203.990       253.275
LUGO                 63.626     172.063         4.901       240.590            0      62.996     169.452         4.861       237.309
MADRID               13.899           0        74.671        88.570            0      13.731           0        69.869        83.600
MALAGA               19.383      11.941        11.753        43.077       17.812       1.033      11.823        11.359        24.215
MURCIA                6.978      14.244     1.285.183     1.306.405            0       6.938      14.001     1.241.517     1.262.456
NAVARRA              13.958     173.058       519.792       706.808            0      13.890     171.762       509.128       694.780
ORENSE              237.665      31.157         8.805       277.627       19.225     215.368      30.985         8.523       254.876
ASTURIAS             47.227      30.694       862.753       940.674            0      46.172      30.082       802.237       878.491
PALENCIA             28.669      45.329       175.159       249.157            0      28.500      44.695       164.614       237.809
LAS PALMAS                0      47.299       428.859       476.158            0           0      47.299       404.900       452.199
PONTEVEDRA              272      37.998        20.872        59.142            0         262      37.213        20.094        57.569
SALAMANCA            73.051       3.464        10.329        86.844            0      71.867       3.464        10.253        85.584
S.C.TENERIFE              0      20.615       356.872       377.487            0           0      20.601       336.248       356.849
CANTABRIA            29.989           0        91.759       121.748       35.205      -5.553           0        85.619        80.066
SEGOVIA                 675       4.236         9.975        14.886            0         629       4.236         8.933        13.798
SEVILLA              14.322       8.145        46.230        68.697        9.554       4.354       7.901        44.280        56.535
SORIA                 2.326      62.945         9.353        74.624            0       2.308      61.926         8.651        72.885
TARRAGONA            44.703      17.009     2.708.177     2.769.889            0      44.206      16.468     2.595.452     2.656.126
TERUEL                2.524      13.877       743.674       760.075            0       2.502      13.461       704.005       719.968
TOLEDO                1.782       8.173       384.531       394.486            0       1.643       8.066       374.024       383.733
VALENCIA             76.581         993       816.984       894.558       60.294      14.824         963       783.936       799.723
VALLADOLID            2.567      13.936        41.954        58.457            0       2.539      13.518        39.936        55.993
VIZCAYA               6.111       8.290       881.692       896.093            0       6.053       8.084       859.747       873.884
ZAMORA               70.388      42.122             0       112.510            0      69.550      41.648             0       111.198
ZARAGOZA             41.177     189.197       467.522       697.896            0      40.740     185.247       460.433       686.420
CEUTA                     0           0        18.898        18.898            0           0           0        17.895        17.895
MELILLA                   0           0        20.476        20.476            0           0           0        19.301        19.301
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.598.659   1.935.587    20.884.032    24.418.278      200.779   1.373.505   1.909.562    20.015.447    23.298.514
