
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                ABRIL      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 18.142         32.578         50.720            0       18.076         31.436         49.512  ALAVA
ALBACETE             145.655          7.855        153.510            0      145.569          7.370        152.939  ALBACETE
ALICANTE                   0          8.071          8.071            0            0          7.982          7.982  ALICANTE
ALMERIA                    0        535.834        535.834            0            0        517.686        517.686  ALMERIA
AVILA                 24.390              0         24.390            0       24.287              0         24.287  AVILA
BADAJOZ                3.403          3.337          6.740            0        3.287          3.135          6.422  BADAJOZ
BALEARES                   0        418.460        418.460            0            0        389.524        389.524  BALEARES
BARCELONA             22.139        742.498        764.637            0       21.939        715.642        737.581  BARCELONA
BURGOS                51.184        427.386        478.570            0       50.485        409.475        459.960  BURGOS
CACERES              142.023      1.125.946      1.267.969       11.294      129.055      1.084.849      1.213.904  CACERES
CADIZ                 12.624      1.446.189      1.458.813            0       12.279      1.406.219      1.418.498  CADIZ
CASTELLON             11.463        450.464        461.927            0       11.384        438.947        450.331  CASTELLON
CIUDAD REAL                0        259.355        259.355            0            0        228.925        228.925  CIUDAD REAL
CORDOBA                2.407         68.839         71.246            0        2.286         61.636         63.922  CORDOBA
LA CORUÑA            285.710        966.234      1.251.944            0      281.907        910.565      1.192.472  LA CORUÑA
CUENCA                66.345         23.769         90.114            0       66.191         22.515         88.706  CUENCA
GIRONA                25.328         36.967         62.295            0       23.637         35.526         59.163  GIRONA
GRANADA                8.104         38.997         47.101            0        7.982         37.575         45.557  GRANADA
GUADALAJARA           48.176        861.982        910.158       27.974       19.971        806.152        826.123  GUADALAJARA
GUIPUZCOA              3.396        166.752        170.148            0        3.347        158.757        162.104  GUIPUZCOA
HUELVA                     0        569.022        569.022            0            0        550.112        550.112  HUELVA
HUESCA               280.241         18.655        298.896       40.762      234.428         17.538        251.966  HUESCA
JAEN                   3.613         34.299         37.912            0        3.483         32.705         36.188  JAEN
LEON                  82.939        489.856        572.795            0       81.661        453.330        534.991  LEON
LLEIDA               288.052         40.692        328.744       36.917      244.393         39.370        283.763  LLEIDA
LA RIOJA              54.353        494.608        548.961            0       54.325        484.572        538.897  LA RIOJA
LUGO                 333.964          3.839        337.803            0      325.840          3.783        329.623  LUGO
MADRID                 6.154        103.426        109.580            0        6.118         94.704        100.822  MADRID
MALAGA                28.788         10.343         39.131       23.611        4.541         10.034         14.575  MALAGA
MURCIA                 7.271        926.918        934.189            0        7.243        909.862        917.105  MURCIA
NAVARRA              214.259        300.523        514.782            0      214.066        293.922        507.988  NAVARRA
ORENSE               548.906        226.726        775.632       22.116      520.504        225.965        746.469  ORENSE
ASTURIAS             214.808        923.807      1.138.615       10.239      200.989        865.430      1.066.419  ASTURIAS
PALENCIA              41.495        110.056        151.551            0       41.392        103.525        144.917  PALENCIA
LAS PALMAS            21.696        390.799        412.495            0       21.696        369.453        391.149  LAS PALMAS
PONTEVEDRA            41.986         23.176         65.162            0       41.623         22.287         63.910  PONTEVEDRA
SALAMANCA            323.545            557        324.102       64.810      256.163            535        256.698  SALAMANCA
S.C.TENERIFE           8.169        312.150        320.319            0        8.137        293.209        301.346  S.C.TENERIFE
CANTABRIA             54.463         91.144        145.607       46.951        6.510         85.600         92.110  CANTABRIA
SEGOVIA                3.788          1.387          5.175            0        3.686          1.310          4.996  SEGOVIA
SEVILLA               10.696         39.120         49.816       12.638       -2.293         37.912         35.619  SEVILLA
SORIA                 28.766         27.232         55.998            0       28.577         25.797         54.374  SORIA
TARRAGONA             59.051      1.319.633      1.378.684            0       58.337      1.261.676      1.320.013  TARRAGONA
TERUEL                 2.749        405.085        407.834            0        2.729        368.631        371.360  TERUEL
TOLEDO                16.776        299.960        316.736            0       16.546        289.137        305.683  TOLEDO
VALENCIA              33.457        629.200        662.657       19.621       13.133        603.812        616.945  VALENCIA
VALLADOLID             8.422         35.003         43.425            0        8.355         34.268         42.623  VALLADOLID
VIZCAYA                6.925        487.367        494.292            0        6.856        473.187        480.043  VIZCAYA
ZAMORA               239.595              0        239.595            0      238.196              0        238.196  ZAMORA
ZARAGOZA             111.129        177.967        289.096            0      110.340        174.248        284.588  ZARAGOZA
CEUTA                      0         15.752         15.752            0            0         14.861         14.861  CEUTA
MELILLA                    0         12.946         12.946            0            0         12.143         12.143  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.946.545     16.142.761     20.089.306      316.933    3.579.256     15.426.834     19.006.090  T O T A L
