
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               AGOSTO     2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                166.240        186.809        353.049            0      165.675        180.129        345.804  ALAVA
ALBACETE           1.371.497         65.685      1.437.182            0    1.370.394         62.837      1.433.231  ALBACETE
ALICANTE                   0         59.110         59.110            0            0         58.376         58.376  ALICANTE
ALMERIA                    0      5.058.916      5.058.916            0            0      4.894.019      4.894.019  ALMERIA
AVILA                173.294              0        173.294            0      172.420              0        172.420  AVILA
BADAJOZ               95.097         31.020        126.117            0       93.085         29.188        122.273  BADAJOZ
BALEARES                   0      4.292.733      4.292.733            0            0      4.033.110      4.033.110  BALEARES
BARCELONA            148.099      6.526.126      6.674.225            0      147.033      6.263.874      6.410.907  BARCELONA
BURGOS               468.035      3.388.838      3.856.873            0      462.950      3.247.267      3.710.217  BURGOS
CACERES              721.263     10.131.722     10.852.985       35.011      675.541      9.764.399     10.439.940  CACERES
CADIZ                133.784     12.599.438     12.733.222            0      130.028     12.261.448     12.391.476  CADIZ
CASTELLON             77.886      4.166.852      4.244.738            0       77.309      4.060.994      4.138.303  CASTELLON
CIUDAD REAL                0      2.199.597      2.199.597            0            0      1.971.342      1.971.342  CIUDAD REAL
CORDOBA               65.402      1.051.952      1.117.354            0       64.269        951.236      1.015.505  CORDOBA
LA CORUÑA          1.581.913     10.671.105     12.253.018            0    1.548.100     10.114.865     11.662.965  LA CORUÑA
CUENCA               597.965        176.437        774.402            0      596.823        166.119        762.942  CUENCA
GIRONA               151.048        298.502        449.550            0      147.695        286.893        434.588  GIRONA
GRANADA               39.553        314.792        354.345            0       38.684        302.601        341.285  GRANADA
GUADALAJARA          352.365      5.661.849      6.014.214      213.970      136.035      5.287.432      5.423.467  GUADALAJARA
GUIPUZCOA             18.214      1.263.692      1.281.906            0       17.948      1.199.692      1.217.640  GUIPUZCOA
HUELVA                     0      6.004.303      6.004.303            0            0      5.825.296      5.825.296  HUELVA
HUESCA             1.760.907        176.695      1.937.602      307.603    1.417.831        167.690      1.585.521  HUESCA
JAEN                  97.134        262.996        360.130            0       95.387        250.842        346.229  JAEN
LEON                 522.412      9.039.042      9.561.454            0      512.105      8.414.164      8.926.269  LEON
LLEIDA             1.598.406        339.073      1.937.479      423.112    1.136.994        327.038      1.464.032  LLEIDA
LA RIOJA             378.140      3.074.513      3.452.653            0      377.979      3.004.552      3.382.531  LA RIOJA
LUGO               1.830.943         49.044      1.879.987            0    1.799.737         48.308      1.848.045  LUGO
MADRID                41.549        800.027        841.576            0       40.597        737.113        777.710  MADRID
MALAGA               389.678        149.131        538.809      370.999       11.521        143.857        155.378  MALAGA
MURCIA                63.308      7.075.574      7.138.882            0       63.036      6.925.478      6.988.514  MURCIA
NAVARRA            1.491.981      2.378.130      3.870.111            0    1.480.950      2.323.661      3.804.611  NAVARRA
ORENSE             2.382.863        331.623      2.714.486      197.554    2.149.870        326.050      2.475.920  ORENSE
ASTURIAS           1.327.147     10.921.514     12.248.661       74.385    1.228.966     10.255.246     11.484.212  ASTURIAS
PALENCIA             313.781      1.836.591      2.150.372            0      313.035      1.721.632      2.034.667  PALENCIA
LAS PALMAS           184.332      3.268.004      3.452.336            0      184.332      3.084.897      3.269.229  LAS PALMAS
PONTEVEDRA           211.013        185.003        396.016            0      209.805        177.891        387.696  PONTEVEDRA
SALAMANCA          1.836.542          3.735      1.840.277      603.572    1.214.707          3.586      1.218.293  SALAMANCA
S.C.TENERIFE          70.580      2.603.602      2.674.182            0       70.192      2.453.465      2.523.657  S.C.TENERIFE
CANTABRIA            548.644        656.692      1.205.336      519.256       20.104        616.299        636.403  CANTABRIA
SEGOVIA               22.704         12.702         35.406            0       22.268         12.083         34.351  SEGOVIA
SEVILLA              135.716        331.224        466.940      141.353       -9.146        318.505        309.359  SEVILLA
SORIA                260.009        198.908        458.917            0      258.720        187.721        446.441  SORIA
TARRAGONA            503.687     19.819.210     20.322.897            0      498.618     18.998.661     19.497.279  TARRAGONA
TERUEL                21.102      5.231.839      5.252.941            0       20.954      4.864.559      4.885.513  TERUEL
TOLEDO               121.848      2.736.176      2.858.024            0      120.130      2.638.533      2.758.663  TOLEDO
VALENCIA             600.580      6.476.936      7.077.516      519.572       71.025      6.230.977      6.302.002  VALENCIA
VALLADOLID            43.074        289.764        332.838            0       42.624        282.419        325.043  VALLADOLID
VIZCAYA              127.454      7.170.460      7.297.914            0      126.609      6.984.703      7.111.312  VIZCAYA
ZAMORA             1.171.948         16.672      1.188.620            0    1.163.468         16.393      1.179.861  ZAMORA
ZARAGOZA             918.198      1.336.494      2.254.692            0      912.091      1.306.974      2.219.065  ZARAGOZA
CEUTA                      0        138.325        138.325            0            0        130.946        130.946  CEUTA
MELILLA                    0        120.420        120.420            0            0        113.967        113.967  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        25.137.335    161.179.597    186.316.932    3.406.387   21.398.498    154.029.327    175.427.825  T O T A L
