
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                AGOSTO     2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 19.957         30.634         50.591            0       19.910         29.480         49.390  ALAVA
ALBACETE             206.890         21.913        228.803            0      206.655         20.905        227.560  ALBACETE
ALICANTE                   0          3.627          3.627            0            0          3.565          3.565  ALICANTE
ALMERIA                    0        775.124        775.124            0            0        748.941        748.941  ALMERIA
AVILA                 28.351              0         28.351            0       28.306              0         28.306  AVILA
BADAJOZ               19.606          3.820         23.426            0       19.187          3.320         22.507  BADAJOZ
BALEARES                   0        664.656        664.656            0            0        624.985        624.985  BALEARES
BARCELONA              9.923        598.809        608.732            0        9.858        570.808        580.666  BARCELONA
BURGOS               111.650        423.327        534.977            0      109.610        404.895        514.505  BURGOS
CACERES              178.052      1.423.881      1.601.933        1.439      174.936      1.372.114      1.547.050  CACERES
CADIZ                 43.426      1.273.344      1.316.770            0       42.834      1.238.218      1.281.052  CADIZ
CASTELLON              9.812        278.872        288.684            0        9.738        271.690        281.428  CASTELLON
CIUDAD REAL           12.387        326.726        339.113            0       12.387        294.587        306.974  CIUDAD REAL
CORDOBA               12.819        227.867        240.686            0       12.641        206.766        219.407  CORDOBA
LA CORUÑA            180.185      1.268.230      1.448.415            0      176.989      1.201.815      1.378.804  LA CORUÑA
CUENCA                84.098         15.782         99.880            0       83.995         15.003         98.998  CUENCA
GIRONA                17.366         31.577         48.943            0       17.122         30.198         47.320  GIRONA
GRANADA               10.334         60.202         70.536            0       10.177         57.881         68.058  GRANADA
GUADALAJARA           69.970        786.981        856.951       54.741       14.694        736.086        750.780  GUADALAJARA
GUIPUZCOA                687        152.393        153.080            0          667        144.695        145.362  GUIPUZCOA
HUELVA                 2.192        873.466        875.658            0        2.192        852.072        854.264  HUELVA
HUESCA               211.407         40.562        251.969       14.623      193.264         37.748        231.012  HUESCA
JAEN                  17.673         32.271         49.944            0       16.887         31.056         47.943  JAEN
LEON                  89.304      1.197.936      1.287.240            0       88.226      1.112.135      1.200.361  LEON
LLEIDA               137.749         43.702        181.451       30.414      104.026         41.807        145.833  LLEIDA
LA RIOJA              55.556        358.960        414.516            0       55.531        350.581        406.112  LA RIOJA
LUGO                 231.751          3.045        234.796            0      228.905          3.004        231.909  LUGO
MADRID                16.145         76.602         92.747            0       15.786         71.301         87.087  MADRID
MALAGA                33.630         26.015         59.645       26.814        6.279         25.312         31.591  MALAGA
MURCIA                 8.687        691.115        699.802            0        8.669        668.849        677.518  MURCIA
NAVARRA              221.219        299.680        520.899            0      218.978        292.572        511.550  NAVARRA
ORENSE               249.782         19.833        269.615       27.052      219.753         18.913        238.666  ORENSE
ASTURIAS              79.034      1.596.052      1.675.086            0       77.304      1.493.958      1.571.262  ASTURIAS
PALENCIA              53.044        299.866        352.910            0       52.886        280.222        333.108  PALENCIA
LAS PALMAS             1.093        437.084        438.177            0        1.093        410.594        411.687  LAS PALMAS
PONTEVEDRA            22.904         18.379         41.283            0       22.875         17.749         40.624  PONTEVEDRA
SALAMANCA            379.439         18.846        398.285       37.114      339.261         18.748        358.009  SALAMANCA
S.C.TENERIFE           2.208        355.791        357.999            0        2.196        336.761        338.957  S.C.TENERIFE
CANTABRIA             61.591         79.751        141.342       77.884      -17.793         74.968         57.175  CANTABRIA
SEGOVIA                8.691         11.158         19.849            0        8.637         10.131         18.768  SEGOVIA
SEVILLA               20.495         44.428         64.923       11.001        8.049         42.601         50.650  SEVILLA
SORIA                 50.588         14.030         64.618            0       50.264         13.015         63.279  SORIA
TARRAGONA             53.762      2.213.177      2.266.939            0       52.703      2.124.733      2.177.436  TARRAGONA
TERUEL                 2.567        648.632        651.199            0        2.526        615.198        617.724  TERUEL
TOLEDO                10.873        399.251        410.124            0       10.742        385.816        396.558  TOLEDO
VALENCIA              97.886        394.847        492.733       92.075        4.209        369.277        373.486  VALENCIA
VALLADOLID             3.081         40.820         43.901            0        3.046         38.990         42.036  VALLADOLID
VIZCAYA                6.253        804.121        810.374            0        6.201        783.323        789.524  VIZCAYA
ZAMORA               180.689              0        180.689            0      179.723              0        179.723  ZAMORA
ZARAGOZA             104.570        163.825        268.395            0      103.954        160.795        264.749  ZARAGOZA
CEUTA                      0         18.096         18.096            0            0         17.388         17.388  CEUTA
MELILLA                    0         18.030         18.030            0            0         16.973         16.973  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.429.376     19.607.136     23.036.512      373.157    3.016.078     18.692.542     21.708.620  T O T A L
