
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               AGOSTO     2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                71.878     167.881       296.241       536.000            0      71.655     167.863       283.965       523.483
ALBACETE             93.470   2.432.489       119.953     2.645.912            0      92.754   2.413.107       114.926     2.620.787
ALICANTE                171           0        51.803        51.974            0         171           0        49.474        49.645
ALMERIA                   0     108.830     3.261.134     3.369.964            0           0     105.565     3.145.984     3.251.549
AVILA                63.133     173.349             0       236.482            0      61.958     170.652             0       232.610
BADAJOZ             102.047           0        30.517       132.564            0      99.064           0        27.930       126.994
BALEARES                  0       3.253     4.396.518     4.399.771            0           0       3.156     4.120.631     4.123.787
BARCELONA            85.934      94.535     4.996.418     5.176.887            0      85.036      93.940     4.797.242     4.976.218
BURGOS               49.173   1.139.921     3.390.947     4.580.041            0      48.930   1.118.606     3.250.221     4.417.757
CACERES             982.401           0    10.354.974    11.337.375       38.469     931.268           0     9.984.938    10.916.206
CADIZ                     0     802.526    10.382.315    11.184.841            0           0     783.446    10.107.433    10.890.879
CASTELLON            61.717     607.921     4.619.035     5.288.673            0      61.263     590.904     4.507.003     5.159.170
CIUDAD REAL               0     232.994     1.558.319     1.791.313            0           0     230.241     1.429.171     1.659.412
CORDOBA              56.871           0       144.941       201.812            0      55.131           0       137.690       192.821
LA CORUÑA           610.338   1.513.099    10.007.440    12.130.877            0     600.482   1.475.006     9.586.949    11.662.437
CUENCA               86.310     917.049       241.266     1.244.625            0      84.919     910.766       228.445     1.224.130
GIRONA               92.239           0       309.184       401.423            0      90.822           0       296.248       387.070
GRANADA              61.229     364.319       355.458       781.006            0      59.302     362.399       342.590       764.291
GUADALAJARA         104.470     532.466     5.191.503     5.828.439      266.616    -164.702     527.219     4.854.323     5.216.840
GUIPUZCOA            30.030           0       861.424       891.454            0      29.610           0       811.476       841.086
HUELVA                    0      49.865     7.762.212     7.812.077            0           0      48.934     7.579.678     7.628.612
HUESCA            1.827.368     394.429       457.420     2.679.217      162.050   1.625.531     388.389       429.812     2.443.732
JAEN                 70.313      17.042       282.955       370.310            0      65.084      16.606       267.879       349.569
LEON                370.182     105.190     7.434.329     7.909.701            0     362.920     103.183     6.897.629     7.363.732
LLEIDA            2.128.014     125.220       646.578     2.899.812      274.963   1.813.847     121.464       612.554     2.547.865
LA RIOJA             91.053     549.510     2.506.960     3.147.523            0      90.905     540.279     2.453.820     3.085.004
LUGO                777.582   1.787.163        47.599     2.612.344            0     767.895   1.750.830        46.949     2.565.674
MADRID               68.367           0       746.011       814.378            0      67.515           0       680.453       747.968
MALAGA              175.560     110.611       141.191       427.362      156.641      12.887     109.354       136.390       258.631
MURCIA               38.438     173.508    11.515.294    11.727.240            0      38.158     170.424    11.134.728    11.343.310
NAVARRA             286.509   1.454.509     3.498.173     5.239.191            0     283.909   1.443.745     3.422.912     5.150.566
ORENSE            2.035.620     397.961       129.259     2.562.840      199.435   1.803.490     395.162       125.209     2.323.861
ASTURIAS            979.537     310.562     7.671.408     8.961.507       50.291     912.934     301.977     7.151.923     8.366.834
PALENCIA            112.086     426.325       586.643     1.125.054            0     111.225     420.012       543.750     1.074.987
LAS PALMAS                0     224.774     3.414.198     3.638.972            0           0     223.571     3.218.828     3.442.399
PONTEVEDRA           95.418     532.125       155.286       782.829            0      92.169     522.014       149.608       763.791
SALAMANCA         2.427.092      39.483        21.782     2.488.357      309.577   2.073.883      39.483        21.460     2.134.826
S.C.TENERIFE              0     104.367     2.750.862     2.855.229            0           0     103.648     2.593.432     2.697.080
CANTABRIA           472.933       6.240       714.832     1.194.005      352.588     110.549       6.053       667.553       784.155
SEGOVIA               4.900      53.089        90.590       148.579            0       4.533      53.089        82.581       140.203
SEVILLA             120.541      99.812       275.271       495.624      105.162      14.193      96.817       264.732       375.742
SORIA                10.943     808.898       164.700       984.541            0      10.843     795.203       155.453       961.499
TARRAGONA           452.663     228.367    22.889.983    23.571.013            0     447.111     221.163    22.005.061    22.673.335
TERUEL               19.793     158.859     7.196.977     7.375.629            0      19.629     154.097     6.662.330     6.836.056
TOLEDO              109.138      99.604     3.126.985     3.335.727            0     107.501      98.097     3.042.000     3.247.598
VALENCIA            569.720      21.782     8.971.579     9.563.081      553.472       5.431      21.279     8.659.214     8.685.924
VALLADOLID           48.141     128.683       367.522       544.346            0      47.706     124.822       352.377       524.905
VIZCAYA              90.835     106.123     7.231.108     7.428.066            0      90.137     103.913     7.012.274     7.206.324
ZAMORA              835.193     432.702         8.521     1.276.416            0     827.080     425.523         8.456     1.261.059
ZARAGOZA            551.326   1.874.708     3.196.425     5.622.459            0     544.958   1.830.035     3.130.328     5.505.321
CEUTA                     0           0       144.380       144.380            0           0           0       136.866       136.866
MELILLA                   0           0       124.150       124.150            0           0           0       117.218       117.218
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       17.320.676  19.912.143   164.840.573   202.073.392    2.469.264  14.559.686  19.582.036   157.840.096   191.981.818
