
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               DICIEMBRE  2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                244.961        420.434        665.395            0      244.222        405.990        650.212  ALAVA
ALBACETE           2.085.869        113.860      2.199.729            0    2.084.341        109.096      2.193.437  ALBACETE
ALICANTE                   0         94.752         94.752            0            0         92.542         92.542  ALICANTE
ALMERIA                    0      7.184.395      7.184.395            0            0      6.940.219      6.940.219  ALMERIA
AVILA                302.650              0        302.650            0      301.230              0        301.230  AVILA
BADAJOZ              114.514         43.613        158.127            0      111.712         41.129        152.841  BADAJOZ
BALEARES                   0      6.228.257      6.228.257            0            0      5.847.200      5.847.200  BALEARES
BARCELONA            210.998      9.115.047      9.326.045            0      209.590      8.740.288      8.949.878  BARCELONA
BURGOS               801.800      4.973.902      5.775.702            0      791.186      4.761.560      5.552.746  BURGOS
CACERES            2.084.319     14.940.821     17.025.140       52.709    2.010.477     14.402.729     16.413.206  CACERES
CADIZ                225.929     18.596.305     18.822.234            0      219.879     18.093.298     18.313.177  CADIZ
CASTELLON             83.333      5.637.488      5.720.821            0       82.657      5.491.037      5.573.694  CASTELLON
CIUDAD REAL                0      2.855.998      2.855.998            0            0      2.567.817      2.567.817  CIUDAD REAL
CORDOBA               74.600      1.618.854      1.693.454            0       73.051      1.462.625      1.535.676  CORDOBA
LA CORUÑA          2.510.316     15.136.695     17.647.011            0    2.465.841     14.334.035     16.799.876  LA CORUÑA
CUENCA               914.301        247.848      1.162.149            0      912.724        233.472      1.146.196  CUENCA
GIRONA               206.191        456.957        663.148            0      202.148        439.565        641.713  GIRONA
GRANADA               46.925        457.130        504.055            0       45.877        439.442        485.319  GRANADA
GUADALAJARA          628.265      8.684.995      9.313.260      352.633      271.233      8.115.252      8.386.485  GUADALAJARA
GUIPUZCOA             32.984      1.791.950      1.824.934            0       32.611      1.698.971      1.731.582  GUIPUZCOA
HUELVA                     0      9.343.674      9.343.674            0            0      9.065.920      9.065.920  HUELVA
HUESCA             2.752.917        268.524      3.021.441      429.964    2.267.991        253.773      2.521.764  HUESCA
JAEN                 111.603        345.784        457.387            0      109.376        329.362        438.738  JAEN
LEON                 773.261     12.755.342     13.528.603            0      759.040     11.871.953     12.630.993  LEON
LLEIDA             2.270.837        517.138      2.787.975      599.347    1.615.629        497.349      2.112.978  LLEIDA
LA RIOJA             535.228      4.672.251      5.207.479            0      535.033      4.565.632      5.100.665  LA RIOJA
LUGO               3.117.517         70.713      3.188.230            0    3.068.251         69.656      3.137.907  LUGO
MADRID                99.676      1.215.523      1.315.199            0       98.174      1.118.533      1.216.707  MADRID
MALAGA               567.682        214.527        782.209      550.921        5.406        207.775        213.181  MALAGA
MURCIA                92.084      9.836.100      9.928.184            0       91.678      9.613.718      9.705.396  MURCIA
NAVARRA            2.125.085      3.584.648      5.709.733            0    2.111.724      3.502.782      5.614.506  NAVARRA
ORENSE             4.688.205        396.161      5.084.366      285.808    4.341.732        387.506      4.729.238  ORENSE
ASTURIAS           2.030.033     16.178.118     18.208.151      113.221    1.879.266     15.179.187     17.058.453  ASTURIAS
PALENCIA             436.149      2.406.288      2.842.437            0      435.138      2.253.541      2.688.679  PALENCIA
LAS PALMAS           201.703      5.039.356      5.241.059            0      201.703      4.762.486      4.964.189  LAS PALMAS
PONTEVEDRA           381.100        266.891        647.991            0      378.797        256.586        635.383  PONTEVEDRA
SALAMANCA          3.726.987          6.763      3.733.750    1.081.962    2.611.510          6.496      2.618.006  SALAMANCA
S.C.TENERIFE          88.334      3.989.762      4.078.096            0       87.878      3.767.582      3.855.460  S.C.TENERIFE
CANTABRIA            847.664      1.005.629      1.853.293      793.533       38.923        943.621        982.544  CANTABRIA
SEGOVIA               38.865         39.938         78.803            0       38.233         37.345         75.578  SEGOVIA
SEVILLA              160.619        481.850        642.469      141.353       15.268        463.392        478.660  SEVILLA
SORIA                403.218        303.994        707.212            0      401.250        287.109        688.359  SORIA
TARRAGONA            686.841     29.466.000     30.152.841            0      679.727     28.232.062     28.911.789  TARRAGONA
TERUEL                26.767      7.666.934      7.693.701            0       26.565      7.124.550      7.151.115  TERUEL
TOLEDO               269.264      3.971.401      4.240.665            0      266.178      3.833.564      4.099.742  TOLEDO
VALENCIA             938.793      9.794.699     10.733.492      791.996      130.606      9.423.704      9.554.310  VALENCIA
VALLADOLID            59.889        453.637        513.526            0       59.325        440.800        500.125  VALLADOLID
VIZCAYA              162.929     10.653.088     10.816.017            0      161.878     10.373.022     10.534.900  VIZCAYA
ZAMORA             2.219.442         38.227      2.257.669            0    2.205.278         37.598      2.242.876  ZAMORA
ZARAGOZA           1.208.573      2.037.790      3.246.363            0    1.200.141      1.992.528      3.192.669  ZARAGOZA
CEUTA                      0        209.354        209.354            0            0        197.848        197.848  CEUTA
MELILLA                    0        177.738        177.738            0            0        168.230        168.230  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        41.589.220    236.007.143    277.596.363    5.193.447   35.880.477    225.481.477    261.361.954  T O T A L
