
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                DICIEMBRE  2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 15.406         40.827         56.233            0       15.391         39.234         54.625  ALAVA
ALBACETE             294.980         20.299        315.279            0      294.371         19.381        313.752  ALBACETE
ALICANTE                   0          2.901          2.901            0            0          2.869          2.869  ALICANTE
ALMERIA                    0        761.920        761.920            0            0        735.824        735.824  ALMERIA
AVILA                 26.914              0         26.914            0       26.740              0         26.740  AVILA
BADAJOZ                2.535          4.410          6.945            0        2.280          4.112          6.392  BADAJOZ
BALEARES                   0        504.953        504.953            0            0        474.170        474.170  BALEARES
BARCELONA              9.185        706.519        715.704            0        9.116        680.516        689.632  BARCELONA
BURGOS                76.825        454.715        531.540            0       75.501        435.531        511.032  BURGOS
CACERES               97.716      1.456.853      1.554.569        5.363       90.656      1.407.761      1.498.417  CACERES
CADIZ                 41.299      1.709.943      1.751.242            0       40.674      1.665.981      1.706.655  CADIZ
CASTELLON              5.967        376.765        382.732            0        5.902        367.204        373.106  CASTELLON
CIUDAD REAL           13.184        225.578        238.762            0       13.184        213.704        226.888  CIUDAD REAL
CORDOBA                  792        212.738        213.530            0          681        194.591        195.272  CORDOBA
LA CORUÑA            132.088      1.529.588      1.661.676            0      130.263      1.450.697      1.580.960  LA CORUÑA
CUENCA                93.997         36.330        130.327            0       93.883         34.340        128.223  CUENCA
GIRONA                 6.839         34.207         41.046            0        6.692         32.881         39.573  GIRONA
GRANADA                8.085         44.927         53.012            0        7.988         43.210         51.198  GRANADA
GUADALAJARA           66.804        790.934        857.738       49.347       16.875        742.030        758.905  GUADALAJARA
GUIPUZCOA              4.411        164.196        168.607            0        4.369        156.033        160.402  GUIPUZCOA
HUELVA                 2.156      1.006.946      1.009.102            0        2.156        975.758        977.914  HUELVA
HUESCA               128.566         41.700        170.266       38.935       86.439         38.666        125.105  HUESCA
JAEN                   1.722         38.541         40.263            0        1.646         36.452         38.098  JAEN
LEON                  17.421      1.191.444      1.208.865            0       16.560      1.109.081      1.125.641  LEON
LLEIDA               127.135         50.864        177.999       62.032       61.424         49.252        110.676  LLEIDA
LA RIOJA              47.702        227.683        275.385            0       47.698        222.655        270.353  LA RIOJA
LUGO                 176.328          4.093        180.421            0      174.088          4.008        178.096  LUGO
MADRID                 2.983        106.303        109.286            0        2.929         97.751        100.680  MADRID
MALAGA                37.997         22.086         60.083       35.228        2.199         21.418         23.617  MALAGA
MURCIA                10.119      1.356.368      1.366.487            0       10.082      1.304.506      1.314.588  MURCIA
NAVARRA              200.599        465.563        666.162            0      200.176        454.724        654.900  NAVARRA
ORENSE               200.137         10.297        210.434       23.453      173.639          9.846        183.485  ORENSE
ASTURIAS             115.840      1.517.831      1.633.671       16.221       96.727      1.414.209      1.510.936  ASTURIAS
PALENCIA              17.416        319.656        337.072            0       17.389        299.280        316.669  PALENCIA
LAS PALMAS            12.289        448.490        460.779            0       12.289        420.628        432.917  LAS PALMAS
PONTEVEDRA            17.218         36.196         53.414            0       17.179         34.903         52.082  PONTEVEDRA
SALAMANCA            403.672            654        404.326       39.154      361.251            628        361.879  SALAMANCA
S.C.TENERIFE          10.843        359.240        370.083            0       10.843        339.345        350.188  S.C.TENERIFE
CANTABRIA             79.204         40.555        119.759       83.642       -6.455         36.463         30.008  CANTABRIA
SEGOVIA                8.964         11.471         20.435            0        8.950         10.522         19.472  SEGOVIA
SEVILLA               20.001         37.977         57.978       24.719       -4.952         36.675         31.723  SEVILLA
SORIA                 49.191         25.868         75.059            0       48.889         24.489         73.378  SORIA
TARRAGONA             42.920      2.807.464      2.850.384            0       42.367      2.692.864      2.735.231  TARRAGONA
TERUEL                 1.610        887.125        888.735            0        1.594        847.179        848.773  TERUEL
TOLEDO                22.303        454.522        476.825            0       22.084        441.718        463.802  TOLEDO
VALENCIA             109.928      1.420.092      1.530.020      126.812      -18.697      1.375.146      1.356.449  VALENCIA
VALLADOLID             3.796         62.128         65.924            0        3.735         60.146         63.881  VALLADOLID
VIZCAYA               11.118        854.781        865.899            0       11.046        830.950        841.996  VIZCAYA
ZAMORA                99.154          6.415        105.569            0       98.135          6.415        104.550  ZAMORA
ZARAGOZA              91.861        260.872        352.733            0       91.411        254.778        346.189  ZARAGOZA
CEUTA                      0         18.597         18.597            0            0         17.709         17.709  CEUTA
MELILLA                    0         17.051         17.051            0            0         16.134         16.134  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.967.220     23.187.476     26.154.696      504.906    2.427.387     22.184.367     24.611.754  T O T A L
