
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                DICIEMBRE  2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                17.625      26.681        31.255        75.561            0      17.559      26.650        30.134        74.343
ALBACETE              7.149     439.166        13.739       460.054            0       7.073     437.437        13.184       457.694
ALICANTE                  0           0         5.459         5.459            0           0           0         5.227         5.227
ALMERIA                   0      39.927       658.732       698.659            0           0      39.192       639.548       678.740
AVILA                 3.479      22.954             0        26.433            0       3.348      22.595             0        25.943
BADAJOZ                 308           0         4.428         4.736            0         170           0         4.044         4.214
BALEARES                  0         692       534.021       534.713            0           0         671       503.293       503.964
BARCELONA            11.502      22.777       547.978       582.257            0      11.381      22.665       529.170       563.216
BURGOS                8.088     150.689       431.241       590.018            0       8.055     148.757       412.636       569.448
CACERES              69.208           0     1.472.266     1.541.474        1.760      66.331           0     1.422.841     1.489.172
CADIZ                     0      87.986     1.192.630     1.280.616            0           0      86.303     1.155.892     1.242.195
CASTELLON             7.885     154.297       676.960       839.142            0       7.803     149.668       661.718       819.189
CIUDAD REAL               0      35.450       257.313       292.763            0           0      35.268       227.627       262.895
CORDOBA               3.942           0        45.127        49.069            0       3.718           0        36.818        40.536
LA CORUÑA           157.859     211.036     1.281.324     1.650.219            0     155.870     206.653     1.230.148     1.592.671
CUENCA               13.621     152.819        11.408       177.848            0      13.457     152.349        11.059       176.865
GIRONA               10.516           0        30.419        40.935            0      10.312           0        29.076        39.388
GRANADA               4.814      52.153        41.634        98.601            0       4.682      51.803        40.247        96.732
GUADALAJARA          12.883     114.957       792.235       920.075       26.719     -14.315     114.342       743.479       843.506
GUIPUZCOA             6.213           0        82.738        88.951            0       6.127           0        78.900        85.027
HUELVA                    0       7.761       557.521       565.282            0           0       7.613       541.543       549.156
HUESCA              129.862      47.476        44.076       221.414       36.582      89.424      47.476        41.681       178.581
JAEN                  7.334       2.550        39.234        49.118            0       7.230       2.473        37.888        47.591
LEON                 56.013      16.240     1.081.867     1.154.120            0      54.810      16.111     1.002.026     1.072.947
LLEIDA              189.766      26.466        59.658       275.890       56.687     129.277      25.672        56.860       211.809
LA RIOJA             14.410     116.932       211.370       342.712            0      14.384     115.131       206.912       336.427
LUGO                230.109     257.128         1.218       488.455            0     227.484     253.686         1.186       482.356
MADRID                9.791           0        93.169       102.960            0       9.708           0        85.718        95.426
MALAGA               39.592      19.418         2.500        61.510       38.893          24      19.214         2.371        21.609
MURCIA                3.471      18.045     1.148.675     1.170.191            0       3.439      18.045     1.114.139     1.135.623
NAVARRA              49.960     218.502       125.394       393.856            0      49.697     217.333       119.976       387.006
ORENSE              344.618      74.873        18.072       437.563       20.590     319.258      74.472        17.646       411.376
ASTURIAS            309.569      56.369     1.274.200     1.640.138        6.516     298.644      55.325     1.191.784     1.545.753
PALENCIA              2.564      60.390       168.112       231.066            0       2.452      59.588       156.013       218.053
LAS PALMAS                0      11.330       443.215       454.545            0           0      11.330       418.969       430.299
PONTEVEDRA           30.321     100.700        21.716       152.737            0      29.974      98.958        20.912       149.844
SALAMANCA           246.394       7.501        18.651       272.546       83.230     157.758       7.498        18.565       183.821
S.C.TENERIFE              0      11.228       356.536       367.764            0           0      11.223       336.286       347.509
CANTABRIA            87.868       3.731        92.219       183.818       58.779      27.315       3.676        86.313       117.304
SEGOVIA               1.275      10.181         2.820        14.276            0       1.214      10.181         2.701        14.096
SEVILLA              23.582      11.850        24.554        59.986       28.479      -5.393      11.494        23.713        29.814
SORIA                   991     140.208        10.933       152.132            0         985     138.138        10.318       149.441
TARRAGONA           131.870      62.867     2.080.306     2.275.043            0     130.540      60.878     1.986.588     2.178.006
TERUEL                3.591      30.783       618.861       653.235            0       3.568      29.999       571.993       605.560
TOLEDO               23.907      17.311       338.630       379.848            0      23.592      17.015       329.447       370.054
VALENCIA            108.208       4.278     1.378.910     1.491.396      114.153      -7.686       4.150     1.334.395     1.330.859
VALLADOLID            9.082      19.523        48.299        76.904            0       9.026      18.937        47.141        75.104
VIZCAYA              40.951      18.955       806.240       866.146            0      40.723      18.641       784.633       843.997
ZAMORA              118.619      69.683         5.481       193.783            0     117.473      68.740         5.481       191.694
ZARAGOZA            182.612     286.270       461.595       930.477            0     179.509     281.458       451.263       912.230
CEUTA                     0           0        20.423        20.423            0           0           0        19.380        19.380
MELILLA                   0           0        18.770        18.770            0           0           0        17.710        17.710
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        2.731.422   3.240.133    19.684.132    25.655.687      472.388   2.216.000   3.198.808    18.816.592    24.231.400
