
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               ENERO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 27.690          1.588         29.278            0       27.590          1.494         29.084  ALAVA
ALBACETE             148.169          5.501        153.670            0      148.076          5.320        153.396  ALBACETE
ALICANTE                   0          5.662          5.662            0            0          5.576          5.576  ALICANTE
ALMERIA                    0        705.189        705.189            0            0        685.811        685.811  ALMERIA
AVILA                 21.166              0         21.166            0       21.097              0         21.097  AVILA
BADAJOZ                  144          5.028          5.172            0          144          4.710          4.854  BADAJOZ
BALEARES                   0        528.115        528.115            0            0        497.235        497.235  BALEARES
BARCELONA             17.707        864.297        882.004            0       17.545        822.381        839.926  BARCELONA
BURGOS                50.462        455.658        506.120            0       50.375        437.213        487.588  BURGOS
CACERES               30.508      1.444.333      1.474.841        2.730       26.749      1.394.732      1.421.481  CACERES
CADIZ                 13.583      1.845.896      1.859.479            0       13.351      1.801.605      1.814.956  CADIZ
CASTELLON              6.905        657.846        664.751            0        6.832        641.692        648.524  CASTELLON
CIUDAD REAL                0        355.957        355.957            0            0        320.221        320.221  CIUDAD REAL
CORDOBA                1.910        222.874        224.784            0        1.796        204.345        206.141  CORDOBA
LA CORUÑA            197.247      1.630.206      1.827.453            0      194.854      1.550.350      1.745.204  LA CORUÑA
CUENCA                70.533         27.354         97.887            0       70.352         25.900         96.252  CUENCA
GIRONA                11.505         37.631         49.136            0       11.348         36.172         47.520  GIRONA
GRANADA                  355         42.217         42.572            0          342         40.700         41.042  GRANADA
GUADALAJARA           30.696        906.002        936.698       42.452      -12.136        850.322        838.186  GUADALAJARA
GUIPUZCOA              3.944        181.989        185.933            0        3.896        173.140        177.036  GUIPUZCOA
HUELVA                     0        799.562        799.562            0            0        776.045        776.045  HUELVA
HUESCA               155.545         22.938        178.483       52.384       98.437         21.874        120.311  HUESCA
JAEN                   3.299         34.300         37.599            0        3.127         32.721         35.848  JAEN
LEON                  33.064      1.442.205      1.475.269            0       32.370      1.343.606      1.375.976  LEON
LLEIDA               151.932         47.659        199.591       72.025       75.658         46.086        121.744  LLEIDA
LA RIOJA              57.402        217.099        274.501            0       57.382        210.572        267.954  LA RIOJA
LUGO                 136.063          5.346        141.409            0      133.980          5.300        139.280  LUGO
MADRID                 8.963        110.717        119.680            0        8.452        103.710        112.162  MADRID
MALAGA                54.869         22.208         77.077       65.701      -11.566         21.523          9.957  MALAGA
MURCIA                 6.431        869.087        875.518            0        6.397        850.647        857.044  MURCIA
NAVARRA              206.659        275.106        481.765            0      206.051        267.682        473.733  NAVARRA
ORENSE               257.920         11.418        269.338       28.214      223.637         10.918        234.555  ORENSE
ASTURIAS             190.688      1.750.776      1.941.464       12.750      174.852      1.649.996      1.824.848  ASTURIAS
PALENCIA              23.324        307.901        331.225            0       23.324        288.521        311.845  PALENCIA
LAS PALMAS            11.660        423.785        435.445            0       11.660        398.758        410.418  LAS PALMAS
PONTEVEDRA            22.886         23.442         46.328            0       22.768         22.569         45.337  PONTEVEDRA
SALAMANCA            194.911            357        195.268      102.486       90.304            343         90.647  SALAMANCA
S.C.TENERIFE           6.916        328.664        335.580            0        6.913        308.485        315.398  S.C.TENERIFE
CANTABRIA             99.577         43.061        142.638       83.206       15.028         39.369         54.397  CANTABRIA
SEGOVIA                3.195          1.755          4.950            0        3.178          1.661          4.839  SEGOVIA
SEVILLA               22.408         42.219         64.627       27.734       -5.838         40.984         35.146  SEVILLA
SORIA                 27.417         26.157         53.574            0       27.279         24.552         51.831  SORIA
TARRAGONA            100.166      2.823.739      2.923.905            0       98.938      2.715.199      2.814.137  TARRAGONA
TERUEL                 2.624        840.878        843.502            0        2.608        795.266        797.874  TERUEL
TOLEDO                27.786        397.906        425.692            0       27.498        385.109        412.607  TOLEDO
VALENCIA             111.355        878.516        989.871      118.566       -9.054        846.309        837.255  VALENCIA
VALLADOLID             7.795         51.831         59.626            0        7.717         50.500         58.217  VALLADOLID
VIZCAYA               41.052      1.279.870      1.320.922            0       40.822      1.251.803      1.292.625  VIZCAYA
ZAMORA                95.899          6.143        102.042            0       94.894          6.143        101.037  ZAMORA
ZARAGOZA             181.165        159.941        341.106            0      180.101        156.509        336.610  ZARAGOZA
CEUTA                      0         18.542         18.542            0            0         17.602         17.602  CEUTA
MELILLA                    0         15.769         15.769            0            0         15.033         15.033  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.875.495     23.202.240     26.077.735      608.248    2.229.128     22.204.314     24.433.442  T O T A L
