
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               FEBRERO    2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 48.743         76.202        124.945            0       48.609         73.935        122.544  ALAVA
ALBACETE             564.140         29.573        593.713            0      563.368         28.428        591.796  ALBACETE
ALICANTE                   0         22.334         22.334            0            0         21.471         21.471  ALICANTE
ALMERIA                    0      1.357.172      1.357.172            0            0      1.313.910      1.313.910  ALMERIA
AVILA                 56.182              0         56.182            0       55.810              0         55.810  AVILA
BADAJOZ                7.161          7.948         15.109            0        6.905          7.306         14.211  BADAJOZ
BALEARES                   0        960.749        960.749            0            0        900.105        900.105  BALEARES
BARCELONA             23.714      1.309.329      1.333.043            0       23.596      1.251.164      1.274.760  BARCELONA
BURGOS               196.015        564.941        760.956            0      193.690        537.025        730.715  BURGOS
CACERES              452.545      2.781.127      3.233.672       15.658      432.386      2.685.985      3.118.371  CACERES
CADIZ                 49.452      2.291.772      2.341.224            0       48.717      2.227.118      2.275.835  CADIZ
CASTELLON              2.590        704.845        707.435            0        2.542        688.968        691.510  CASTELLON
CIUDAD REAL                0        526.781        526.781            0            0        476.607        476.607  CIUDAD REAL
CORDOBA                3.731        354.435        358.166            0        3.409        318.226        321.635  CORDOBA
LA CORUÑA            656.008      2.599.458      3.255.466            0      648.608      2.462.484      3.111.092  LA CORUÑA
CUENCA               206.799         35.778        242.577            0      206.505         33.347        239.852  CUENCA
GIRONA                18.072         88.948        107.020            0       17.752         85.621        103.373  GIRONA
GRANADA                4.921         78.710         83.631            0        4.739         75.677         80.416  GRANADA
GUADALAJARA          146.436      1.511.123      1.657.559       80.659       64.423      1.418.081      1.482.504  GUADALAJARA
GUIPUZCOA              7.278        286.568        293.846            0        7.129        271.561        278.690  GUIPUZCOA
HUELVA                     0      1.770.727      1.770.727            0            0      1.722.949      1.722.949  HUELVA
HUESCA               312.355         56.461        368.816       51.679      254.453         53.127        307.580  HUESCA
JAEN                   7.259         70.030         77.289            0        7.083         66.585         73.668  JAEN
LEON                 180.229      2.186.331      2.366.560            0      177.715      2.034.056      2.211.771  LEON
LLEIDA               235.192        105.256        340.448       92.213      136.572        100.711        237.283  LLEIDA
LA RIOJA              86.563        682.167        768.730            0       86.536        666.450        752.986  LA RIOJA
LUGO               1.015.983         13.704      1.029.687            0    1.003.258         13.505      1.016.763  LUGO
MADRID                21.671        212.762        234.433            0       21.353        197.322        218.675  MADRID
MALAGA                67.676         32.026         99.702       63.701        2.878         30.869         33.747  MALAGA
MURCIA                19.420      1.374.607      1.394.027            0       19.347      1.339.379      1.358.726  MURCIA
NAVARRA              314.702        493.976        808.678            0      311.652        483.957        795.609  NAVARRA
ORENSE             1.196.436         32.310      1.228.746       36.518    1.133.694         30.968      1.164.662  ORENSE
ASTURIAS             463.722      3.032.095      3.495.817       25.944      430.676      2.847.398      3.278.074  ASTURIAS
PALENCIA              85.153        308.156        393.309            0       84.915        286.303        371.218  PALENCIA
LAS PALMAS            29.687        832.313        862.000            0       29.687        785.863        815.550  LAS PALMAS
PONTEVEDRA            90.807         12.389        103.196            0       90.279         11.950        102.229  PONTEVEDRA
SALAMANCA            841.918          1.242        843.160      112.784      723.022          1.195        724.217  SALAMANCA
S.C.TENERIFE          15.407        653.657        669.064            0       15.402        615.782        631.184  S.C.TENERIFE
CANTABRIA            155.833        157.858        313.691      175.716      -23.725        147.890        124.165  CANTABRIA
SEGOVIA               13.442         23.617         37.059            0       13.363         21.690         35.053  SEGOVIA
SEVILLA                7.142         75.019         82.161            0        6.989         72.379         79.368  SEVILLA
SORIA                 97.425         54.161        151.586            0       96.780         51.376        148.156  SORIA
TARRAGONA            125.029      5.387.404      5.512.433            0      123.845      5.181.150      5.304.995  TARRAGONA
TERUEL                 2.648      1.358.363      1.361.011            0        2.621      1.272.946      1.275.567  TERUEL
TOLEDO                62.147        765.883        828.030            0       61.476        746.372        807.848  TOLEDO
VALENCIA             150.109      1.589.623      1.739.732      156.014       -8.699      1.529.337      1.520.638  VALENCIA
VALLADOLID            13.748         69.460         83.208            0       13.688         66.408         80.096  VALLADOLID
VIZCAYA               11.645      1.707.414      1.719.059            0       11.553      1.667.227      1.678.780  VIZCAYA
ZAMORA               514.660          5.902        520.562            0      511.730          5.902        517.632  ZAMORA
ZARAGOZA             243.916        353.139        597.055            0      242.259        345.875        588.134  ZARAGOZA
CEUTA                      0         34.419         34.419            0            0         34.056         34.056  CEUTA
MELILLA                    0         27.929         27.929            0            0         26.911         26.911  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         8.825.711     39.068.193     47.893.904      810.886    7.908.590     37.334.907     45.243.497  T O T A L
