
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                FEBRERO    2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 4.671      27.567        37.533        69.771            0       4.652      27.567        36.229        68.448
ALBACETE             11.508     283.293        11.105       305.906            0      11.395     280.890        10.661       302.946
ALICANTE                  0           0         6.349         6.349            0           0           0         6.044         6.044
ALMERIA                   0       3.413       657.865       661.278            0           0       3.311       641.003       644.314
AVILA                 5.715      33.652             0        39.367            0       5.588      33.042             0        38.630
BADAJOZ                 454           0         3.664         4.118            0         421           0         3.353         3.774
BALEARES                  0         420       482.622       483.042            0           0         407       452.650       453.057
BARCELONA             5.428       6.623       666.462       678.513            0       5.357       6.559       636.628       648.544
BURGOS                2.661     120.667       418.562       541.890            0       2.642     118.720       401.299       522.661
CACERES              35.903           0     1.371.845     1.407.748        5.992      28.716           0     1.325.149     1.353.865
CADIZ                     0     133.577     1.349.578     1.483.155            0           0     130.243     1.314.993     1.445.236
CASTELLON             2.774      54.794       449.158       506.726            0       2.729      53.150       438.543       494.422
CIUDAD REAL               0      29.517       151.667       181.184            0           0      29.076       144.152       173.228
CORDOBA               1.317           0        10.252        11.569            0       1.204           0         9.818        11.022
LA CORUÑA            58.531     125.742     1.253.840     1.438.113            0      57.437     122.182     1.199.851     1.379.470
CUENCA                5.280     127.728        35.949       168.957            0       5.141     126.911        33.849       165.901
GIRONA                5.248           0        41.577        46.825            0       5.120           0        39.733        44.853
GRANADA               3.111      65.398        45.133       113.642            0       3.034      65.169        43.599       111.802
GUADALAJARA          15.451      49.014       740.964       805.429       37.444     -22.465      47.325       695.235       720.095
GUIPUZCOA             2.549           0       153.990       156.539            0       2.527           0       146.216       148.743
HUELVA                    0       5.492       989.418       994.910            0           0       5.384       967.189       972.573
HUESCA               80.153      29.736        57.305       167.194       34.203      43.362      29.241        53.598       126.201
JAEN                  1.820       3.187        39.945        44.952            0       1.739       3.091        37.685        42.515
LEON                 21.564      14.956     1.234.639     1.271.159            0      20.779      14.507     1.146.131     1.181.417
LLEIDA              111.576       8.599        78.712       198.887       35.905      72.760       8.341        75.025       156.126
LA RIOJA              4.395      58.584       375.552       438.531            0       4.390      57.700       367.417       429.507
LUGO                 35.767     151.741         5.919       193.427            0      35.141     148.178         5.847       189.166
MADRID                2.294           0       100.048       102.342            0       2.262           0        91.020        93.282
MALAGA               21.407      17.826        20.692        59.925       25.365      -4.389      17.574        20.088        33.273
MURCIA                4.437      16.582     1.486.354     1.507.373            0       4.399      16.279     1.434.577     1.455.255
NAVARRA              20.237     129.362       374.461       524.060            0      19.844     128.673       366.720       515.237
ORENSE              131.373      42.878        16.926       191.177       22.750     105.940      42.698        16.434       165.072
ASTURIAS             57.840      24.932     1.197.090     1.279.862       13.596      42.854      24.144     1.116.222     1.183.220
PALENCIA              6.034      36.024        43.124        85.182            0       5.998      35.397        37.606        79.001
LAS PALMAS                0      12.457       418.857       431.314            0           0      12.084       394.420       406.504
PONTEVEDRA            9.016      57.968        18.435        85.419            0       8.883      56.913        17.759        83.555
SALAMANCA           253.488       2.770         1.458       257.716       77.525     173.513       2.770         1.412       177.695
S.C.TENERIFE              0       7.207       334.325       341.532            0           0       6.991       315.286       322.277
CANTABRIA            61.746       1.170        91.768       154.684       67.252      -7.247       1.135        85.373        79.261
SEGOVIA                 149       9.353        10.281        19.783            0         123       9.353         9.381        18.857
SEVILLA              11.300      19.468        23.112        53.880       13.460      -2.558      18.884        22.289        38.615
SORIA                   324      68.906        26.183        95.413            0         322      67.823        24.827        92.972
TARRAGONA            22.088      14.416     3.106.340     3.142.844            0      21.780      13.877     2.988.007     3.023.664
TERUEL                2.016      12.895     1.175.648     1.190.559            0       1.996      12.508     1.123.696     1.138.200
TOLEDO                9.412      17.216       416.389       443.017            0       9.264      16.951       406.319       432.534
VALENCIA             81.761       1.942     1.405.886     1.489.589       94.061     -13.738       1.884     1.362.671     1.350.817
VALLADOLID            4.792       6.733        33.436        44.961            0       4.725       6.531        31.993        43.249
VIZCAYA               5.433      11.806     1.028.695     1.045.934            0       5.370      11.607     1.007.731     1.024.708
ZAMORA               36.710      43.320         2.141        82.171            0      36.087      40.542         2.076        78.705
ZARAGOZA             25.890     126.359       363.152       515.401            0      25.294     123.448       354.617       503.359
CEUTA                     0           0        17.972        17.972            0           0           0        17.093        17.093
MELILLA                   0           0        15.927        15.927            0           0           0        15.063        15.063
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.183.623   2.015.290    22.398.305    25.597.218      427.553     732.391   1.979.060    21.494.577    24.206.028
