
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                JULIO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 15.530         29.220         44.750            0       15.474         27.858         43.332  ALAVA
ALBACETE             126.012          8.945        134.957            0      125.895          8.557        134.452  ALBACETE
ALICANTE                   0          7.884          7.884            0            0          7.800          7.800  ALICANTE
ALMERIA                    0        778.986        778.986            0            0        754.350        754.350  ALMERIA
AVILA                 16.082              0         16.082            0       15.947              0         15.947  AVILA
BADAJOZ               31.797          3.740         35.537            0       31.275          3.546         34.821  BADAJOZ
BALEARES                   0        707.190        707.190            0            0        667.393        667.393  BALEARES
BARCELONA             14.886      1.018.690      1.033.576            0       14.778        974.606        989.384  BARCELONA
BURGOS                41.944        342.146        384.090            0       41.622        327.177        368.799  BURGOS
CACERES              133.612      1.068.832      1.202.444          162      131.897      1.027.190      1.159.087  CACERES
CADIZ                 25.861      2.115.285      2.141.146            0       25.295      2.058.064      2.083.359  CADIZ
CASTELLON             10.414        689.704        700.118            0       10.350        670.805        681.155  CASTELLON
CIUDAD REAL                0        286.018        286.018            0            0        256.836        256.836  CIUDAD REAL
CORDOBA               16.570        169.600        186.170            0       16.395        152.927        169.322  CORDOBA
LA CORUÑA             92.143      1.494.939      1.587.082            0       90.891      1.416.201      1.507.092  LA CORUÑA
CUENCA                58.165         22.850         81.015            0       58.054         21.552         79.606  CUENCA
GIRONA                21.337         36.696         58.033            0       21.008         35.087         56.095  GIRONA
GRANADA                3.689         37.843         41.532            0        3.622         36.285         39.907  GRANADA
GUADALAJARA           33.237        785.987        819.224            0       33.066        734.723        767.789  GUADALAJARA
GUIPUZCOA                167        178.493        178.660            0          163        169.380        169.543  GUIPUZCOA
HUELVA                     0        966.966        966.966            0            0        940.760        940.760  HUELVA
HUESCA               257.319         21.285        278.604       65.390      186.453         19.978        206.431  HUESCA
JAEN                  24.651         28.271         52.922            0       24.273         26.488         50.761  JAEN
LEON                  88.987      1.360.626      1.449.613            0       87.150      1.273.192      1.360.342  LEON
LLEIDA               172.013         39.827        211.840       69.507       97.641         38.308        135.949  LLEIDA
LA RIOJA              26.272        512.123        538.395            0       26.256        501.562        527.818  LA RIOJA
LUGO                 137.562          6.833        144.395            0      135.026          6.687        141.713  LUGO
MADRID                 5.778        106.784        112.562            0        5.687         97.113        102.800  MADRID
MALAGA                73.104         19.674         92.778       76.910       -5.797         18.906         13.109  MALAGA
MURCIA                 7.834        898.196        906.030            0        7.799        873.442        881.241  MURCIA
NAVARRA              131.752        418.554        550.306            0      130.185        409.549        539.734  NAVARRA
ORENSE               216.236         17.055        233.291       14.708      198.417         16.268        214.685  ORENSE
ASTURIAS              62.692      1.596.938      1.659.630       20.576       40.874      1.498.448      1.539.322  ASTURIAS
PALENCIA              37.321        282.946        320.267            0       37.176        265.713        302.889  PALENCIA
LAS PALMAS            43.677        413.346        457.023            0       43.677        390.662        434.339  LAS PALMAS
PONTEVEDRA             8.377         22.931         31.308            0        8.377         22.068         30.445  PONTEVEDRA
SALAMANCA            204.456            418        204.874       51.912      150.367            401        150.768  SALAMANCA
S.C.TENERIFE          15.036        338.742        353.778            0       15.022        319.246        334.268  S.C.TENERIFE
CANTABRIA             56.604         90.445        147.049       69.766      -14.136         85.390         71.254  CANTABRIA
SEGOVIA                1.865          1.536          3.401            0        1.723          1.462          3.185  SEGOVIA
SEVILLA               30.222         45.367         75.589       30.909       -1.396         43.174         41.778  SEVILLA
SORIA                 21.552         26.651         48.203            0       21.465         25.091         46.556  SORIA
TARRAGONA             43.733      2.796.165      2.839.898            0       43.303      2.686.782      2.730.085  TARRAGONA
TERUEL                 2.489        774.971        777.460            0        2.470        720.471        722.941  TERUEL
TOLEDO                 2.123        562.488        564.611            0        1.979        542.973        544.952  TOLEDO
VALENCIA              95.170        796.760        891.930       89.598        3.953        765.123        769.076  VALENCIA
VALLADOLID             2.234         34.529         36.763            0        2.185         33.441         35.626  VALLADOLID
VIZCAYA                6.938      1.151.627      1.158.565            0        6.879      1.117.558      1.124.437  VIZCAYA
ZAMORA               112.103              0        112.103            0      111.188              0        111.188  ZAMORA
ZARAGOZA              63.467        164.805        228.272            0       62.885        160.536        223.421  ZARAGOZA
CEUTA                      0         17.920         17.920            0            0         16.951         16.951  CEUTA
MELILLA                    0         16.879         16.879            0            0         15.992         15.992  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.593.013     23.314.706     25.907.719      489.438    2.066.813     22.284.072     24.350.885  T O T A L
