
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JULIO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                144.643        160.191        304.834            0      144.131        154.049        298.180  ALAVA
ALBACETE           1.238.109         57.247      1.295.356            0    1.237.156         54.794      1.291.950  ALBACETE
ALICANTE                   0         52.052         52.052            0            0         51.385         51.385  ALICANTE
ALMERIA                    0      4.422.976      4.422.976            0            0      4.281.626      4.281.626  ALMERIA
AVILA                157.445              0        157.445            0      156.640              0        156.640  AVILA
BADAJOZ               67.630         28.648         96.278            0       66.095         26.930         93.025  BADAJOZ
BALEARES                   0      3.647.984      3.647.984            0            0      3.425.610      3.425.610  BALEARES
BARCELONA            135.804      5.814.538      5.950.342            0      134.791      5.585.075      5.719.866  BARCELONA
BURGOS               398.684      2.961.754      3.360.438            0      394.409      2.839.306      3.233.715  BURGOS
CACERES              609.783      8.702.794      9.312.577       34.860      565.646      8.388.591      8.954.237  CACERES
CADIZ                132.786     11.323.876     11.456.662            0      129.030     11.024.962     11.153.992  CADIZ
CASTELLON             72.829      3.755.330      3.828.159            0       72.305      3.661.944      3.734.249  CASTELLON
CIUDAD REAL                0      1.996.850      1.996.850            0            0      1.791.476      1.791.476  CIUDAD REAL
CORDOBA               52.769        945.266        998.035            0       51.805        855.790        907.595  CORDOBA
LA CORUÑA          1.431.621      9.567.326     10.998.947            0    1.398.581      9.070.218     10.468.799  LA CORUÑA
CUENCA               537.017        161.855        698.872            0      535.984        152.720        688.704  CUENCA
GIRONA               134.327        268.842        403.169            0      131.212        258.499        389.711  GIRONA
GRANADA               37.596        276.981        314.577            0       36.776        266.276        303.052  GRANADA
GUADALAJARA          303.617      4.872.999      5.176.616      185.316      116.223      4.549.511      4.665.734  GUADALAJARA
GUIPUZCOA             18.151      1.152.752      1.170.903            0       17.887      1.094.998      1.112.885  GUIPUZCOA
HUELVA                     0      5.260.769      5.260.769            0            0      5.106.046      5.106.046  HUELVA
HUESCA             1.578.122        154.686      1.732.808      263.484    1.281.860        147.055      1.428.915  HUESCA
JAEN                  75.357        239.919        315.276            0       73.928        228.551        302.479  JAEN
LEON                 439.419      7.985.422      8.424.841            0      430.832      7.431.035      7.861.867  LEON
LLEIDA             1.473.527        297.051      1.770.578      361.645    1.077.364        286.696      1.364.060  LLEIDA
LA RIOJA             326.033      2.740.301      3.066.334            0      325.887      2.678.593      3.004.480  LA RIOJA
LUGO               1.713.626         42.722      1.756.348            0    1.683.094         42.091      1.725.185  LUGO
MADRID                36.699        734.988        771.687            0       35.799        676.288        712.087  MADRID
MALAGA               329.064        130.479        459.543      309.485       13.390        125.856        139.246  MALAGA
MURCIA                56.272      6.181.377      6.237.649            0       56.033      6.052.819      6.108.852  MURCIA
NAVARRA            1.267.459      2.075.741      3.343.200            0    1.258.958      2.027.540      3.286.498  NAVARRA
ORENSE             2.271.761        316.167      2.587.928      167.082    2.072.258        311.411      2.383.669  ORENSE
ASTURIAS           1.257.029      9.407.984     10.665.013       58.488    1.176.402      8.837.167     10.013.569  ASTURIAS
PALENCIA             265.352      1.602.397      1.867.749            0      264.733      1.503.030      1.767.763  PALENCIA
LAS PALMAS           154.706      2.828.325      2.983.031            0      154.706      2.669.771      2.824.477  LAS PALMAS
PONTEVEDRA           192.176        163.173        355.349            0      190.994        156.914        347.908  PONTEVEDRA
SALAMANCA          1.692.355          3.156      1.695.511      538.202    1.137.676          3.030      1.140.706  SALAMANCA
S.C.TENERIFE          59.874      2.254.083      2.313.957            0       59.486      2.122.731      2.182.217  S.C.TENERIFE
CANTABRIA            492.984        573.488      1.066.472      451.297       33.504        537.879        571.383  CANTABRIA
SEGOVIA               20.891         10.959         31.850            0       20.517         10.420         30.937  SEGOVIA
SEVILLA              130.519        288.952        419.471      141.353      -14.212        278.135        263.923  SEVILLA
SORIA                228.281        182.324        410.605            0      227.211        172.201        399.412  SORIA
TARRAGONA            463.002     17.312.969     17.775.971            0      458.103     16.605.168     17.063.271  TARRAGONA
TERUEL                18.834      4.577.158      4.595.992            0       18.705      4.259.530      4.278.235  TERUEL
TOLEDO               119.457      2.384.915      2.504.372            0      117.875      2.299.698      2.417.573  TOLEDO
VALENCIA             525.804      5.634.010      6.159.814      488.455       28.475      5.420.145      5.448.620  VALENCIA
VALLADOLID            41.590        261.214        302.804            0       41.177        254.419        295.596  VALLADOLID
VIZCAYA              119.994      6.340.185      6.460.179            0      119.197      6.177.212      6.296.409  VIZCAYA
ZAMORA             1.094.673         16.672      1.111.345            0    1.086.819         16.393      1.103.212  ZAMORA
ZARAGOZA             811.650      1.188.506      2.000.156            0      805.879      1.162.806      1.968.685  ZARAGOZA
CEUTA                      0        120.258        120.258            0            0        113.833        113.833  CEUTA
MELILLA                    0        102.926        102.926            0            0         97.334         97.334  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        22.729.321    141.583.537    164.312.858    2.999.667   19.425.321    135.345.557    154.770.878  T O T A L
