
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                JULIO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 6.786      14.845        37.473        59.104            0       6.770      14.845        35.684        57.299
ALBACETE             16.528     209.396        18.538       244.462            0      16.444     208.584        17.489       242.517
ALICANTE                  0           0         7.543         7.543            0           0           0         7.220         7.220
ALMERIA                   0      17.921       548.848       566.769            0           0      17.383       529.643       547.026
AVILA                11.775      10.947             0        22.722            0      11.626      10.898             0        22.524
BADAJOZ              27.879           0         3.747        31.626            0      27.306           0         3.440        30.746
BALEARES                  0         272       679.069       679.341            0           0         264       638.990       639.254
BARCELONA            18.243       6.645       670.308       695.196            0      18.041       6.598       641.272       665.911
BURGOS                5.262     105.929       398.197       509.388            0       5.233     103.763       381.733       490.729
CACERES             197.233           0     1.437.321     1.634.554          653     194.659           0     1.385.090     1.579.749
CADIZ                     0      86.309     1.612.370     1.698.679            0           0      84.518     1.574.893     1.659.411
CASTELLON            16.421      50.147       763.835       830.403            0      16.312      48.643       746.123       811.078
CIUDAD REAL               0      23.486       194.984       218.470            0           0      23.337       178.895       202.232
CORDOBA              15.783           0        19.418        35.201            0      15.499           0        18.110        33.609
LA CORUÑA            32.740     219.445     1.514.432     1.766.617            0      31.955     214.122     1.458.521     1.704.598
CUENCA               13.723      79.670        22.829       116.222            0      13.607      79.150        21.791       114.548
GIRONA               15.532           0        35.378        50.910            0      15.240           0        33.672        48.912
GRANADA               5.733      33.776        42.061        81.570            0       4.764      33.549        40.581        78.894
GUADALAJARA          11.488      44.469       790.830       846.787       35.834     -24.677      44.115       739.650       759.088
GUIPUZCOA             1.550           0       110.005       111.555            0       1.544           0       103.579       105.123
HUELVA                    0       7.740     1.048.415     1.056.155            0           0       7.597     1.025.476     1.033.073
HUESCA              338.467      43.897        58.111       440.475       17.418     314.192      43.562        54.629       412.383
JAEN                 20.983       1.236        27.935        50.154            0      19.465       1.236        26.540        47.241
LEON                 72.471       9.539     1.195.749     1.277.759            0      71.567       9.473     1.115.811     1.196.851
LLEIDA              339.209      12.909        85.150       437.268       33.756     299.450      12.522        80.562       392.534
LA RIOJA             14.047      43.620       314.978       372.645            0      14.021      42.882       308.286       365.189
LUGO                113.972     257.727         7.275       378.974            0     112.550     253.618         7.162       373.330
MADRID               16.151           0        97.193       113.344            0      16.001           0        87.974       103.975
MALAGA               23.035      13.989        17.099        54.123            0      22.065      13.858        16.399        52.322
MURCIA                6.283      11.430     1.385.036     1.402.749            0       6.241      11.232     1.336.112     1.353.585
NAVARRA              20.109     173.856       526.276       720.241            0      20.014     172.913       515.580       708.507
ORENSE              195.151      34.159        18.098       247.408       15.072     176.918      33.950        17.390       228.258
ASTURIAS             54.730      35.907       973.515     1.064.152        4.200      49.453      35.591       909.840       994.884
PALENCIA             28.958      47.201       147.949       224.108            0      28.785      46.693       139.007       214.485
LAS PALMAS                0      46.683       429.486       476.169            0           0      46.683       404.004       450.687
PONTEVEDRA            1.067      57.198        21.124        79.389            0       1.053      55.852        20.353        77.258
SALAMANCA           251.539       3.307         6.619       261.465        7.555     241.945       3.307         6.554       251.806
S.C.TENERIFE              0      18.744       337.190       355.934            0           0      18.730       317.383       336.113
CANTABRIA            62.339           0        92.800       155.139       45.119      16.407           0        87.235       103.642
SEGOVIA                 763       3.196        10.050        14.009            0         722       3.196         9.031        12.949
SEVILLA              20.503       8.587        45.955        75.045       14.389       5.696       8.329        44.144        58.169
SORIA                 2.525      58.987        10.327        71.839            0       2.506      57.971         9.590        70.067
TARRAGONA            49.897      18.185     2.300.680     2.368.762            0      49.430      17.611     2.200.634     2.267.675
TERUEL                3.060      12.991     1.106.890     1.122.941            0       3.037      12.601       881.163       896.801
TOLEDO                2.001      10.280       403.080       415.361            0       1.869      10.175       392.194       404.238
VALENCIA             63.755         781       993.417     1.057.953       72.578     -10.253         758       956.017       946.522
VALLADOLID            4.400      14.277        45.424        64.101            0       4.388      13.849        43.556        61.793
VIZCAYA               6.343       9.140     1.081.577     1.097.060            0       6.284       8.909     1.056.924     1.072.117
ZAMORA              113.684      41.002             0       154.686            0     112.828      40.563             0       153.391
ZARAGOZA             47.946     204.511       334.166       586.623            0      46.907     200.264       327.619       574.790
CEUTA                     0           0        18.857        18.857            0           0           0        17.875        17.875
MELILLA                   0           0         5.834         5.834            0           0           0         5.834         5.834
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        2.270.064   2.104.336    22.053.441    26.427.841      246.574   1.987.864   2.073.694    20.977.254    25.038.812
