
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JUNIO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                129.113        130.971        260.084            0      128.657        126.191        254.848  ALAVA
ALBACETE           1.112.097         48.302      1.160.399            0    1.111.261         46.237      1.157.498  ALBACETE
ALICANTE                   0         44.168         44.168            0            0         43.585         43.585  ALICANTE
ALMERIA                    0      3.643.990      3.643.990            0            0      3.527.276      3.527.276  ALMERIA
AVILA                141.363              0        141.363            0      140.693              0        140.693  AVILA
BADAJOZ               35.833         24.908         60.741            0       34.820         23.384         58.204  BADAJOZ
BALEARES                   0      2.940.794      2.940.794            0            0      2.758.217      2.758.217  BALEARES
BARCELONA            120.918      4.795.848      4.916.766            0      120.013      4.610.469      4.730.482  BARCELONA
BURGOS               356.740      2.619.608      2.976.348            0      352.787      2.512.129      2.864.916  BURGOS
CACERES              476.171      7.633.962      8.110.133       34.698      433.749      7.361.401      7.795.150  CACERES
CADIZ                106.925      9.208.591      9.315.516            0      103.735      8.966.898      9.070.633  CADIZ
CASTELLON             62.415      3.065.626      3.128.041            0       61.955      2.991.139      3.053.094  CASTELLON
CIUDAD REAL                0      1.710.832      1.710.832            0            0      1.534.640      1.534.640  CIUDAD REAL
CORDOBA               36.199        775.666        811.865            0       35.410        702.863        738.273  CORDOBA
LA CORUÑA          1.339.478      8.072.387      9.411.865            0    1.307.690      7.654.017      8.961.707  LA CORUÑA
CUENCA               478.852        139.005        617.857            0      477.930        131.168        609.098  CUENCA
GIRONA               112.990        232.146        345.136            0      110.204        223.412        333.616  GIRONA
GRANADA               33.907        239.138        273.045            0       33.154        229.991        263.145  GRANADA
GUADALAJARA          270.380      4.087.012      4.357.392      185.316       83.157      3.814.788      3.897.945  GUADALAJARA
GUIPUZCOA             17.984        974.259        992.243            0       17.724        925.618        943.342  GUIPUZCOA
HUELVA                     0      4.293.803      4.293.803            0            0      4.165.286      4.165.286  HUELVA
HUESCA             1.320.803        133.401      1.454.204      198.094    1.095.407        127.077      1.222.484  HUESCA
JAEN                  50.706        211.648        262.354            0       49.655        202.063        251.718  JAEN
LEON                 350.432      6.624.796      6.975.228            0      343.682      6.157.843      6.501.525  LEON
LLEIDA             1.301.514        257.224      1.558.738      292.138      979.723        248.388      1.228.111  LLEIDA
LA RIOJA             299.761      2.228.178      2.527.939            0      299.631      2.177.031      2.476.662  LA RIOJA
LUGO               1.576.064         35.889      1.611.953            0    1.548.068         35.404      1.583.472  LUGO
MADRID                30.921        628.204        659.125            0       30.112        579.175        609.287  MADRID
MALAGA               255.960        110.805        366.765      232.575       19.187        106.950        126.137  MALAGA
MURCIA                48.438      5.283.181      5.331.619            0       48.234      5.179.377      5.227.611  MURCIA
NAVARRA            1.135.707      1.657.187      2.792.894            0    1.128.773      1.617.991      2.746.764  NAVARRA
ORENSE             2.055.525        299.112      2.354.637      152.374    1.873.841        295.143      2.168.984  ORENSE
ASTURIAS           1.194.337      7.811.046      9.005.383       37.912    1.135.528      7.338.719      8.474.247  ASTURIAS
PALENCIA             228.031      1.319.451      1.547.482            0      227.557      1.237.317      1.464.874  PALENCIA
LAS PALMAS           111.029      2.414.979      2.526.008            0      111.029      2.279.109      2.390.138  LAS PALMAS
PONTEVEDRA           183.799        140.242        324.041            0      182.617        134.846        317.463  PONTEVEDRA
SALAMANCA          1.487.899          2.738      1.490.637      486.290      987.309          2.629        989.938  SALAMANCA
S.C.TENERIFE          44.838      1.915.341      1.960.179            0       44.464      1.803.485      1.847.949  S.C.TENERIFE
CANTABRIA            436.380        483.043        919.423      381.531       47.640        452.489        500.129  CANTABRIA
SEGOVIA               19.026          9.423         28.449            0       18.794          8.958         27.752  SEGOVIA
SEVILLA              100.297        243.585        343.882      110.444      -12.816        234.961        222.145  SEVILLA
SORIA                206.729        155.673        362.402            0      205.746        147.110        352.856  SORIA
TARRAGONA            419.269     14.516.804     14.936.073            0      414.800     13.918.386     14.333.186  TARRAGONA
TERUEL                16.345      3.802.187      3.818.532            0       16.235      3.539.059      3.555.294  TERUEL
TOLEDO               117.334      1.822.427      1.939.761            0      115.896      1.756.725      1.872.621  TOLEDO
VALENCIA             430.634      4.837.250      5.267.884      398.857       24.522      4.655.022      4.679.544  VALENCIA
VALLADOLID            39.356        226.685        266.041            0       38.992        220.978        259.970  VALLADOLID
VIZCAYA              113.056      5.188.558      5.301.614            0      112.318      5.059.654      5.171.972  VIZCAYA
ZAMORA               982.570         16.672        999.242            0      975.631         16.393        992.024  ZAMORA
ZARAGOZA             748.183      1.023.701      1.771.884            0      742.994      1.002.270      1.745.264  ZARAGOZA
CEUTA                      0        102.338        102.338            0            0         96.882         96.882  CEUTA
MELILLA                    0         86.047         86.047            0            0         81.342         81.342  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        20.136.308    118.268.831    138.405.139    2.510.229   17.358.508    113.061.485    130.419.993  T O T A L
