
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                JUNIO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 14.713         34.357         49.070            0       14.662         32.787         47.449  ALAVA
ALBACETE             174.840         22.456        197.296            0      174.642         21.513        196.155  ALBACETE
ALICANTE                   0          7.235          7.235            0            0          6.856          6.856  ALICANTE
ALMERIA                    0        673.626        673.626            0            0        651.478        651.478  ALMERIA
AVILA                 23.796              0         23.796            0       23.610              0         23.610  AVILA
BADAJOZ               15.359          4.538         19.897            0       15.059          4.209         19.268  BADAJOZ
BALEARES                   0        566.178        566.178            0            0        533.334        533.334  BALEARES
BARCELONA             11.696        773.601        785.297            0       11.624        739.065        750.689  BARCELONA
BURGOS                69.771        406.732        476.503            0       69.165        388.985        458.150  BURGOS
CACERES              144.483      1.395.607      1.540.090        4.770      138.100      1.345.515      1.483.615  CACERES
CADIZ                 40.531      1.558.226      1.598.757            0       39.979      1.519.033      1.559.012  CADIZ
CASTELLON             13.504        315.511        329.015            0       13.425        306.843        320.268  CASTELLON
CIUDAD REAL            9.299        189.233        198.532            0        9.299        177.756        187.055  CIUDAD REAL
CORDOBA               12.145        202.794        214.939            0       11.986        184.530        196.516  CORDOBA
LA CORUÑA            177.021      1.351.416      1.528.437            0      175.411      1.280.886      1.456.297  LA CORUÑA
CUENCA                69.804         29.390         99.194            0       69.701         27.674         97.375  CUENCA
GIRONA                24.728         40.372         65.100            0       24.418         38.632         63.050  GIRONA
GRANADA               10.647         53.770         64.417            0       10.422         51.180         61.602  GRANADA
GUADALAJARA           63.890        137.906        201.796       44.960       18.688        116.033        134.721  GUADALAJARA
GUIPUZCOA              2.157        157.869        160.026            0        2.134        149.769        151.903  GUIPUZCOA
HUELVA                 2.052      1.011.775      1.013.827            0        2.052        985.146        987.198  HUELVA
HUESCA               332.775         41.329        374.104       21.581      304.942         38.388        343.330  HUESCA
JAEN                  13.421         22.709         36.130            0       13.134         21.315         34.449  JAEN
LEON                  65.194      1.028.054      1.093.248            0       64.106        949.830      1.013.936  LEON
LLEIDA               332.974         45.983        378.957       48.651      278.801         44.194        322.995  LLEIDA
LA RIOJA              35.067        345.419        380.486            0       35.042        337.925        372.967  LA RIOJA
LUGO                 240.864          4.076        244.940            0      237.698          4.039        241.737  LUGO
MADRID                15.954        105.869        121.823            0       15.619         97.093        112.712  MADRID
MALAGA                33.559         20.630         54.189       21.580       11.286         19.968         31.254  MALAGA
MURCIA                 9.960        832.052        842.012            0        9.924        812.278        822.202  MURCIA
NAVARRA              141.290        301.347        442.637            0      141.179        295.209        436.388  NAVARRA
ORENSE               260.916         18.673        279.589          674      256.881         17.819        274.700  ORENSE
ASTURIAS             114.494      1.629.392      1.743.886        4.322      108.258      1.528.442      1.636.700  ASTURIAS
PALENCIA              35.314        252.977        288.291            0       35.199        235.952        271.151  PALENCIA
LAS PALMAS            26.243        411.389        437.632            0       26.243        389.550        415.793  LAS PALMAS
PONTEVEDRA            27.967         18.750         46.717            0       27.770         18.105         45.875  PONTEVEDRA
SALAMANCA            383.990         18.461        402.451       73.535      307.292         18.375        325.667  SALAMANCA
S.C.TENERIFE           9.448        331.232        340.680            0        9.441        312.166        321.607  S.C.TENERIFE
CANTABRIA             77.752         85.431        163.183       54.741       21.733         80.567        102.300  CANTABRIA
SEGOVIA                6.901         11.876         18.777            0        6.877         10.849         17.726  SEGOVIA
SEVILLA               13.276         39.131         52.407        7.163        5.777         37.525         43.302  SEVILLA
SORIA                 38.249         23.775         62.024            0       38.012         22.397         60.409  SORIA
TARRAGONA             65.834      2.236.001      2.301.835            0       64.847      2.151.559      2.216.406  TARRAGONA
TERUEL                 2.771        832.804        835.575            0        2.751        794.673        797.424  TERUEL
TOLEDO                23.376        483.626        507.002            0       23.174        470.984        494.158  TOLEDO
VALENCIA              67.396        223.426        290.822       40.650       25.621        217.845        243.466  VALENCIA
VALLADOLID             6.757         39.462         46.219            0        6.680         37.553         44.233  VALLADOLID
VIZCAYA                9.727        909.383        919.110            0        9.677        885.807        895.484  VIZCAYA
ZAMORA               211.026              0        211.026            0      209.794              0        209.794  ZAMORA
ZARAGOZA              94.055        188.846        282.901            0       93.454        185.525        278.979  ZARAGOZA
CEUTA                      0         16.999         16.999            0            0         16.230         16.230  CEUTA
MELILLA                    0         16.250         16.250            0            0         15.213         15.213  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.576.986     19.467.944     23.044.930      322.627    3.215.589     18.628.599     21.844.188  T O T A L
