
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                JUNIO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                11.885      18.130        37.203        67.218            0      11.854      18.118        35.593        65.565
ALBACETE             13.156     184.557        19.549       217.262            0      13.047     181.662        18.795       213.504
ALICANTE                171           0         5.697         5.868            0         171           0         5.419         5.590
ALMERIA                   0      14.122        93.031       107.153            0           0      13.698        84.476        98.174
AVILA                 8.711      12.894             0        21.605            0       8.591      12.507             0        21.098
BADAJOZ              11.523           0         4.330        15.853            0      11.214           0         4.058        15.272
BALEARES                  0         290       552.528       552.818            0           0         281       517.698       517.979
BARCELONA            23.283       7.319       457.408       488.010            0      23.114       7.246       434.834       465.194
BURGOS                9.909     117.193       425.336       552.438            0       9.867     114.476       407.880       532.223
CACERES             174.050           0     1.402.277     1.576.327        4.376     167.847           0     1.351.562     1.519.409
CADIZ                     0      95.266     1.061.788     1.157.054            0           0      93.031     1.034.283     1.127.314
CASTELLON            11.326      61.852       649.240       722.418            0      11.262      59.996       632.595       703.853
CIUDAD REAL               0      22.291       276.900       299.191            0           0      21.907       246.582       268.489
CORDOBA              14.539           0        14.657        29.196            0      14.275           0        13.745        28.020
LA CORUÑA            75.428     203.689     1.441.880     1.720.997            0      74.205     197.792     1.387.423     1.659.420
CUENCA               11.019      74.421        24.828       110.268            0      10.920      73.741        24.028       108.689
GIRONA               19.387           0        37.067        56.454            0      19.231           0        35.541        54.772
GRANADA              10.892      30.208        40.177        81.277            0      10.749      30.093        38.727        79.569
GUADALAJARA          13.449      40.095       766.820       820.364       29.423     -16.219      39.771       717.662       741.214
GUIPUZCOA             5.024           0        67.904        72.928            0       4.981           0        62.744        67.725
HUELVA                    0       4.728       942.589       947.317            0           0       4.644       918.015       922.659
HUESCA              393.958      43.983        52.446       490.387       16.028     370.239      43.159        49.381       462.779
JAEN                 13.013         863        35.784        49.660            0      11.008         837        33.683        45.528
LEON                 60.241       7.259       513.540       581.040            0      59.064       7.041       473.816       539.921
LLEIDA              521.677       9.791        78.861       610.329       38.139     474.936       9.497        74.602       559.035
LA RIOJA             16.089      67.862       320.105       404.056            0      16.061      66.719       313.476       396.256
LUGO                104.456     170.109         5.319       279.884            0     103.176     166.043         5.236       274.455
MADRID               16.375           0        91.977       108.352            0      16.244           0        83.316        99.560
MALAGA               26.901      11.321        15.969        54.191       25.270        -283      11.219        15.336        26.272
MURCIA                4.978      11.122     1.416.864     1.432.964            0       4.948      10.943     1.372.678     1.388.569
NAVARRA              57.011     203.950       475.214       736.175            0      56.626     202.335       465.160       724.121
ORENSE              346.000      29.384        16.821       392.205       31.238     309.904      29.183        16.288       355.375
ASTURIAS            152.953      19.226       813.210       985.389          759     149.869      18.546       760.963       929.378
PALENCIA             20.268      48.786        22.717        91.771            0      20.134      47.949        20.458        88.541
LAS PALMAS                0      30.188       411.407       441.595            0           0      30.188       387.667       417.855
PONTEVEDRA           13.018      59.005        21.460        93.483            0      12.864      57.895        20.678        91.437
SALAMANCA           444.942       3.751           836       449.529       42.227     399.522       3.751           803       404.076
S.C.TENERIFE              0      10.800       333.310       344.110            0           0      10.798       315.860       326.658
CANTABRIA            70.629       1.172        85.042       156.843       45.120      24.387       1.137        80.705       106.229
SEGOVIA               1.173       2.767        10.289        14.229            0       1.111       2.767         9.347        13.225
SEVILLA              24.668       8.673        42.253        75.594       15.706       8.544       8.413        40.562        57.519
SORIA                 1.709      85.935        10.011        97.655            0       1.689      84.224         9.318        95.231
TARRAGONA           112.527      25.480     2.338.585     2.476.592            0     111.010      24.608     2.247.356     2.382.974
TERUEL                3.125      11.433       493.966       508.524            0       3.106      11.090       452.236       466.432
TOLEDO               17.297       9.209       397.672       424.178            0      17.095       9.065       387.309       413.469
VALENCIA             64.795         846     1.060.194     1.125.835       55.159       8.301         821     1.021.814     1.030.936
VALLADOLID            8.747      15.402        42.549        66.698            0       8.622      14.940        40.657        64.219
VIZCAYA              17.104      11.072       814.867       843.043            0      16.993      10.800       753.186       780.979
ZAMORA              178.489      30.566             0       209.055            0     177.043      30.279             0       207.322
ZARAGOZA            143.303     252.788       484.631       880.722            0     142.037     246.168       475.544       863.749
CEUTA                     0           0        17.427        17.427            0           0           0        16.493        16.493
MELILLA                   0           0        17.185        17.185            0           0           0        16.166        16.166
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        3.249.198   2.069.798    18.761.720    24.080.716      303.445   2.899.359   2.029.378    17.931.754    22.860.491
