
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JUNIO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                60.519     138.942       233.589       433.050            0      60.323     138.924       224.408       423.655
ALBACETE             66.690   1.962.118        99.024     2.127.832            0      66.189   1.944.804        95.166     2.106.159
ALICANTE                171           0        41.396        41.567            0         171           0        39.465        39.636
ALMERIA                   0      66.865     2.290.689     2.357.554            0           0      64.859     2.211.637     2.276.496
AVILA                40.891     149.550             0       190.441            0      40.000     146.960             0       186.960
BADAJOZ              48.323           0        23.548        71.871            0      46.503           0        21.615        68.118
BALEARES                  0       2.653     3.025.042     3.027.695            0           0       2.574     2.830.023     2.832.597
BARCELONA            56.128      80.003     3.605.250     3.741.381            0      55.557      79.505     3.464.222     3.599.284
BURGOS               39.753     942.649     2.599.212     3.581.614            0      39.562     925.463     2.492.578     3.457.603
CACERES             598.988           0     7.502.100     8.101.088       37.534     552.312           0     7.237.845     7.790.157
CADIZ                     0     637.969     7.509.850     8.147.819            0           0     622.429     7.303.428     7.925.857
CASTELLON            35.533     501.899     3.058.089     3.595.521            0      35.253     488.062     2.981.493     3.504.808
CIUDAD REAL               0     188.245     1.132.320     1.320.565            0           0     185.776     1.042.116     1.227.892
CORDOBA              30.921           0       105.306       136.227            0      29.724           0       100.512       130.236
LA CORUÑA           565.253   1.171.755     6.871.297     8.608.305            0     556.495   1.140.657     6.563.895     8.261.047
CUENCA               63.873     748.591       196.319     1.008.783            0      62.689     743.524       185.290       991.503
GIRONA               59.152           0       250.809       309.961            0      58.330           0       240.670       299.000
GRANADA              52.254     291.174       272.336       615.764            0      51.382     289.682       262.388       603.452
GUADALAJARA          79.472     438.885     3.612.467     4.130.824      201.946    -124.470     434.445     3.377.447     3.687.422
GUIPUZCOA            28.428           0       646.369       674.797            0      28.017           0       608.873       636.890
HUELVA                    0      35.092     5.616.346     5.651.438            0           0      34.432     5.481.515     5.515.947
HUESCA            1.282.959     309.751       344.196     1.936.906      131.970   1.122.111     304.281       323.729     1.750.121
JAEN                 33.507      14.578       239.343       287.428            0      30.897      14.142       226.515       271.554
LEON                240.134      83.810     5.397.411     5.721.355            0     234.606      81.946     5.005.705     5.322.257
LLEIDA            1.606.968      99.217       483.833     2.190.018      224.298   1.352.643      96.241       458.620     1.907.504
LA RIOJA             65.785     467.142     1.983.321     2.516.248            0      65.685     459.311     1.941.544     2.466.540
LUGO                599.984   1.357.373        35.423     1.992.780            0     592.349   1.327.760        34.926     1.955.035
MADRID               38.317           0       574.147       612.464            0      37.783           0       522.610       560.393
MALAGA              133.142      84.681       112.339       330.162      138.829     -10.211      83.673       108.632       182.094
MURCIA               25.177     147.834     8.845.075     9.018.086            0      24.979     145.191     8.557.099     8.727.269
NAVARRA             252.442   1.107.595     2.452.105     3.812.142            0     250.005   1.099.070     2.398.204     3.747.279
ORENSE            1.602.804     332.645       102.356     2.037.805      165.138   1.411.204     330.227        99.296     1.840.727
ASTURIAS            877.580     243.961     5.835.140     6.956.681       46.091     817.309     236.304     5.439.846     6.493.459
PALENCIA             54.459     333.795       263.535       651.789            0      53.940     328.624       240.129       622.693
LAS PALMAS                0     130.792     2.555.853     2.686.645            0           0     129.589     2.409.924     2.539.513
PONTEVEDRA           94.079     436.929       113.290       644.298            0      90.854     428.949       109.161       628.964
SALAMANCA         2.102.502      32.712         4.834     2.140.048      302.022   1.760.071      32.712         4.653     1.797.436
S.C.TENERIFE              0      65.008     2.056.800     2.121.808            0           0      64.317     1.939.801     2.004.118
CANTABRIA           380.605       6.240       530.273       917.118      272.264      99.695       6.053       494.699       600.447
SEGOVIA               3.462      45.657        70.565       119.684            0       3.182      45.657        64.617       113.456
SEVILLA              85.716      83.080       183.086       351.882       81.219       4.143      80.587       176.308       261.038
SORIA                 6.092     686.966       145.020       838.078            0       6.029     675.306       137.212       818.547
TARRAGONA           358.063     193.173    17.881.126    18.432.362            0     353.475     187.084    17.208.975    17.749.534
TERUEL               14.209     131.991     5.346.413     5.492.613            0      14.090     128.035     5.077.162     5.219.287
TOLEDO              105.355      81.151     2.339.374     2.525.880            0     103.989      79.856     2.275.782     2.459.627
VALENCIA            429.384      20.008     7.161.178     7.610.570      420.600         860      19.558     6.919.261     6.939.679
VALLADOLID           41.174     100.470       280.144       421.788            0      40.779      97.455       268.885       407.119
VIZCAYA              78.381      88.693     5.267.839     5.434.913            0      77.800      86.920     5.095.603     5.260.323
ZAMORA              651.121     349.578         8.521     1.009.220            0     644.702     343.312         8.456       996.470
ZARAGOZA            462.203   1.481.000     2.394.737     4.337.940            0     457.311   1.444.524     2.342.276     4.244.111
CEUTA                     0           0       106.625       106.625            0           0           0       101.096       101.096
MELILLA                   0           0        97.840        97.840            0           0           0        92.083        92.083
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       13.451.953  15.872.220   121.903.100   151.227.273    2.021.911  11.198.317  15.598.780   116.847.395   143.644.492
