
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                MARZO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 33.048         33.585         66.633            0       32.950         32.383         65.333  ALAVA
ALBACETE             287.464          9.682        297.146            0      287.246          9.334        296.580  ALBACETE
ALICANTE                   0          9.104          9.104            0            0          8.994          8.994  ALICANTE
ALMERIA                    0        567.169        567.169            0            0        547.521        547.521  ALMERIA
AVILA                 36.145              0         36.145            0       35.986              0         35.986  AVILA
BADAJOZ                1.860          4.732          6.592            0        1.787          4.400          6.187  BADAJOZ
BALEARES                   0        472.744        472.744            0            0        442.996        442.996  BALEARES
BARCELONA             27.449        741.347        768.796            0       27.212        714.331        741.543  BARCELONA
BURGOS                97.292        450.242        547.534            0       95.837        432.254        528.091  BURGOS
CACERES               90.667      1.123.529      1.214.196       15.347       73.682      1.084.429      1.158.111  CACERES
CADIZ                 13.454      1.344.724      1.358.178            0       13.005      1.306.606      1.319.611  CADIZ
CASTELLON             15.017        421.567        436.584            0       14.921        411.027        425.948  CASTELLON
CIUDAD REAL                0        316.970        316.970            0            0        285.386        285.386  CIUDAD REAL
CORDOBA                4.407         84.670         89.077            0        4.261         75.891         80.152  CORDOBA
LA CORUÑA            356.437      1.296.193      1.652.630            0      337.109      1.225.302      1.562.411  LA CORUÑA
CUENCA               129.448         27.513        156.961            0      129.309         25.990        155.299  CUENCA
GIRONA                15.651         39.605         55.256            0       15.447         38.196         53.643  GIRONA
GRANADA                2.388         42.252         44.640            0        2.346         40.794         43.140  GRANADA
GUADALAJARA           67.694        901.147        968.841       42.904       24.344        845.176        869.520  GUADALAJARA
GUIPUZCOA              5.445        155.264        160.709            0        5.356        147.145        152.501  GUIPUZCOA
HUELVA                     0        733.152        733.152            0            0        711.751        711.751  HUELVA
HUESCA               191.742         20.803        212.545       12.671      175.876         19.712        195.588  HUESCA
JAEN                   8.354         37.280         45.634            0        8.172         35.415         43.587  JAEN
LEON                  77.766        915.085        992.851            0       76.563        848.878        925.441  LEON
LLEIDA               176.933         44.148        221.081       27.480      145.289         42.554        187.843  LLEIDA
LA RIOJA              63.117        341.395        404.512            0       63.087        333.138        396.225  LA RIOJA
LUGO                 517.670          7.730        525.400            0      510.054          7.619        517.673  LUGO
MADRID                 2.628        106.647        109.275            0        2.580         98.832        101.412  MADRID
MALAGA                37.827         20.381         58.208       26.526       10.475         19.690         30.165  MALAGA
MURCIA                12.994        855.821        868.815            0       12.949        839.322        852.271  MURCIA
NAVARRA              222.645        259.645        482.290            0      221.952        252.647        474.599  NAVARRA
ORENSE               570.987         14.152        585.139       43.141      520.801         13.455        534.256  ORENSE
ASTURIAS             407.131      1.288.768      1.695.899            0      400.895      1.213.279      1.614.174  ASTURIAS
PALENCIA              44.266        196.866        241.132            0       44.167        184.154        228.321  PALENCIA
LAS PALMAS            16.016        416.436        432.452            0       16.016        393.864        409.880  LAS PALMAS
PONTEVEDRA            65.559         23.739         89.298            0       65.139         22.743         87.882  PONTEVEDRA
SALAMANCA            349.479            697        350.176      121.284      224.959            669        225.628  SALAMANCA
S.C.TENERIFE           7.669        328.260        335.929            0        7.639        309.484        317.123  S.C.TENERIFE
CANTABRIA             87.727         87.096        174.823       58.901       27.160         81.584        108.744  CANTABRIA
SEGOVIA                4.756          1.889          6.645            0        4.729          1.798          6.527  SEGOVIA
SEVILLA               12.631         40.815         53.446       12.689         -494         39.445         38.951  SEVILLA
SORIA                 61.110         27.235         88.345            0       60.858         25.804         86.662  SORIA
TARRAGONA            108.314      2.630.685      2.738.999            0      107.328      2.527.853      2.635.181  TARRAGONA
TERUEL                 3.668        547.192        550.860            0        3.647        503.628        507.275  TERUEL
TOLEDO                34.111        229.345        263.456            0       33.802        219.790        253.592  TOLEDO
VALENCIA              55.196        889.134        944.330       31.878       22.393        856.481        878.874  VALENCIA
VALLADOLID             9.824         34.765         44.589            0        9.753         33.736         43.489  VALLADOLID
VIZCAYA               42.710        791.960        834.670            0       42.481        772.033        814.514  VIZCAYA
ZAMORA               275.646          2.917        278.563            0      274.023          2.917        276.940  ZAMORA
ZARAGOZA             189.803        181.983        371.786            0      188.416        178.606        367.022  ZARAGOZA
CEUTA                      0         17.637         17.637            0            0         16.744         16.744  CEUTA
MELILLA                    0         14.426         14.426            0            0         13.572         13.572  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         4.842.145     19.150.123     23.992.268      392.821    4.381.507     18.299.352     22.680.859  T O T A L
