
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MARZO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 80.654        108.409        189.063            0       80.439        104.799        185.238  ALAVA
ALBACETE             893.209         45.821        939.030            0      891.999         44.062        936.061  ALBACETE
ALICANTE                   0         32.891         32.891            0            0         31.532         31.532  ALICANTE
ALMERIA                    0      2.072.538      2.072.538            0            0      2.007.288      2.007.288  ALMERIA
AVILA                 81.587              0         81.587            0       81.107              0         81.107  AVILA
BADAJOZ                8.052         11.819         19.871            0        7.757         10.819         18.576  BADAJOZ
BALEARES                   0      1.453.542      1.453.542            0            0      1.363.305      1.363.305  BALEARES
BARCELONA             40.430      1.966.483      2.006.913            0       40.263      1.884.625      1.924.888  BARCELONA
BURGOS               327.062        746.881      1.073.943            0      322.582        711.983      1.034.565  BURGOS
CACERES              750.851      4.236.285      4.987.136       25.995      717.651      4.090.353      4.808.004  CACERES
CADIZ                 88.282      3.213.794      3.302.076            0       86.766      3.119.474      3.206.240  CADIZ
CASTELLON              3.868      1.005.909      1.009.777            0        3.798        982.642        986.440  CASTELLON
CIUDAD REAL           20.024        862.232        882.256            0       20.024        774.564        794.588  CIUDAD REAL
CORDOBA                5.560        406.490        412.050            0        5.041        364.776        369.817  CORDOBA
LA CORUÑA          1.033.782      3.834.438      4.868.220            0    1.020.718      3.631.076      4.651.794  LA CORUÑA
CUENCA               343.121         62.418        405.539            0      342.644         58.397        401.041  CUENCA
GIRONA                27.517        133.865        161.382            0       27.012        128.836        155.848  GIRONA
GRANADA               16.497        125.661        142.158            0       16.211        120.919        137.130  GRANADA
GUADALAJARA          237.166      2.307.019      2.544.185      139.180       95.782      2.165.177      2.260.959  GUADALAJARA
GUIPUZCOA             12.865        439.930        452.795            0       12.636        416.969        429.605  GUIPUZCOA
HUELVA                 2.830      2.387.187      2.390.017            0        2.830      2.317.928      2.320.758  HUELVA
HUESCA               512.820         80.446        593.266       68.087      435.055         75.489        510.544  HUESCA
JAEN                   9.992        105.482        115.474            0        9.753        100.243        109.996  JAEN
LEON                 319.535      3.080.424      3.399.959            0      315.307      2.866.367      3.181.674  LEON
LLEIDA               369.788        151.296        521.084      133.963      225.632        145.170        370.802  LLEIDA
LA RIOJA             151.539      1.076.399      1.227.938            0      151.491      1.052.235      1.203.726  LA RIOJA
LUGO               1.512.273         20.275      1.532.548            0    1.493.772         19.968      1.513.740  LUGO
MADRID                30.857        325.235        356.092            0       30.433        300.955        331.388  MADRID
MALAGA               101.724         48.045        149.769       94.062        5.828         46.456         52.284  MALAGA
MURCIA                32.354      1.967.203      1.999.557            0       32.240      1.917.482      1.949.722  MURCIA
NAVARRA              577.649        612.870      1.190.519            0      572.056        599.265      1.171.321  NAVARRA
ORENSE             1.994.153         49.191      2.043.344       47.605    1.912.017         47.118      1.959.135  ORENSE
ASTURIAS             769.938      4.480.602      5.250.540       36.981      721.781      4.208.941      4.930.722  ASTURIAS
PALENCIA             135.045        393.441        528.486            0      134.680        365.426        500.106  PALENCIA
LAS PALMAS            62.677      1.258.387      1.321.064            0       61.802      1.188.728      1.250.530  LAS PALMAS
PONTEVEDRA           151.648         32.762        184.410            0      150.663         31.618        182.281  PONTEVEDRA
SALAMANCA          1.633.683          1.799      1.635.482      187.702    1.434.252          1.730      1.435.982  SALAMANCA
S.C.TENERIFE          28.222        987.508      1.015.730            0       27.841        930.388        958.229  S.C.TENERIFE
CANTABRIA            248.843        243.080        491.923      257.804      -15.595        227.743        212.148  CANTABRIA
SEGOVIA               22.297         36.090         58.387            0       22.190         33.091         55.281  SEGOVIA
SEVILLA                8.687        115.564        124.251            0        8.461        111.511        119.972  SEVILLA
SORIA                166.817         82.597        249.414            0      165.771         78.318        244.089  SORIA
TARRAGONA            265.652      7.895.439      8.161.091            0      262.153      7.589.403      7.851.556  TARRAGONA
TERUEL                 4.303      1.863.960      1.868.263            0        4.258      1.745.427      1.749.685  TERUEL
TOLEDO                92.136      1.153.061      1.245.197            0       91.222      1.122.744      1.213.966  TOLEDO
VALENCIA             232.066      2.398.457      2.630.523      245.339      -17.664      2.305.957      2.288.293  VALENCIA
VALLADOLID            21.334        119.847        141.181            0       21.257        114.780        136.037  VALLADOLID
VIZCAYA               32.232      2.233.961      2.266.193            0       32.047      2.179.011      2.211.058  VIZCAYA
ZAMORA               952.896          5.902        958.798            0      947.897          5.902        953.799  ZAMORA
ZARAGOZA             474.404        533.599      1.008.003            0      471.448        522.996        994.444  ZARAGOZA
CEUTA                      0         51.201         51.201            0            0         50.766         50.766  CEUTA
MELILLA                    0         42.081         42.081            0            0         40.350         40.350  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        14.888.921     56.899.816     71.788.737    1.236.718   13.483.308     54.355.102     67.838.410  T O T A L
