
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                MARZO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 9.965      26.292        41.290        77.547            0       9.928      26.292        39.600        75.820
ALBACETE              1.586     520.650        20.540       542.776            0       1.564     514.441        19.697       535.702
ALICANTE                  0           0         6.409         6.409            0           0           0         6.088         6.088
ALMERIA                   0      12.770       363.302       376.072            0           0      12.387       350.031       362.418
AVILA                 4.216      38.170             0        42.386            0       4.062      37.604             0        41.666
BADAJOZ               4.781           0         3.578         8.359            0       4.151           0         3.269         7.420
BALEARES                  0         575       506.462       507.037            0           0         558       472.105       472.663
BARCELONA             3.827      26.923       691.649       722.399            0       3.763      26.778       668.733       699.274
BURGOS                5.785     215.969       444.458       666.212            0       5.756     211.693       426.454       643.903
CACERES              16.673           0     1.459.589     1.476.262        2.932      12.660           0     1.408.433     1.421.093
CADIZ                     0      76.447     1.095.447     1.171.894            0           0      74.376     1.063.985     1.138.361
CASTELLON             5.872     155.645       444.757       606.274            0       5.826     150.976       432.595       589.397
CIUDAD REAL               0      43.267       135.067       178.334            0           0      42.985       128.147       171.132
CORDOBA               1.207           0        20.275        21.482            0         921           0        19.380        20.301
LA CORUÑA            70.598     268.868       862.315     1.201.781            0      69.327     263.217       816.994     1.149.538
CUENCA                1.831     196.492        35.035       233.358            0       1.754     194.869        32.967       229.590
GIRONA                5.327           0        41.782        47.109            0       5.198           0        39.971        45.169
GRANADA               3.477      54.220        40.007        97.704            0       3.387      53.955        38.694        96.036
GUADALAJARA          14.519     128.738       667.845       811.102       27.410     -13.192     127.802       622.850       737.460
GUIPUZCOA             5.510           0       138.659       144.169            0       5.397           0       131.059       136.456
HUELVA                    0       8.544       906.926       915.470            0           0       8.389       885.591       893.980
HUESCA              111.585     100.510        60.650       272.745       24.478      84.134      98.598        57.353       240.085
JAEN                  1.628       2.548        39.695        43.871            0       1.557       2.472        37.470        41.499
LEON                 22.089      21.953     1.074.530     1.118.572            0      21.354      21.712       995.611     1.038.677
LLEIDA              141.199      34.077        78.543       253.819       48.717      89.041      33.055        74.524       196.620
LA RIOJA              7.363     140.723       145.788       293.874            0       7.355     138.301       142.391       288.047
LUGO                 32.692     359.387         5.506       397.585            0      32.142     350.953         5.428       388.523
MADRID                3.190           0        65.600        68.790            0       3.080           0        57.814        60.894
MALAGA               21.790      13.562        19.997        55.349       29.521      -8.171      13.390        19.376        24.595
MURCIA                3.374      47.270     1.327.778     1.378.422            0       3.343      46.515     1.278.620     1.328.478
NAVARRA              40.735     287.543       381.835       710.113            0      40.371     285.317       373.595       699.283
ORENSE              111.101      80.035        17.274       208.410       26.999      81.028      79.324        16.805       177.157
ASTURIAS            112.189      65.190       925.148     1.102.527       10.912      99.314      63.188       862.080     1.024.582
PALENCIA              1.224      85.738         4.388        91.350            0       1.146      84.490         4.325        89.961
LAS PALMAS                0      28.512       427.361       455.873            0           0      27.682       402.260       429.942
PONTEVEDRA           10.310     101.941         9.420       121.671            0      10.150     100.117         9.062       119.329
SALAMANCA           213.221       7.740           357       221.318       70.328     140.871       7.740           343       148.954
S.C.TENERIFE              0      15.788       342.364       358.152            0           0      15.328       322.703       338.031
CANTABRIA            61.138         360        99.233       160.731       58.729         755         349        92.445        93.549
SEGOVIA                  95      10.040        10.582        20.717            0          73      10.040         9.634        19.747
SEVILLA              14.802      11.701        24.967        51.470       17.681      -3.289      11.350        24.115        32.176
SORIA                   364     178.575        26.801       205.740            0         361     176.075        25.458       201.894
TARRAGONA            26.973      54.968     3.164.501     3.246.442            0      26.664      52.963     3.045.365     3.124.992
TERUEL                2.466      36.074     1.200.687     1.239.227            0       2.448      34.992     1.154.157     1.191.597
TOLEDO               14.198      16.909       411.545       442.652            0      13.987      16.621       400.938       431.546
VALENCIA             80.319       5.638     1.367.745     1.453.702       86.855      -7.974       5.469     1.324.089     1.321.584
VALLADOLID            5.269      28.495        53.234        86.998            0       5.234      27.640        51.256        84.130
VIZCAYA              16.758      25.887       841.292       883.937            0      16.645      25.312       818.985       860.942
ZAMORA               42.589      93.686             0       136.275            0      41.838      92.529             0       134.367
ZARAGOZA             32.260     428.992       266.423       727.675            0      31.731     418.207       259.303       709.241
CEUTA                     0           0        17.466        17.466            0           0           0        16.555        16.555
MELILLA                   0           0        15.719        15.719            0           0           0        14.798        14.798
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.286.095   4.057.412    20.351.821    25.695.328      404.562     855.690   3.986.051    19.503.501    24.345.242
