
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                MAYO       2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 14.351         31.906         46.257            0       14.295         30.844         45.139  ALAVA
ALBACETE             156.573          8.675        165.248            0      156.449          8.304        164.753  ALBACETE
ALICANTE                   0          7.615          7.615            0            0          7.476          7.476  ALICANTE
ALMERIA                    0        617.965        617.965            0            0        598.921        598.921  ALMERIA
AVILA                 22.637              0         22.637            0       22.514              0         22.514  AVILA
BADAJOZ               10.055          3.664         13.719            0        9.660          3.446         13.106  BADAJOZ
BALEARES                   0        488.128        488.128            0            0        456.577        456.577  BALEARES
BARCELONA             15.067        774.677        789.744            0       15.012        756.235        771.247  BARCELONA
BURGOS                58.311        442.844        501.155            0       57.637        424.290        481.927  BURGOS
CACERES              118.293      1.335.680      1.453.973        2.809      114.211      1.286.185      1.400.396  CACERES
CADIZ                 26.855      1.546.233      1.573.088            0       26.220      1.505.637      1.531.857  CADIZ
CASTELLON              9.660        349.245        358.905            0        9.593        341.761        351.354  CASTELLON
CIUDAD REAL                0        218.999        218.999            0            0        197.113        197.113  CIUDAD REAL
CORDOBA               10.342         58.191         68.533            0       10.197         51.400         61.597  CORDOBA
LA CORUÑA            163.120      1.344.168      1.507.288            0      161.556      1.277.025      1.438.581  LA CORUÑA
CUENCA                67.858         23.143         91.001            0       67.758         21.761         89.519  CUENCA
GIRONA                25.234         41.360         66.594            0       25.013         39.715         64.728  GIRONA
GRANADA               16.319         40.747         57.066            0       15.881         39.162         55.043  GRANADA
GUADALAJARA           47.762        120.514        168.276       35.495       12.091        104.696        116.787  GUADALAJARA
GUIPUZCOA              1.763        130.035        131.798            0        1.746        123.072        124.818  GUIPUZCOA
HUELVA                     0        720.337        720.337            0            0        698.633        698.633  HUELVA
HUESCA               319.342         24.958        344.300       20.139      293.247         23.828        317.075  HUESCA
JAEN                  12.909         35.917         48.826            0       12.656         34.093         46.749  JAEN
LEON                  73.051      1.277.693      1.350.744            0       71.751      1.185.938      1.257.689  LEON
LLEIDA               343.988         43.300        387.288       40.519      297.293         41.894        339.187  LLEIDA
LA RIOJA              35.283        422.787        458.070            0       35.266        413.678        448.944  LA RIOJA
LUGO                 201.365          7.075        208.440            0      197.786          6.973        204.759  LUGO
MADRID                 6.073        106.506        112.579            0        6.003         97.119        103.122  MADRID
MALAGA                35.713         17.369         53.082       25.800        9.360         16.677         26.037  MALAGA
MURCIA                 7.124        949.695        956.819            0        7.093        933.039        940.132  MURCIA
NAVARRA              151.534        297.918        449.452            0      149.838        291.618        441.456  NAVARRA
ORENSE               306.501         16.367        322.868       15.980      286.508         15.718        302.226  ORENSE
ASTURIAS             159.789      1.000.714      1.160.503       14.923      141.895        936.855      1.078.750  ASTURIAS
PALENCIA              47.066        126.051        173.117            0       46.926        118.224        165.150  PALENCIA
LAS PALMAS            26.918        401.216        428.134            0       26.918        378.778        405.696  LAS PALMAS
PONTEVEDRA            20.091         23.292         43.383            0       19.997         22.394         42.391  PONTEVEDRA
SALAMANCA            254.019            627        254.646       60.829      190.816            602        191.418  SALAMANCA
S.C.TENERIFE          10.146        319.940        330.086            0       10.098        301.447        311.545  S.C.TENERIFE
CANTABRIA             62.707         91.884        154.591       59.591        2.092         86.457         88.549  CANTABRIA
SEGOVIA                2.650            899          3.549            0        2.631            864          3.495  SEGOVIA
SEVILLA               15.947         38.430         54.377       16.478         -969         37.007         36.038  SEVILLA
SORIA                 31.097         28.051         59.148            0       30.946         26.544         57.490  SORIA
TARRAGONA             50.197      2.520.883      2.571.080            0       49.730      2.409.905      2.459.635  TARRAGONA
TERUEL                 2.589        670.993        673.582            0        2.571        627.516        630.087  TERUEL
TOLEDO                11.811        180.341        192.152            0       11.608        171.964        183.572  TOLEDO
VALENCIA              56.721        800.819        857.540       35.259       20.559        769.531        790.090  VALENCIA
VALLADOLID             4.583         36.315         40.898            0        4.514         35.395         39.909  VALLADOLID
VIZCAYA                7.587        562.072        569.659            0        7.517        547.161        554.678  VIZCAYA
ZAMORA               183.987          1.965        185.952            0      182.908          1.850        184.758  ZAMORA
ZARAGOZA              82.759        181.842        264.601            0       82.176        178.009        260.185  ZARAGOZA
CEUTA                      0         16.994         16.994            0            0         16.048         16.048  CEUTA
MELILLA                    0         14.170         14.170            0            0         13.317         13.317  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.287.747     18.521.209     21.808.956      327.822    2.919.567     17.712.696     20.632.263  T O T A L
