
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                MAYO       2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                12.903      16.028        36.538        65.469            0      12.871      16.022        35.096        63.989
ALBACETE              6.813     237.958        21.983       266.754            0       6.738     236.967        21.152       264.857
ALICANTE                  0           0         8.022         8.022            0           0           0         7.713         7.713
ALMERIA                   0      17.640       143.217       160.857            0           0      17.111       135.290       152.401
AVILA                 8.833      14.261             0        23.094            0       8.666      14.196             0        22.862
BADAJOZ              12.249           0         3.701        15.950            0      12.037           0         3.377        15.414
BALEARES                  0         212       507.120       507.332            0           0         206       473.758       473.964
BARCELONA            14.615       9.798       480.084       504.497            0      14.473       9.752       463.390       487.615
BURGOS               10.071      97.514       442.668       550.253            0      10.028      95.440       424.708       530.176
CACERES             191.322           0       793.096       984.418        9.060     180.268           0       765.446       945.714
CADIZ                     0      87.649     1.213.060     1.300.709            0           0      85.664     1.180.126     1.265.790
CASTELLON             7.715      55.570       581.561       644.846            0       7.663      53.903       567.304       628.870
CIUDAD REAL               0      21.235       237.728       258.963            0           0      21.110       211.945       233.055
CORDOBA               4.975           0        12.415        17.390            0       4.786           0        11.797        16.583
LA CORUÑA           116.336      99.879     1.066.550     1.282.765            0     114.207      97.938     1.023.961     1.236.106
CUENCA               26.267      75.937        30.852       133.056            0      25.674      75.488        29.288       130.450
GIRONA               14.729           0        43.812        58.541            0      14.586           0        42.031        56.617
GRANADA              20.832      38.609        45.447       104.888            0      20.596      38.283        43.916       102.795
GUADALAJARA          11.806      45.237       642.095       699.138       23.155     -11.624      44.918       595.784       629.078
GUIPUZCOA             4.658           0        56.691        61.349            0       4.579           0        53.230        57.809
HUELVA                    0       4.963       883.715       888.678            0           0       4.868       862.193       867.061
HUESCA              374.116      38.195        57.898       470.209       12.488     353.656      37.576        54.300       445.532
JAEN                  6.933       1.766        39.522        48.221            0       6.783       1.715        37.228        45.726
LEON                 60.432       6.801       491.233       558.466            0      59.422       6.754       457.156       523.332
LLEIDA              445.811      15.100        84.471       545.382       22.416     415.878      14.647        79.662       510.187
LA RIOJA             16.908      39.349       447.593       503.850            0      16.879      38.687       438.613       494.179
LUGO                166.120     135.853         5.701       307.674            0     164.447     133.594         5.609       303.650
MADRID                8.608           0       105.431       114.039            0       8.517           0        96.772       105.289
MALAGA               13.266      13.243        17.371        43.880       10.295       2.319      13.096        16.717        32.132
MURCIA                4.989      15.319     1.671.850     1.692.158            0       4.957      15.066     1.624.446     1.644.469
NAVARRA              47.955     113.795       395.782       557.532            0      47.523     113.069       386.624       547.216
ORENSE              418.605      43.160        18.154       479.919       31.802     379.623      42.877        17.623       440.123
ASTURIAS            238.772      25.272       823.993     1.088.037          952     234.375      24.740       769.884     1.028.999
PALENCIA             19.433      28.775         4.338        52.546            0      19.308      28.406         4.048        51.762
LAS PALMAS                0      26.453       425.059       451.512            0           0      26.453       402.098       428.551
PONTEVEDRA           19.879      48.206        21.404        89.489            0      19.571      47.265        20.632        87.468
SALAMANCA           523.780       3.862         1.138       528.780       31.070     465.319       3.862         1.092       470.273
S.C.TENERIFE              0       9.178       347.071       356.249            0           0       9.174       327.477       336.651
CANTABRIA            57.278       2.388       109.254       168.920       33.853      22.260       2.316       102.633       127.209
SEGOVIA               1.199       4.140        11.520        16.859            0       1.099       4.140        10.529        15.768
SEVILLA              10.788      11.161        36.528        58.477        8.467       1.944      10.826        35.095        47.865
SORIA                 1.773      71.323        26.263        99.359            0       1.751      70.093        24.711        96.555
TARRAGONA            91.870      22.080     2.939.458     3.053.408            0      90.501      21.588     2.830.661     2.942.750
TERUEL                2.065      14.551       534.120       550.736            0       2.044      14.118       495.184       511.346
TOLEDO               22.776       9.854       364.078       396.708            0      22.488       9.698       354.337       386.523
VALENCIA             48.439       1.821     1.122.428     1.172.688       32.367      15.077       1.766     1.083.523     1.100.366
VALLADOLID            9.177       8.256        51.458        68.891            0       9.112       8.008        49.375        66.495
VIZCAYA              13.578       9.507       680.806       703.891            0      13.481       9.311       658.838       681.630
ZAMORA              201.511      37.837             0       239.348            0     200.071      37.465             0       237.536
ZARAGOZA            129.163     146.129       473.575       748.867            0     128.116     142.998       464.445       735.559
CEUTA                     0           0        17.500        17.500            0           0           0        16.563        16.563
MELILLA                   0           0        16.021        16.021            0           0           0        15.017        15.017
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        3.419.348   1.725.864    18.591.373    23.736.585      215.925   3.132.069   1.701.174    17.832.397    22.665.640
