
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MAYO       2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                48.634     120.812       196.386       365.832            0      48.469     120.806       188.815       358.090
ALBACETE             53.534   1.777.561        79.475     1.910.570            0      53.142   1.763.142        76.371     1.892.655
ALICANTE                  0           0        35.699        35.699            0           0           0        34.046        34.046
ALMERIA                   0      52.743     2.197.658     2.250.401            0           0      51.161     2.127.161     2.178.322
AVILA                32.180     136.656             0       168.836            0      31.409     134.453             0       165.862
BADAJOZ              36.800           0        19.218        56.018            0      35.289           0        17.557        52.846
BALEARES                  0       2.363     2.472.514     2.474.877            0           0       2.293     2.312.325     2.314.618
BARCELONA            32.845      72.684     3.147.842     3.253.371            0      32.443      72.259     3.029.388     3.134.090
BURGOS               29.844     825.456     2.173.876     3.029.176            0      29.695     810.987     2.084.698     2.925.380
CACERES             424.938           0     6.099.823     6.524.761       33.158     384.465           0     5.886.283     6.270.748
CADIZ                     0     542.703     6.448.062     6.990.765            0           0     529.398     6.269.145     6.798.543
CASTELLON            24.207     440.047     2.408.849     2.873.103            0      23.991     428.066     2.348.898     2.800.955
CIUDAD REAL               0     165.954       855.420     1.021.374            0           0     163.869       795.534       959.403
CORDOBA              16.382           0        90.649       107.031            0      15.449           0        86.767       102.216
LA CORUÑA           489.825     968.066     5.429.417     6.887.308            0     482.290     942.865     5.176.472     6.601.627
CUENCA               52.854     674.170       171.491       898.515            0      51.769     669.783       161.262       882.814
GIRONA               39.765           0       213.742       253.507            0      39.099           0       205.129       244.228
GRANADA              41.362     260.966       232.159       534.487            0      40.633     259.589       223.661       523.883
GUADALAJARA          66.023     398.790     2.845.647     3.310.460      172.523    -108.251     394.674     2.659.785     2.946.208
GUIPUZCOA            23.404           0       578.465       601.869            0      23.036           0       546.129       569.165
HUELVA                    0      30.364     4.673.757     4.704.121            0           0      29.788     4.563.500     4.593.288
HUESCA              889.001     265.768       291.750     1.446.519      115.942     751.872     261.122       274.348     1.287.342
JAEN                 20.494      13.715       203.559       237.768            0      19.889      13.305       192.832       226.026
LEON                179.893      76.551     4.883.871     5.140.315            0     175.542      74.905     4.531.889     4.782.336
LLEIDA            1.085.291      89.426       404.972     1.579.689      186.159     877.707      86.744       384.018     1.348.469
LA RIOJA             49.696     399.280     1.663.216     2.112.192            0      49.624     392.592     1.628.068     2.070.284
LUGO                495.528   1.187.264        30.104     1.712.896            0     489.173   1.161.717        29.690     1.680.580
MADRID               21.942           0       482.170       504.112            0      21.539           0       439.294       460.833
MALAGA              106.241      73.360        96.370       275.971      113.559      -9.928      72.454        93.296       155.822
MURCIA               20.199     136.712     7.428.211     7.585.122            0      20.031     134.248     7.184.421     7.338.700
NAVARRA             195.431     903.645     1.976.891     3.075.967            0     193.379     896.735     1.933.044     3.023.158
ORENSE            1.256.804     303.261        85.535     1.645.600      133.900   1.101.300     301.044        83.008     1.485.352
ASTURIAS            724.627     224.735     5.021.930     5.971.292       45.332     667.440     217.758     4.678.883     5.564.081
PALENCIA             34.191     285.009       240.818       560.018            0      33.806     280.675       219.671       534.152
LAS PALMAS                0     100.604     2.144.446     2.245.050            0           0      99.401     2.022.257     2.121.658
PONTEVEDRA           81.061     377.924        91.830       550.815            0      77.990     371.054        88.483       537.527
SALAMANCA         1.657.560      28.961         3.998     1.690.519      259.795   1.360.549      28.961         3.850     1.393.360
S.C.TENERIFE              0      54.208     1.723.490     1.777.698            0           0      53.519     1.623.941     1.677.460
CANTABRIA           309.976       5.068       445.231       760.275      227.144      75.308       4.916       413.994       494.218
SEGOVIA               2.289      42.890        60.276       105.455            0       2.071      42.890        55.270       100.231
SEVILLA              61.048      74.407       140.833       276.288       65.513      -4.401      72.174       135.746       203.519
SORIA                 4.383     601.031       135.009       740.423            0       4.340     591.082       127.894       723.316
TARRAGONA           245.536     167.693    15.542.541    15.955.770            0     242.465     162.476    14.961.619    15.366.560
TERUEL               11.084     120.558     4.852.447     4.984.089            0      10.984     116.945     4.624.926     4.752.855
TOLEDO               88.058      71.942     1.941.702     2.101.702            0      86.894      70.791     1.888.473     2.046.158
VALENCIA            364.589      19.162     6.100.984     6.484.735      365.441      -7.441      18.737     5.897.447     5.908.743
VALLADOLID           32.427      85.068       237.595       355.090            0      32.157      82.515       228.228       342.900
VIZCAYA              61.277      77.621     4.452.972     4.591.870            0      60.807      76.120     4.342.417     4.479.344
ZAMORA              472.632     319.012         8.521       800.165            0     467.659     313.033         8.456       789.148
ZARAGOZA            318.900   1.228.212     1.910.106     3.457.218            0     315.274   1.198.356     1.866.732     3.380.362
CEUTA                     0           0        89.198        89.198            0           0           0        84.603        84.603
MELILLA                   0           0        80.655        80.655            0           0           0        75.917        75.917
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       10.202.755  13.802.422   103.141.380   127.146.557    1.718.466   8.298.958  13.569.402    98.915.641   120.784.001
