
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               NOVIEMBRE  2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                232.763        392.876        625.639            0      232.031        377.379        609.410  ALAVA
ALBACETE           2.251.580        199.184      2.450.764            0    2.248.544        190.664      2.439.208  ALBACETE
ALICANTE                   0         80.955         80.955            0            0         77.696         77.696  ALICANTE
ALMERIA                    0      7.722.825      7.722.825            0            0      7.472.630      7.472.630  ALMERIA
AVILA                253.208              0        253.208            0      251.472              0        251.472  AVILA
BADAJOZ               77.222         40.942        118.164            0       74.912         37.770        112.682  BADAJOZ
BALEARES                   0      5.824.658      5.824.658            0            0      5.474.521      5.474.521  BALEARES
BARCELONA            156.435      7.391.980      7.548.415            0      155.397      7.071.479      7.226.876  BARCELONA
BURGOS             1.007.184      4.136.054      5.143.238            0      990.591      3.958.524      4.949.115  BURGOS
CACERES            2.060.715     14.491.423     16.552.138       72.896    1.966.887     13.964.653     15.931.540  CACERES
CADIZ                410.273     14.483.259     14.893.532            0      403.560     14.101.980     14.505.540  CADIZ
CASTELLON             75.540      3.680.041      3.755.581            0       74.918      3.591.664      3.666.582  CASTELLON
CIUDAD REAL           76.675      3.118.923      3.195.598            0       76.675      2.822.932      2.899.607  CIUDAD REAL
CORDOBA               65.842      2.055.936      2.121.778            0       64.040      1.865.286      1.929.326  CORDOBA
LA CORUÑA          2.317.341     14.792.726     17.110.067            0    2.285.114     14.017.081     16.302.195  LA CORUÑA
CUENCA               943.140        301.437      1.244.577            0      941.603        284.750      1.226.353  CUENCA
GIRONA               148.174        405.227        553.401            0      145.912        388.363        534.275  GIRONA
GRANADA               80.897        547.669        628.566            0       79.317        525.685        605.002  GRANADA
GUADALAJARA          742.417      7.746.085      8.488.502      447.486      288.190      7.240.765      7.528.955  GUADALAJARA
GUIPUZCOA             39.722      1.765.508      1.805.230            0       39.214      1.676.731      1.715.945  GUIPUZCOA
HUELVA                14.103      9.365.864      9.379.967            0       14.103      9.102.325      9.116.428  HUELVA
HUESCA             2.427.452        424.285      2.851.737      228.534    2.144.036        395.393      2.539.429  HUESCA
JAEN                  86.547        395.930        482.477            0       83.457        375.124        458.581  JAEN
LEON                 845.760     11.357.410     12.203.170            0      832.633     10.544.339     11.376.972  LEON
LLEIDA             2.160.929        540.516      2.701.445      443.350    1.672.198        518.613      2.190.811  LLEIDA
LA RIOJA             526.758      3.841.077      4.367.835            0      523.679      3.755.751      4.279.430  LA RIOJA
LUGO               3.384.167         64.004      3.448.171            0    3.340.559         63.033      3.403.592  LUGO
MADRID               124.987      1.098.362      1.223.349            0      122.475      1.010.231      1.132.706  MADRID
MALAGA               343.229        226.571        569.800      266.042       70.400        219.571        289.971  MALAGA
MURCIA                97.109      8.568.311      8.665.420            0       96.746      8.327.774      8.424.520  MURCIA
NAVARRA            2.220.506      3.083.640      5.304.146            0    2.202.399      3.013.138      5.215.537  NAVARRA
ORENSE             4.318.821        178.716      4.497.537      191.055    4.061.262        170.806      4.232.068  ORENSE
ASTURIAS           1.759.006     16.736.799     18.495.805       99.022    1.629.868     15.683.070     17.312.938  ASTURIAS
PALENCIA             432.771      2.610.335      3.043.106            0      431.590      2.433.022      2.864.612  PALENCIA
LAS PALMAS           197.308      4.695.923      4.893.231            0      196.348      4.439.052      4.635.400  LAS PALMAS
PONTEVEDRA           313.280        184.805        498.085            0      311.555        178.340        489.895  PONTEVEDRA
SALAMANCA          5.055.699         76.693      5.132.392      684.829    4.331.512         76.165      4.407.677  SALAMANCA
S.C.TENERIFE         149.209      3.747.488      3.896.697            0      148.260      3.540.744      3.689.004  S.C.TENERIFE
CANTABRIA            861.995        880.151      1.742.146      780.768       58.598        823.198        881.796  CANTABRIA
SEGOVIA               74.564        128.603        203.167            0       74.124        117.274        191.398  SEGOVIA
SEVILLA              188.788        425.844        614.632       63.342      121.447        406.705        528.152  SEVILLA
SORIA                500.424        276.246        776.670            0      497.055        260.979        758.034  SORIA
TARRAGONA            876.742     26.771.121     27.647.863            0      864.170     25.718.892     26.583.062  TARRAGONA
TERUEL                27.121      8.227.166      8.254.287            0       26.845      7.789.668      7.816.513  TERUEL
TOLEDO               263.287      4.478.088      4.741.375            0      260.449      4.354.062      4.614.511  TOLEDO
VALENCIA             730.955      8.072.526      8.803.481      625.390       92.175      7.756.554      7.848.729  VALENCIA
VALLADOLID            59.922        492.532        552.454            0       59.544        471.548        531.092  VALLADOLID
VIZCAYA              110.742      8.267.187      8.377.929            0      110.023      8.048.245      8.158.268  VIZCAYA
ZAMORA             2.445.420         13.458      2.458.878            0    2.431.874         13.458      2.445.332  ZAMORA
ZARAGOZA           1.421.767      2.078.095      3.499.862            0    1.413.185      2.039.473      3.452.658  ZARAGOZA
CEUTA                      0        189.345        189.345            0            0        184.496        184.496  CEUTA
MELILLA                    0        173.674        173.674            0            0        165.363        165.363  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        42.958.496    216.848.473    259.806.969    3.902.714   38.540.946    207.136.959    245.677.905  T O T A L
