
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                NOVIEMBRE  2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                12.231      33.688        39.324        85.243            0      12.180      33.688        37.902        83.770
ALBACETE             15.608     305.535        14.702       335.845            0      15.494     304.316        14.103       333.913
ALICANTE                  0           0         6.390         6.390            0           0           0         6.142         6.142
ALMERIA                   0      25.534       651.572       677.106            0           0      24.768       631.964       656.732
AVILA                 1.899      19.485             0        21.384            0       1.792      19.102             0        20.894
BADAJOZ               1.294           0         3.138         4.432            0       1.128           0         2.942         4.070
BALEARES                  0         620       463.516       464.136            0           0         601       433.825       434.426
BARCELONA            17.339      20.913       633.760       672.012            0      17.168      20.799       610.030       647.997
BURGOS                6.151     190.713       423.051       619.915            0       6.124     188.421       405.660       600.205
CACERES              22.607           0     1.417.588     1.440.195        1.294      20.475           0     1.368.164     1.388.639
CADIZ                     0      73.964     1.198.967     1.272.931            0           0      72.602     1.164.262     1.236.864
CASTELLON            15.006     125.365       694.761       835.132            0      14.925     121.604       677.489       814.018
CIUDAD REAL               0      36.163       251.803       287.966            0           0      35.953       222.826       258.779
CORDOBA               4.603           0        23.850        28.453            0       4.390           0        22.629        27.019
LA CORUÑA            65.379     234.151     1.487.048     1.786.578            0      64.320     230.249     1.432.627     1.727.196
CUENCA               12.622     108.626        28.753       150.001            0      12.506     108.626        27.522       148.654
GIRONA               14.208           0        31.341        45.549            0      14.022           0        30.218        44.240
GRANADA               4.537      37.483        47.753        89.773            0       4.409      37.188        46.201        87.798
GUADALAJARA          11.127     102.145       754.814       868.086       31.882     -21.084     101.478       707.877       788.271
GUIPUZCOA             6.291           0        91.723        98.014            0       6.234           0        87.633        93.867
HUELVA                    0       4.822       657.833       662.655            0           0       4.737       641.032       645.769
HUESCA              125.975      59.228        45.978       231.181       19.909     102.793      58.805        43.503       205.101
JAEN                  2.604       2.211        43.988        48.803            0       2.540       2.145        42.381        47.066
LEON                 27.877      11.415     1.186.999     1.226.291            0      27.103      11.415     1.104.371     1.142.889
LLEIDA              176.081      22.426        75.347       273.854       35.324     137.297      21.753        71.913       230.963
LA RIOJA             12.259     142.933       341.416       496.608            0      12.241     140.717       334.178       487.136
LUGO                 84.652     274.690         3.396       362.738            0      83.520     270.585         3.300       357.405
MADRID                3.251           0        94.721        97.972            0       3.188           0        87.030        90.218
MALAGA               25.814      10.888         2.770        39.472       26.180        -806      10.784         2.642        12.620
MURCIA                4.178      28.095     1.152.170     1.184.443            0       4.149      27.676     1.128.780     1.160.605
NAVARRA              39.754     279.860       370.412       690.026            0      39.541     277.773       361.594       678.908
ORENSE              163.517      60.917        15.580       240.014       30.150     130.374      60.475        15.097       205.946
ASTURIAS            197.139      63.681     1.243.269     1.504.089        2.580     191.363      62.467     1.170.478     1.424.308
PALENCIA              1.891      63.325       169.469       234.685            0       1.829      62.446       156.491       220.766
LAS PALMAS                0      12.963       430.093       443.056            0           0      12.963       406.224       419.187
PONTEVEDRA            4.495      87.177        20.928       112.600            0       4.421      85.523        20.150       110.094
SALAMANCA           217.800       6.875        17.952       242.627       57.110     158.699       6.875        17.873       183.447
S.C.TENERIFE              0       8.693       339.405       348.098            0           0       8.693       319.794       328.487
CANTABRIA            90.679       2.111        86.238       179.028       78.768      10.251       2.111        80.878        93.240
SEGOVIA                 334       7.927         1.039         9.300            0         315       7.927           995         9.237
SEVILLA              18.957       7.877        43.630        70.464       20.146      -1.629       7.641        42.102        48.114
SORIA                   503     164.188        10.585       175.276            0         500     161.167         9.986       171.653
TARRAGONA            76.246      59.598     1.900.364     2.036.208            0      75.469      57.810     1.824.443     1.957.722
TERUEL                3.044      26.891       438.315       468.250            0       3.026      26.194       399.634       428.854
TOLEDO               19.881      10.906       395.421       426.208            0      19.649      10.733       384.921       415.303
VALENCIA            107.448       3.517       825.094       936.059      126.252     -20.571       3.411       794.840       777.680
VALLADOLID            5.268      18.858        44.633        68.759            0       5.222      18.292        43.461        66.975
VIZCAYA              28.593      19.880       885.315       933.788            0      28.422      19.542       862.612       910.576
ZAMORA               49.512      46.535         5.684       101.731            0      48.931      46.149         5.684       100.764
ZARAGOZA             83.515     392.537       315.365       791.417            0      82.670     385.196       308.628       776.494
CEUTA                     0           0        18.348        18.348            0           0           0        17.394        17.394
MELILLA                   0           0        16.630        16.630            0           0           0        15.669        15.669
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.782.169   3.215.409    19.462.241    24.459.819      429.595   1.324.590   3.171.400    18.648.094    23.144.084
