
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               NOVIEMBRE  2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                92.619     243.331       401.160       737.110            0      92.310     243.313       384.284       719.907
ALBACETE            111.253   3.237.331       166.227     3.514.811            0     110.379   3.214.476       159.331     3.484.186
ALICANTE                171           0        74.731        74.902            0         171           0        71.501        71.672
ALMERIA                   0     175.091     5.080.393     5.255.484            0           0     169.871     4.906.295     5.076.166
AVILA                72.744     232.422             0       305.166            0      71.238     229.011             0       300.249
BADAJOZ             107.333           0        41.999       149.332            0     103.868           0        38.783       142.651
BALEARES                  0       4.805     5.934.722     5.939.527            0           0       4.661     5.561.527     5.566.188
BARCELONA           126.667     132.954     7.161.800     7.421.421            0     125.396     132.176     6.878.629     7.136.201
BURGOS               61.024   1.563.493     4.617.158     6.241.675            0      60.717   1.537.717     4.422.633     6.021.067
CACERES           1.110.065           0    14.617.617    15.727.682       40.759   1.054.039           0    14.096.092    15.150.131
CADIZ                     0   1.014.718    14.225.834    15.240.552            0           0     991.397    13.610.154    14.601.551
CASTELLON            93.710     867.438     6.847.351     7.808.499            0      93.047     842.636     6.682.928     7.618.611
CIUDAD REAL               0     329.185     2.386.435     2.715.620            0           0     325.873     2.170.498     2.496.371
CORDOBA              67.636           0       213.533       281.169            0      65.422           0       203.128       268.550
LA CORUÑA           738.958   2.079.897    14.529.030    17.347.885            0     726.657   2.033.228    13.937.312    16.697.197
CUENCA              110.904   1.224.328       327.367     1.662.599            0     109.228   1.217.381       311.089     1.637.698
GIRONA              128.812           0       391.792       520.604            0     126.786           0       375.497       502.283
GRANADA              69.759     483.721       496.699     1.050.179            0      67.583     480.907       479.024     1.027.514
GUADALAJARA         136.665     739.478     7.500.778     8.376.921      329.869    -196.606     732.500     7.016.685     7.552.579
GUIPUZCOA            37.509       2.431     1.095.725     1.135.665            0      36.997       2.431     1.035.174     1.074.602
HUELVA                    0      64.257    10.276.755    10.341.012            0           0      63.164    10.034.030    10.097.194
HUESCA            2.154.271     530.549       610.299     3.295.119      202.729   1.903.381     523.500       572.953     2.999.834
JAEN                 82.225      23.570       397.887       503.682            0      76.345      23.068       378.377       477.790
LEON                442.365     137.067    10.828.322    11.407.754            0     432.857     135.003    10.052.842    10.620.702
LLEIDA            2.556.372     169.650       868.980     3.595.002      355.556   2.152.938     164.887       823.999     3.141.824
LA RIOJA            119.852     837.533     3.467.061     4.424.446            0     119.657     824.960     3.393.525     4.338.142
LUGO                996.422   2.468.219        65.021     3.529.662            0     983.898   2.421.654        64.031     3.469.583
MADRID               85.846           0     1.024.257     1.110.103            0      84.722           0       936.039     1.020.761
MALAGA              231.916     139.806       169.269       540.991      221.724       2.926     138.143       163.604       304.673
MURCIA               51.661     235.529    15.154.167    15.441.357            0      51.291     231.822    14.687.324    14.970.437
NAVARRA             358.152   2.103.574     4.694.275     7.156.001            0     355.142   2.089.609     4.592.107     7.036.858
ORENSE            2.566.278     540.506       168.950     3.275.734      276.327   2.248.428     537.061       163.661     2.949.150
ASTURIAS          1.281.641     450.960    11.062.855    12.795.456       67.061   1.192.731     439.512    10.347.266    11.979.509
PALENCIA            132.877     605.840       917.568     1.656.285            0     131.763     597.612       851.316     1.580.691
LAS PALMAS                0     272.728     4.739.875     5.012.603            0           0     271.525     4.471.367     4.742.892
PONTEVEDRA          102.751     724.050       219.617     1.046.418            0      99.334     710.251       211.565     1.021.150
SALAMANCA         3.053.297      57.160        57.537     3.167.994      399.925   2.602.921      57.160        57.023     2.717.104
S.C.TENERIFE              0     151.029     3.799.316     3.950.345            0           0     150.307     3.582.358     3.732.665
CANTABRIA           651.557      11.497       976.775     1.639.829      521.003     117.498      11.265       913.164     1.041.927
SEGOVIA               5.966      73.705       113.421       193.092            0       5.546      73.705       103.331       182.582
SEVILLA             160.399     125.702       407.439       693.540      145.549      11.803     122.078       392.218       526.099
SORIA                13.008   1.112.969       195.943     1.321.920            0      12.893   1.094.484       184.743     1.292.120
TARRAGONA           622.660     354.770    29.076.178    30.053.608            0     615.422     344.562    27.943.372    28.903.356
TERUEL               27.666     221.388     9.042.021     9.291.075            0      27.444     215.300     8.372.457     8.615.201
TOLEDO              163.613     129.813     4.292.298     4.585.724            0     161.168     128.019     4.176.751     4.465.938
VALENCIA            860.365      29.566    11.836.967    12.726.898      863.452     -18.787      28.907    11.420.798    11.430.918
VALLADOLID           60.376     179.053       504.220       743.649            0      59.828     174.202       483.912       717.942
VIZCAYA             125.750     149.447     9.749.900    10.025.097            0     124.820     146.680     9.467.760     9.739.260
ZAMORA            1.071.688     572.704        17.052     1.661.444            0   1.061.403     564.820        16.987     1.643.210
ZARAGOZA            737.879   2.709.931     3.992.170     7.439.980            0     729.494   2.649.151     3.910.668     7.289.313
CEUTA                     0           0       198.971       198.971            0           0           0       188.501       188.501
MELILLA                   0           0       175.953       175.953            0           0           0       165.984       165.984
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       21.782.682  27.513.195   225.211.670   274.507.547    3.423.954  17.994.098  27.089.989   215.464.597   260.548.684
