
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                OCTUBRE    2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 14.350         33.200         47.550            0       14.329         31.905         46.234  ALAVA
ALBACETE             122.736         20.325        143.061            0      122.561         19.405        141.966  ALBACETE
ALICANTE                   0          8.026          8.026            0            0          7.581          7.581  ALICANTE
ALMERIA                    0        661.633        661.633            0            0        640.258        640.258  ALMERIA
AVILA                 22.772              0         22.772            0       22.534              0         22.534  AVILA
BADAJOZ                1.641          4.645          6.286            0        1.488          4.425          5.913  BADAJOZ
BALEARES                   0        505.638        505.638            0            0        475.690        475.690  BALEARES
BARCELONA             15.634        654.999        670.633            0       15.512        626.309        641.821  BARCELONA
BURGOS                74.213        439.685        513.898            0       72.759        421.484        494.243  BURGOS
CACERES              241.363      1.043.648      1.285.011       15.543      223.711      1.001.803      1.225.514  CACERES
CADIZ                 38.454      1.504.376      1.542.830            0       37.511      1.464.968      1.502.479  CADIZ
CASTELLON              6.585        434.281        440.866            0        6.519        425.542        432.061  CASTELLON
CIUDAD REAL            8.882        231.152        240.034            0        8.882        210.075        218.957  CIUDAD REAL
CORDOBA                1.526        185.517        187.043            0        1.403        167.956        169.359  CORDOBA
LA CORUÑA            110.804      1.432.235      1.543.039            0      108.293      1.356.017      1.464.310  LA CORUÑA
CUENCA                60.942         41.029        101.971            0       60.876         38.607         99.483  CUENCA
GIRONA                10.569         37.928         48.497            0       10.369         36.630         46.999  GIRONA
GRANADA                6.287         57.762         64.049            0        6.190         55.705         61.895  GRANADA
GUADALAJARA           60.469        791.724        852.193       36.330       23.448        740.981        764.429  GUADALAJARA
GUIPUZCOA              3.280        163.156        166.436            0        3.228        155.012        158.240  GUIPUZCOA
HUELVA                 1.285        768.644        769.929            0        1.285        744.757        746.042  HUELVA
HUESCA               120.565         43.795        164.360       13.717      104.481         41.072        145.553  HUESCA
JAEN                   1.433         44.967         46.400            0        1.301         42.392         43.693  JAEN
LEON                  18.683        716.814        735.497            0       17.975        666.620        684.595  LEON
LLEIDA               122.174         50.829        173.003       40.492       78.249         48.429        126.678  LLEIDA
LA RIOJA              47.185        395.312        442.497            0       47.181        386.498        433.679  LA RIOJA
LUGO                 150.302          6.322        156.624            0      148.094          6.218        154.312  LUGO
MADRID                 7.474         89.654         97.128            0        7.374         81.727         89.101  MADRID
MALAGA                28.448         26.647         55.095       25.112        2.843         25.787         28.630  MALAGA
MURCIA                 6.011        876.310        882.321            0        5.981        852.670        858.651  MURCIA
NAVARRA              204.776        255.914        460.690            0      204.712        249.247        453.959  NAVARRA
ORENSE               286.671         20.109        306.780       15.827      267.282         19.298        286.580  ORENSE
ASTURIAS              72.428      1.509.828      1.582.256       14.461       56.677      1.413.884      1.470.561  ASTURIAS
PALENCIA              18.644        294.540        313.184            0       18.619        274.376        292.995  PALENCIA
LAS PALMAS            14.795        457.306        472.101            0       14.795        436.383        451.178  LAS PALMAS
PONTEVEDRA            13.151         19.465         32.616            0       13.138         18.790         31.928  PONTEVEDRA
SALAMANCA            499.714            986        500.700       64.118      431.651            962        432.613  SALAMANCA
S.C.TENERIFE           7.909        365.121        373.030            0        7.445        345.523        352.968  S.C.TENERIFE
CANTABRIA             77.454         84.359        161.813       76.411       -1.166         79.329         78.163  CANTABRIA
SEGOVIA                5.099         11.519         16.618            0        5.097         10.434         15.531  SEGOVIA
SEVILLA               14.734         38.802         53.536       14.300           38         37.373         37.411  SEVILLA
SORIA                 34.843         28.728         63.571            0       34.577         27.197         61.774  SORIA
TARRAGONA             46.775      3.046.223      3.092.998            0       46.237      2.925.316      2.971.553  TARRAGONA
TERUEL                 1.941        826.516        828.457            0        1.904        788.226        790.130  TERUEL
TOLEDO                22.759        451.117        473.876            0       22.512        439.570        462.082  TOLEDO
VALENCIA              34.711      1.419.162      1.453.873        3.605       30.433      1.373.502      1.403.935  VALENCIA
VALLADOLID             3.576         57.682         61.258            0        3.535         55.463         58.998  VALLADOLID
VIZCAYA                5.937        629.839        635.776            0        5.879        609.379        615.258  VIZCAYA
ZAMORA               142.437          1.416        143.853            0      141.511          1.416        142.927  ZAMORA
ZARAGOZA             103.401        199.270        302.671            0      102.766        195.962        298.728  ZARAGOZA
CEUTA                      0         17.942         17.942            0            0         17.191         17.191  CEUTA
MELILLA                    0         16.987         16.987            0            0         15.959         15.959  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.915.822     21.023.084     23.938.906      319.916    2.562.019     20.111.303     22.673.322  T O T A L
