
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               OCTUBRE    2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                210.941        353.657        564.598            0      210.328        339.569        549.897  ALAVA
ALBACETE           2.135.335        178.644      2.313.979            0    2.132.476        171.031      2.303.507  ALBACETE
ALICANTE                   0         77.238         77.238            0            0         74.064         74.064  ALICANTE
ALMERIA                    0      7.000.159      7.000.159            0            0      6.772.310      6.772.310  ALMERIA
AVILA                247.300              0        247.300            0      245.717              0        245.717  AVILA
BADAJOZ               75.604         36.736        112.340            0       73.509         33.792        107.301  BADAJOZ
BALEARES                   0      5.355.368      5.355.368            0            0      5.033.601      5.033.601  BALEARES
BARCELONA            152.029      6.706.997      6.859.026            0      151.054      6.409.647      6.560.701  BARCELONA
BURGOS               921.029      3.700.496      4.621.525            0      906.364      3.541.027      4.447.391  BURGOS
CACERES            1.962.865     13.773.063     15.735.928       57.089    1.886.435     13.279.379     15.165.814  CACERES
CADIZ                357.694     12.675.964     13.033.658            0      351.624     12.338.873     12.690.497  CADIZ
CASTELLON             68.892      3.243.309      3.312.201            0       68.341      3.164.843      3.233.184  CASTELLON
CIUDAD REAL           66.738      2.941.178      3.007.916            0       66.738      2.655.896      2.722.634  CIUDAD REAL
CORDOBA               64.210      1.812.825      1.877.035            0       62.525      1.642.365      1.704.890  CORDOBA
LA CORUÑA          2.219.954     13.174.726     15.394.680            0    2.190.196     12.481.201     14.671.397  LA CORUÑA
CUENCA               882.018        262.946      1.144.964            0      880.613        248.497      1.129.110  CUENCA
GIRONA               138.690        368.303        506.993            0      136.598        352.521        489.119  GIRONA
GRANADA               73.350        495.864        569.214            0       71.888        475.885        547.773  GRANADA
GUADALAJARA          679.626      6.980.349      7.659.975      447.486      226.217      6.522.927      6.749.144  GUADALAJARA
GUIPUZCOA             31.273      1.598.690      1.629.963            0       30.803      1.517.939      1.548.742  GUIPUZCOA
HUELVA                12.606      8.566.435      8.579.041            0       12.606      8.322.206      8.334.812  HUELVA
HUESCA             2.304.695        384.286      2.688.981      198.134    2.064.582        357.792      2.422.374  HUESCA
JAEN                  85.120        352.441        437.561            0       82.146        333.924        416.070  JAEN
LEON                 837.276     10.425.555     11.262.831            0      824.718      9.671.755     10.496.473  LEON
LLEIDA             2.070.430        487.803      2.558.233      400.828    1.626.900        467.763      2.094.663  LLEIDA
LA RIOJA             459.085      3.588.558      4.047.643            0      458.890      3.508.679      3.967.569  LA RIOJA
LUGO               3.160.167         57.778      3.217.945            0    3.119.918         56.899      3.176.817  LUGO
MADRID               116.394        994.901      1.111.295            0      113.977        915.117      1.029.094  MADRID
MALAGA               309.397        200.423        509.820      231.275       71.825        194.231        266.056  MALAGA
MURCIA                91.241      7.185.313      7.276.554            0       90.915      6.988.980      7.079.895  MURCIA
NAVARRA            1.918.674      2.677.522      4.596.196            0    1.904.049      2.617.299      4.521.348  NAVARRA
ORENSE             4.078.332        177.462      4.255.794      172.270    3.842.714        169.769      4.012.483  ORENSE
ASTURIAS           1.649.385     15.385.336     17.034.721       99.022    1.523.163     14.423.621     15.946.784  ASTURIAS
PALENCIA             400.153      2.340.496      2.740.649            0      398.995      2.182.903      2.581.898  PALENCIA
LAS PALMAS           185.092      4.250.258      4.435.350            0      184.132      4.018.738      4.202.870  LAS PALMAS
PONTEVEDRA           294.654        165.939        460.593            0      292.951        160.147        453.098  PONTEVEDRA
SALAMANCA          4.563.994         75.979      4.639.973      608.258    3.920.235         75.480      3.995.715  SALAMANCA
S.C.TENERIFE         142.453      3.395.786      3.538.239            0      141.507      3.206.913      3.348.420  S.C.TENERIFE
CANTABRIA            783.451        833.190      1.616.641      706.349       56.285        780.536        836.821  CANTABRIA
SEGOVIA               71.047        117.412        188.459            0       70.648        107.104        177.752  SEGOVIA
SEVILLA              170.183        389.256        559.439       43.640      123.083        371.337        494.420  SEVILLA
SORIA                452.521        247.745        700.266            0      449.510        233.915        683.425  SORIA
TARRAGONA            826.980     24.154.359     24.981.339            0      815.054     23.189.315     24.004.369  TARRAGONA
TERUEL                26.316      7.234.416      7.260.732            0       26.052      6.837.016      6.863.068  TERUEL
TOLEDO               240.720      4.003.180      4.243.900            0      238.165      3.893.463      4.131.628  TOLEDO
VALENCIA             688.808      6.750.031      7.438.839      585.985       90.329      6.476.719      6.567.048  VALENCIA
VALLADOLID            56.152        433.249        489.401            0       55.815        414.342        470.157  VALLADOLID
VIZCAYA              103.197      7.439.290      7.542.487            0      102.540      7.243.046      7.345.586  VIZCAYA
ZAMORA             2.301.608          7.318      2.308.926            0    2.289.050          7.318      2.296.368  ZAMORA
ZARAGOZA           1.309.979      1.807.993      3.117.972            0    1.301.899      1.774.219      3.076.118  ZARAGOZA
CEUTA                      0        171.874        171.874            0            0        167.737        167.737  CEUTA
MELILLA                    0        158.163        158.163            0            0        150.672        150.672  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        39.997.658    195.196.259    235.193.917    3.550.336   35.984.079    186.374.322    222.358.401  T O T A L
