
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                SEPTIEMBRE 2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 14.025         56.526         70.551            0       13.988         54.892         68.880  ALAVA
ALBACETE             144.710          4.723        149.433            0      144.633          4.571        149.204  ALBACETE
ALICANTE                   0          6.591          6.591            0            0          6.459          6.459  ALICANTE
ALMERIA                    0        514.293        514.293            0            0        494.650        494.650  ALMERIA
AVILA                 18.487              0         18.487            0       18.403              0         18.403  AVILA
BADAJOZ                5.108          3.417          8.525            0        4.667          3.267          7.934  BADAJOZ
BALEARES                   0        562.365        562.365            0            0        528.672        528.672  BALEARES
BARCELONA             15.820        781.302        797.122            0       15.719        749.904        765.623  BARCELONA
BURGOS                53.122        381.854        434.976            0       52.187        364.682        416.869  BURGOS
CACERES              120.277      1.352.471      1.472.748          408      118.734      1.302.541      1.421.275  CACERES
CADIZ                 24.265      1.836.363      1.860.628            0       23.550      1.785.815      1.809.365  CADIZ
CASTELLON              1.335        589.459        590.794            0        1.306        573.531        574.837  CASTELLON
CIUDAD REAL                0        299.726        299.726            0            0        267.479        267.479  CIUDAD REAL
CORDOBA                4.500        179.989        184.489            0        4.349        162.717        167.066  CORDOBA
LA CORUÑA             82.518      1.116.291      1.198.809            0       81.786      1.055.552      1.137.338  LA CORUÑA
CUENCA                59.801         16.815         76.616            0       59.729         15.946         75.675  CUENCA
GIRONA                22.330         37.523         59.853            0       22.125         35.940         58.065  GIRONA
GRANADA                  631         36.702         37.333            0          617         35.275         35.892  GRANADA
GUADALAJARA           55.349        661.890        717.239       35.505       19.505        615.535        635.040  GUADALAJARA
GUIPUZCOA                261        166.751        167.012            0          253        158.357        158.610  GUIPUZCOA
HUELVA                     0        937.602        937.602            0            0        912.497        912.497  HUELVA
HUESCA               214.426         24.133        238.559       62.447      147.011         22.771        169.782  HUESCA
JAEN                   8.417         24.987         33.404            0        8.172         23.846         32.018  JAEN
LEON                  28.062      1.104.282      1.132.344            0       27.287      1.028.744      1.056.031  LEON
LLEIDA               143.500         42.634        186.134       43.872       94.109         40.487        134.596  LLEIDA
LA RIOJA              30.497        447.945        478.442            0       30.487        438.188        468.675  LA RIOJA
LUGO                 141.662          4.541        146.203            0      139.309          4.475        143.784  LUGO
MADRID                 5.484        100.155        105.639            0        5.469         91.485         96.954  MADRID
MALAGA                52.052         16.967         69.019       60.668       -9.745         16.416          6.671  MALAGA
MURCIA                 7.496        815.480        822.976            0        7.465        794.195        801.660  MURCIA
NAVARRA              113.582        367.431        481.013            0      113.510        359.574        473.084  NAVARRA
ORENSE               212.918         17.238        230.156       25.985      183.650         16.398        200.048  ORENSE
ASTURIAS              65.161      1.510.234      1.575.395            0       64.010      1.412.032      1.476.042  ASTURIAS
PALENCIA              19.426        275.040        294.466            0       19.341        257.835        277.176  PALENCIA
LAS PALMAS            17.371        446.770        464.141            0       17.371        423.929        441.300  LAS PALMAS
PONTEVEDRA            11.108         22.401         33.509            0       11.098         21.534         32.632  PONTEVEDRA
SALAMANCA            216.965            625        217.590       78.907      135.709            600        136.309  SALAMANCA
S.C.TENERIFE          13.517        354.104        367.621            0       13.487        335.067        348.554  S.C.TENERIFE
CANTABRIA             68.545         87.519        156.064            0       66.708         82.322        149.030  CANTABRIA
SEGOVIA                2.656          1.569          4.225            0        2.625          1.487          4.112  SEGOVIA
SEVILLA                3.116         32.154         35.270            0        2.965         30.797         33.762  SEVILLA
SORIA                 27.018         22.347         49.365            0       26.896         21.020         47.916  SORIA
TARRAGONA             41.550      1.978.233      2.019.783            0       41.067      1.875.451      1.916.518  TARRAGONA
TERUEL                 1.681        734.576        736.257            0        1.663        682.876        684.539  TERUEL
TOLEDO                 7.760        383.201        390.961            0        7.587        370.633        378.220  TOLEDO
VALENCIA              79.505        815.980        895.485       74.805        3.230        784.821        788.051  VALENCIA
VALLADOLID             1.310         32.949         34.259            0        1.309         31.879         33.188  VALLADOLID
VIZCAYA                8.246      1.290.611      1.298.857            0        8.198      1.257.347      1.265.545  VIZCAYA
ZAMORA                87.597          1.338         88.935            0       86.764          1.283         88.047  ZAMORA
ZARAGOZA              59.767        166.119        225.886            0       59.272        161.972        221.244  ZARAGOZA
CEUTA                      0         17.515         17.515            0            0         16.466         16.466  CEUTA
MELILLA                    0         15.564         15.564            0            0         14.723         14.723  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.312.934     20.697.295     23.010.229      382.597    1.897.575     19.748.935     21.646.510  T O T A L
