
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                SEPTIEMBRE 2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 3.885      17.171        25.799        46.855            0       3.875      17.171        24.391        45.437
ALBACETE                527     216.338        15.538       232.403            0         521     215.259        14.900       230.680
ALICANTE                  0           0         7.925         7.925            0           0           0         7.590         7.590
ALMERIA                   0      19.127       477.787       496.914            0           0      18.569       460.637       479.206
AVILA                 5.227      19.959             0        25.186            0       5.121      19.628             0        24.749
BADAJOZ               3.600           0         4.183         7.783            0       3.351           0         3.956         7.307
BALEARES                  0         462       587.338       587.800            0           0         448       550.364       550.812
BARCELONA            13.051       8.010       780.279       801.340            0      12.934       7.941       748.637       769.512
BURGOS                2.968     103.278       404.146       510.392            0       2.950     101.255       385.881       490.086
CACERES              80.986           0     1.390.433     1.471.419           66      79.908           0     1.340.092     1.420.000
CADIZ                     0      72.570     1.557.468     1.630.038            0           0      70.897     1.283.685     1.354.582
CASTELLON             7.392      62.007       783.145       852.544            0       7.341      60.147       765.559       833.047
CIUDAD REAL               0      21.412       248.855       270.267            0           0      21.292       223.888       245.180
CORDOBA               4.609           0        10.512        15.121            0       4.465           0         9.934        14.399
LA CORUÑA            31.248     173.351     1.648.108     1.852.707            0      30.509     170.492     1.589.857     1.790.858
CUENCA                4.764      83.477        26.867       115.108            0       4.703      82.813        25.897       113.413
GIRONA               12.301           0        35.307        47.608            0      12.082           0        33.906        45.988
GRANADA                 535      36.564        44.563        81.662            0         519      36.293        42.986        79.798
GUADALAJARA          10.518      50.969       760.993       822.480       13.510      -3.252      50.424       711.827       758.999
GUIPUZCOA                44           0        47.399        47.443            0          41           0        44.949        44.990
HUELVA                    0       4.173       866.233       870.406            0           0       4.096       845.753       849.849
HUESCA              122.755      39.626        53.355       215.736       17.754     101.894      39.317        49.661       190.872
JAEN                  6.538       1.796        26.190        34.524            0       6.178       1.796        25.003        32.977
LEON                 29.474       8.067     1.083.298     1.120.839            0      28.760       8.010     1.008.114     1.044.884
LLEIDA              165.873      11.146        72.114       249.133       18.225     144.658      10.812        68.485       223.955
LA RIOJA              9.278      67.122       283.061       359.461            0       9.262      65.996       277.053       352.311
LUGO                 80.029     222.598         7.185       309.812            0      79.075     219.184         7.063       305.322
MADRID                7.799           0        84.999        92.798            0       7.689           0        78.324        86.013
MALAGA               15.202      10.146        11.709        37.057       18.998      -4.217       9.881        11.346        17.010
MURCIA                5.865      12.331     1.214.402     1.232.598            0       5.831      12.127     1.178.872     1.196.830
NAVARRA              16.361     191.965       480.102       688.428            0      16.262     190.851       469.618       676.731
ORENSE              188.297      22.978         8.055       219.330       25.765     159.871      22.843         7.845       190.559
ASTURIAS             42.701      35.601       922.792     1.001.094        6.585      34.995      34.837       869.468       939.300
PALENCIA             16.084      44.638       112.297       173.019            0      15.953      43.981       105.635       165.569
LAS PALMAS                0      19.665       451.868       471.533            0           0      19.665       427.215       446.880
PONTEVEDRA            1.779      37.679        21.251        60.709            0       1.718      36.941        20.472        59.131
SALAMANCA           182.027       4.775           686       187.488        1.809     177.540       4.775           659       182.974
S.C.TENERIFE              0       9.919       357.267       367.186            0           0       9.917       337.564       347.481
CANTABRIA            31.385       1.498        91.512       124.395       38.477      -7.776       1.453        85.950        79.627
SEGOVIA                 398       5.137        11.015        16.550            0         364       5.137         9.960        15.461
SEVILLA              10.556       9.388        43.078        63.022        9.084         437       8.995        41.478        50.910
SORIA                 1.325      82.530         9.772        93.627            0       1.315      81.016         9.104        91.435
TARRAGONA            43.150      31.010     2.064.177     2.138.337            0      42.706      30.734     1.985.645     2.059.085
TERUEL                2.279      16.543       701.251       720.073            0       2.260      16.050       653.125       671.435
TOLEDO               11.692       8.691       375.928       396.311            0      11.508       8.691       365.885       386.084
VALENCIA             78.564       1.656     1.091.843     1.172.063       75.783       1.304       1.606     1.053.409     1.056.319
VALLADOLID            3.432      14.131        41.602        59.165            0       3.399      13.707        39.624        56.730
VIZCAYA               6.322       9.492       964.863       980.677            0       6.261       9.273       942.492       958.026
ZAMORA              109.149      33.691             0       142.840            0     108.357      33.372             0       141.729
ZARAGOZA             50.160     213.677       301.873       565.710            0      49.643     209.196       296.383       555.222
CEUTA                     0           0        18.236        18.236            0           0           0        17.228        17.228
MELILLA                   0           0        18.169        18.169            0           0           0        17.091        17.091
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.420.129   2.056.364    20.646.828    24.123.321      226.056   1.170.315   2.026.888    19.574.460    22.771.663
