
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                DICIEMBRE  2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 22.481         73.089         95.570            0       22.423         70.820         93.243  ALAVA
ALBACETE             181.542         12.984        194.526            0      181.374         12.452        193.826  ALBACETE
ALICANTE                   0          9.266          9.266            0            0          8.809          8.809  ALICANTE
ALMERIA                    0        575.512        575.512            0            0        554.150        554.150  ALMERIA
AVILA                 43.132              0         43.132            0       42.958              0         42.958  AVILA
BADAJOZ                2.059          3.393          5.452            0        1.960          3.118          5.078  BADAJOZ
BALEARES                   0        480.075        480.075            0            0        447.559        447.559  BALEARES
BARCELONA             17.701        607.251        624.952            0       17.610        578.807        596.417  BARCELONA
BURGOS                78.370        362.935        441.305            0       76.959        345.992        422.951  BURGOS
CACERES              817.345      1.460.088      2.277.433        6.253      805.714      1.410.398      2.216.112  CACERES
CADIZ                 15.940      1.148.413      1.164.353            0       15.653      1.113.293      1.128.946  CADIZ
CASTELLON              1.244        368.265        369.509            0        1.218        359.483        360.701  CASTELLON
CIUDAD REAL                0        155.332        155.332            0            0        142.564        142.564  CIUDAD REAL
CORDOBA                1.338        114.004        115.342            0        1.237        102.181        103.418  CORDOBA
LA CORUÑA            323.787      1.125.985      1.449.772            0      319.810      1.062.751      1.382.561  LA CORUÑA
CUENCA                75.147          9.133         84.280            0       74.989          8.510         83.499  CUENCA
GIRONA                10.134         44.534         54.668            0        9.973         43.116         53.089  GIRONA
GRANADA                1.699         31.109         32.808            0        1.670         29.940         31.610  GRANADA
GUADALAJARA           63.373        796.444        859.817       35.016       27.713        746.777        774.490  GUADALAJARA
GUIPUZCOA              3.299         75.083         78.382            0        3.248         69.975         73.223  GUIPUZCOA
HUELVA                     0        872.365        872.365            0            0        846.706        846.706  HUELVA
HUESCA               262.509         15.570        278.079       15.118      242.531         14.325        256.856  HUESCA
JAEN                   1.068          7.214          8.282            0        1.013          6.516          7.529  JAEN
LEON                  97.399        793.526        890.925            0       96.183        735.120        831.303  LEON
LLEIDA               201.508         46.601        248.109       50.018      147.654         44.846        192.500  LLEIDA
LA RIOJA              45.601        285.161        330.762            0       45.587        277.789        323.376  LA RIOJA
LUGO                 526.834          4.686        531.520            0      519.343          4.620        523.963  LUGO
MADRID                36.758        105.854        142.612            0       36.535         97.779        134.314  MADRID
MALAGA                41.386         19.653         61.039       35.791        5.194         19.185         24.379  MALAGA
MURCIA                 8.349        728.285        736.634            0        8.306        710.199        718.505  MURCIA
NAVARRA              157.395        200.887        358.282            0      157.199        196.058        353.257  NAVARRA
ORENSE               927.352         15.919        943.271        6.550      911.112         15.294        926.406  ORENSE
ASTURIAS             302.911      1.211.734      1.514.645       16.531      281.022      1.138.392      1.419.414  ASTURIAS
PALENCIA              36.205         46.676         82.881            0       36.084         42.512         78.596  PALENCIA
LAS PALMAS                 0        434.564        434.564            0            0        411.078        411.078  LAS PALMAS
PONTEVEDRA            73.516         22.239         95.755            0       72.944         21.434         94.378  PONTEVEDRA
SALAMANCA            970.857            530        971.387       33.147      931.831            509        932.340  SALAMANCA
S.C.TENERIFE           1.967        344.476        346.443            0        1.961        326.545        328.506  S.C.TENERIFE
CANTABRIA             82.980         89.201        172.181       92.611      -11.540         83.949         72.409  CANTABRIA
SEGOVIA                3.736         11.986         15.722            0        3.711         11.067         14.778  SEGOVIA
SEVILLA                9.846         40.471         50.317            0        9.715         39.019         48.734  SEVILLA
SORIA                 31.940         26.477         58.417            0       31.762         25.128         56.890  SORIA
TARRAGONA             53.879      2.571.526      2.625.405            0       53.297      2.469.231      2.522.528  TARRAGONA
TERUEL                 1.504        531.862        533.366            0        1.490        490.963        492.453  TERUEL
TOLEDO                56.592        345.558        402.150            0       55.984        335.689        391.673  TOLEDO
VALENCIA              96.248        853.498        949.746      102.701       -8.168        821.888        813.720  VALENCIA
VALLADOLID             7.014         28.899         35.913            0        6.990         27.721         34.711  VALLADOLID
VIZCAYA                7.918        594.935        602.853            0        7.864        576.447        584.311  VIZCAYA
ZAMORA               439.995          7.565        447.560            0      437.846          7.472        445.318  ZAMORA
ZARAGOZA              88.246        179.954        268.200            0       87.408        176.175        263.583  ZARAGOZA
CEUTA                      0         18.564         18.564            0            0         17.509         17.509  CEUTA
MELILLA                    0         14.256         14.256            0            0         13.687         13.687  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         6.230.104     17.923.587     24.153.691      393.736    5.775.367     17.115.547     22.890.914  T O T A L
