
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               DICIEMBRE  2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                248.169        433.703        681.872            0      247.422        416.613        664.035  ALAVA
ALBACETE           2.546.560        219.483      2.766.043            0    2.542.915        210.045      2.752.960  ALBACETE
ALICANTE                   0         83.856         83.856            0            0         80.565         80.565  ALICANTE
ALMERIA                    0      8.484.745      8.484.745            0            0      8.208.454      8.208.454  ALMERIA
AVILA                280.122              0        280.122            0      278.212              0        278.212  AVILA
BADAJOZ               79.757         45.352        125.109            0       77.192         41.882        119.074  BADAJOZ
BALEARES                   0      6.329.611      6.329.611            0            0      5.948.691      5.948.691  BALEARES
BARCELONA            165.620      8.098.499      8.264.119            0      164.513      7.751.995      7.916.508  BARCELONA
BURGOS             1.084.009      4.590.769      5.674.778            0    1.066.092      4.394.055      5.460.147  BURGOS
CACERES            2.158.431     15.948.276     18.106.707       78.259    2.057.543     15.372.414     17.429.957  CACERES
CADIZ                451.572     16.193.202     16.644.774            0      444.234     15.767.961     16.212.195  CADIZ
CASTELLON             81.507      4.056.806      4.138.313            0       80.820      3.958.868      4.039.688  CASTELLON
CIUDAD REAL           89.859      3.344.501      3.434.360            0       89.859      3.036.636      3.126.495  CIUDAD REAL
CORDOBA               66.634      2.268.674      2.335.308            0       64.721      2.059.877      2.124.598  CORDOBA
LA CORUÑA          2.449.429     16.322.314     18.771.743            0    2.415.377     15.467.778     17.883.155  LA CORUÑA
CUENCA             1.037.137        337.767      1.374.904            0    1.035.486        319.090      1.354.576  CUENCA
GIRONA               155.013        439.434        594.447            0      152.604        421.244        573.848  GIRONA
GRANADA               88.982        592.596        681.578            0       87.305        568.895        656.200  GRANADA
GUADALAJARA          809.221      8.537.019      9.346.240      496.833      305.065      7.982.795      8.287.860  GUADALAJARA
GUIPUZCOA             44.133      1.929.704      1.973.837            0       43.583      1.832.764      1.876.347  GUIPUZCOA
HUELVA                16.259     10.372.810     10.389.069            0       16.259     10.078.083     10.094.342  HUELVA
HUESCA             2.556.018        465.985      3.022.003      267.469    2.230.475        434.059      2.664.534  HUESCA
JAEN                  88.269        434.471        522.740            0       85.103        411.576        496.679  JAEN
LEON                 863.181     12.548.854     13.412.035            0      849.193     11.653.420     12.502.613  LEON
LLEIDA             2.288.064        591.380      2.879.444      505.382    1.733.622        567.865      2.301.487  LLEIDA
LA RIOJA             574.460      4.068.760      4.643.220            0      571.377      3.978.406      4.549.783  LA RIOJA
LUGO               3.560.495         68.097      3.628.592            0    3.514.647         67.041      3.581.688  LUGO
MADRID               127.970      1.204.665      1.332.635            0      125.404      1.107.982      1.233.386  MADRID
MALAGA               381.226        248.657        629.883      301.270       72.599        240.989        313.588  MALAGA
MURCIA               107.228      9.924.679     10.031.907            0      106.828      9.632.280      9.739.108  MURCIA
NAVARRA            2.421.105      3.549.203      5.970.308            0    2.402.575      3.467.862      5.870.437  NAVARRA
ORENSE             4.518.958        189.013      4.707.971      214.508    4.234.901        180.652      4.415.553  ORENSE
ASTURIAS           1.874.846     18.254.630     20.129.476      115.243    1.726.595     17.097.279     18.823.874  ASTURIAS
PALENCIA             450.187      2.929.991      3.380.178            0      448.979      2.732.302      3.181.281  PALENCIA
LAS PALMAS           209.597      5.144.413      5.354.010            0      208.637      4.859.680      5.068.317  LAS PALMAS
PONTEVEDRA           330.498        221.001        551.499            0      328.734        213.243        541.977  PONTEVEDRA
SALAMANCA          5.459.371         77.347      5.536.718      723.983    4.692.763         76.793      4.769.556  SALAMANCA
S.C.TENERIFE         160.052      4.106.728      4.266.780            0      159.103      3.880.089      4.039.192  S.C.TENERIFE
CANTABRIA            941.199        920.706      1.861.905      864.410       52.143        859.661        911.804  CANTABRIA
SEGOVIA               83.528        140.074        223.602            0       83.074        127.796        210.870  SEGOVIA
SEVILLA              208.789        463.821        672.610       88.061      116.495        443.380        559.875  SEVILLA
SORIA                549.615        302.114        851.729            0      545.944        285.468        831.412  SORIA
TARRAGONA            919.662     29.578.585     30.498.247            0      906.537     28.411.756     29.318.293  TARRAGONA
TERUEL                28.731      9.114.291      9.143.022            0       28.439      8.636.847      8.665.286  TERUEL
TOLEDO               285.590      4.932.610      5.218.200            0      282.533      4.795.780      5.078.313  TOLEDO
VALENCIA             840.883      9.492.618     10.333.501      752.202       73.478      9.131.700      9.205.178  VALENCIA
VALLADOLID            63.718        554.660        618.378            0       63.279        531.694        594.973  VALLADOLID
VIZCAYA              121.860      9.121.968      9.243.828            0      121.069      8.879.195      9.000.264  VIZCAYA
ZAMORA             2.544.574         19.873      2.564.447            0    2.530.009         19.873      2.549.882  ZAMORA
ZARAGOZA           1.513.628      2.338.967      3.852.595            0    1.504.596      2.294.251      3.798.847  ZARAGOZA
CEUTA                      0        207.942        207.942            0            0        202.205        202.205  CEUTA
MELILLA                    0        190.725        190.725            0            0        181.497        181.497  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        45.925.716    240.035.949    285.961.665    4.407.620   40.968.333    229.321.326    270.289.659  T O T A L
