
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               DICIEMBRE  2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA               110.244     270.012       432.415       812.671            0     109.869     269.963       414.418       794.250
ALBACETE            118.402   3.676.497       179.966     3.974.865            0     117.452   3.651.913       172.515     3.941.880
ALICANTE                171           0        80.190        80.361            0         171           0        76.728        76.899
ALMERIA                   0     215.018     5.739.125     5.954.143            0           0     209.063     5.545.843     5.754.906
AVILA                76.223     255.376             0       331.599            0      74.586     251.606             0       326.192
BADAJOZ             107.641           0        46.427       154.068            0     104.038           0        42.827       146.865
BALEARES                  0       5.497     6.468.743     6.474.240            0           0       5.332     6.064.820     6.070.152
BARCELONA           138.169     155.731     7.709.778     8.003.678            0     136.777     154.841     7.407.799     7.699.417
BURGOS               69.112   1.714.182     5.048.399     6.831.693            0      68.772   1.686.474     4.835.269     6.590.515
CACERES           1.179.273           0    16.089.883    17.269.156       42.519   1.120.370           0    15.518.933    16.639.303
CADIZ                     0   1.102.704    15.418.464    16.521.168            0           0   1.077.700    14.766.046    15.843.746
CASTELLON           101.595   1.021.735     7.524.311     8.647.641            0     100.850     992.304     7.344.646     8.437.800
CIUDAD REAL               0     364.635     2.643.748     3.008.383            0           0     361.141     2.398.125     2.759.266
CORDOBA              71.578           0       258.660       330.238            0      69.140           0       239.946       309.086
LA CORUÑA           896.817   2.290.933    15.810.354    18.998.104            0     882.527   2.239.881    15.167.460    18.289.868
CUENCA              124.525   1.377.147       338.775     1.840.447            0     122.685   1.369.730       322.148     1.814.563
GIRONA              139.328           0       422.211       561.539            0     137.098           0       404.573       541.671
GRANADA              74.573     535.874       538.333     1.148.780            0      72.265     532.710       519.271     1.124.246
GUADALAJARA         149.548     854.435     8.293.013     9.296.996      356.588    -210.921     846.842     7.760.164     8.396.085
GUIPUZCOA            43.722       2.431     1.178.463     1.224.616            0      43.124       2.431     1.114.074     1.159.629
HUELVA                    0      72.018    10.834.276    10.906.294            0           0      70.777    10.575.573    10.646.350
HUESCA            2.284.133     578.025       654.375     3.516.533      239.311   1.992.805     570.976       614.634     3.178.415
JAEN                 89.559      26.120       437.121       552.800            0      83.575      25.541       416.265       525.381
LEON                498.378     153.307    11.910.189    12.561.874            0     487.667     151.114    11.054.868    11.693.649
LLEIDA            2.746.138     196.116       928.638     3.870.892      412.243   2.282.215     190.559       880.859     3.353.633
LA RIOJA            134.262     954.465     3.678.431     4.767.158            0     134.041     940.091     3.600.437     4.674.569
LUGO              1.226.531   2.725.347        66.239     4.018.117            0   1.211.382   2.675.340        65.217     3.951.939
MADRID               95.637           0     1.117.426     1.213.063            0      94.430           0     1.021.757     1.116.187
MALAGA              271.508     159.224       171.769       602.501      260.617       2.950     157.357       165.975       326.282
MURCIA               55.132     253.574    16.302.842    16.611.548            0      54.730     249.867    15.801.463    16.106.060
NAVARRA             408.112   2.322.076     4.819.669     7.549.857            0     404.839   2.306.942     4.712.083     7.423.864
ORENSE            2.910.896     615.379       187.022     3.713.297      296.917   2.567.686     611.533       181.307     3.360.526
ASTURIAS          1.591.210     507.329    12.337.055    14.435.594       73.577   1.491.375     494.837    11.539.050    13.525.262
PALENCIA            135.441     666.230     1.085.680     1.887.351            0     134.215     657.200     1.007.329     1.798.744
LAS PALMAS                0     284.058     5.183.090     5.467.148            0           0     282.855     4.890.336     5.173.191
PONTEVEDRA          133.072     824.750       241.333     1.199.155            0     129.308     809.209       232.477     1.170.994
SALAMANCA         3.299.691      64.661        76.188     3.440.540      483.155   2.760.679      64.658        75.588     2.900.925
S.C.TENERIFE              0     162.257     4.155.852     4.318.109            0           0     161.530     3.918.644     4.080.174
CANTABRIA           739.425      15.228     1.068.994     1.823.647      579.782     144.813      14.941       999.477     1.159.231
SEGOVIA               7.241      83.886       116.241       207.368            0       6.760      83.886       106.032       196.678
SEVILLA             183.981     137.552       431.993       753.526      174.028       6.410     133.572       415.931       555.913
SORIA                13.999   1.253.177       206.876     1.474.052            0      13.878   1.232.622       195.061     1.441.561
TARRAGONA           754.530     417.637    31.156.484    32.328.651            0     745.962     405.440    29.929.960    31.081.362
TERUEL               31.257     252.171     9.660.882     9.944.310            0      31.012     245.299     8.944.450     9.220.761
TOLEDO              187.520     147.124     4.630.928     4.965.572            0     184.760     145.034     4.506.198     4.835.992
VALENCIA            968.573      33.844    13.215.877    14.218.294      977.605     -26.473      33.057    12.755.193    12.761.777
VALLADOLID           69.458     198.576       552.519       820.553            0      68.854     193.139       531.053       793.046
VIZCAYA             166.701     168.402    10.556.140    10.891.243            0     165.543     165.321    10.252.393    10.583.257
ZAMORA            1.190.307     642.387        22.533     1.855.227            0   1.178.876     633.560        22.468     1.834.904
ZARAGOZA            920.491   2.996.201     4.453.765     8.370.457            0     909.003   2.930.609     4.361.931     8.201.543
CEUTA                     0           0       219.394       219.394            0           0           0       207.881       207.881
MELILLA                   0           0       194.723       194.723            0           0           0       183.694       183.694
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       24.514.104  30.753.328   244.895.802   300.163.234    3.896.342  20.210.098  30.288.797   234.281.189   284.780.084
