
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                ENERO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 14.493         43.268         57.761            0       14.449         42.275         56.724  ALAVA
ALBACETE             220.373         16.062        236.435            0      220.069         15.433        235.502  ALBACETE
ALICANTE                   0         10.670         10.670            0            0         10.242         10.242  ALICANTE
ALMERIA                    0        735.779        735.779            0            0        712.214        712.214  ALMERIA
AVILA                 22.859              0         22.859            0       22.619              0         22.619  AVILA
BADAJOZ                  631          4.305          4.936            0          527          3.979          4.506  BADAJOZ
BALEARES                   0        507.968        507.968            0            0        476.044        476.044  BALEARES
BARCELONA              6.689        695.831        702.520            0        6.618        663.692        670.310  BARCELONA
BURGOS                68.252        351.355        419.607            0       67.415        334.022        401.437  BURGOS
CACERES              186.294      1.461.140      1.647.434        4.747      179.493      1.411.048      1.590.541  CACERES
CADIZ                 23.382      1.336.216      1.359.598            0       23.078      1.301.486      1.324.564  CADIZ
CASTELLON              1.319        410.442        411.761            0        1.294        401.544        402.838  CASTELLON
CIUDAD REAL                0        244.058        244.058            0            0        223.298        223.298  CIUDAD REAL
CORDOBA                  963        169.017        169.980            0          863        150.095        150.958  CORDOBA
LA CORUÑA            291.429      1.418.490      1.709.919            0      288.306      1.345.255      1.633.561  LA CORUÑA
CUENCA                76.449         20.433         96.882            0       76.306         19.000         95.306  CUENCA
GIRONA                 9.167         47.214         56.381            0        9.004         45.351         54.355  GIRONA
GRANADA                2.561         37.038         39.599            0        2.415         35.529         37.944  GRANADA
GUADALAJARA           59.662        791.299        850.961       41.190       17.809        742.549        760.358  GUADALAJARA
GUIPUZCOA              1.566        156.923        158.489            0        1.519        148.886        150.405  GUIPUZCOA
HUELVA                     0        974.019        974.019            0            0        948.804        948.804  HUELVA
HUESCA               155.508         29.603        185.111       25.874      126.995         27.778        154.773  HUESCA
JAEN                   2.961         37.034         39.995            0        2.842         35.185         38.027  JAEN
LEON                  94.281      1.173.583      1.267.864            0       92.943      1.092.595      1.185.538  LEON
LLEIDA               144.313         55.890        200.203       49.629       91.710         53.405        145.115  LLEIDA
LA RIOJA              38.481        500.930        539.411            0       38.473        490.539        529.012  LA RIOJA
LUGO                 436.614          7.695        444.309            0      431.049          7.591        438.640  LUGO
MADRID                 9.252        113.969        123.221            0        9.121        105.962        115.083  MADRID
MALAGA                36.789         13.340         50.129       38.893       -2.506         13.004         10.498  MALAGA
MURCIA                 8.441        897.763        906.204            0        8.404        876.684        885.088  MURCIA
NAVARRA              144.249        316.501        460.750            0      142.729        310.771        453.500  NAVARRA
ORENSE               559.844         16.835        576.679       20.689      519.980         16.185        536.165  ORENSE
ASTURIAS             167.586      1.661.739      1.829.325       16.080      149.504      1.561.411      1.710.915  ASTURIAS
PALENCIA              28.596        191.242        219.838            0       28.490        178.216        206.706  PALENCIA
LAS PALMAS            11.268        444.812        456.080            0       11.268        420.190        431.458  LAS PALMAS
PONTEVEDRA            38.214          9.833         48.047            0       38.010          9.471         47.481  PONTEVEDRA
SALAMANCA            336.590            666        337.256       23.675      310.186            642        310.828  SALAMANCA
S.C.TENERIFE           8.870        347.196        356.066            0        8.868        327.325        336.193  S.C.TENERIFE
CANTABRIA             76.620         76.538        153.158       87.858      -13.215         71.340         58.125  CANTABRIA
SEGOVIA                1.729         12.255         13.984            0        1.652         11.258         12.910  SEGOVIA
SEVILLA                2.323         38.490         40.813            0        2.270         37.155         39.425  SEVILLA
SORIA                 43.410         28.440         71.850            0       43.147         27.036         70.183  SORIA
TARRAGONA             50.937      2.866.905      2.917.842            0       50.423      2.762.539      2.812.962  TARRAGONA
TERUEL                 1.410        763.466        764.876            0        1.397        715.760        717.157  TERUEL
TOLEDO                26.840        410.171        437.011            0       26.457        399.929        426.386  TOLEDO
VALENCIA              73.819        817.528        891.347       73.580       -1.166        786.168        785.002  VALENCIA
VALLADOLID             6.778         21.959         28.737            0        6.750         20.718         27.468  VALLADOLID
VIZCAYA                6.484      1.054.203      1.060.687            0        6.426      1.031.662      1.038.088  VIZCAYA
ZAMORA               181.776          5.790        187.566            0      180.559          5.790        186.349  ZAMORA
ZARAGOZA              95.731        185.231        280.962            0       94.973        181.446        276.419  ZARAGOZA
CEUTA                      0         18.185         18.185            0            0         17.986         17.986  CEUTA
MELILLA                    0         14.555         14.555            0            0         14.347         14.347  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.775.803     21.563.874     25.339.677      382.215    3.339.523     20.640.834     23.980.357  T O T A L
