
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                ENERO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 5.367      25.139        41.976        72.482            0       5.344      25.139        40.216        70.699
ALBACETE             15.210     326.635         5.073       346.918            0      15.123     323.646         4.912       343.681
ALICANTE                  0           0         5.942         5.942            0           0           0         5.592         5.592
ALMERIA                   0       1.162       617.858       619.020            0           0       1.127       599.175       600.302
AVILA                 4.298      22.658             0        26.956            0       4.119      22.227             0        26.346
BADAJOZ               8.001           0         4.347        12.348            0       7.634           0         3.979        11.613
BALEARES                  0         415       525.190       525.605            0           0         403       490.366       490.769
BARCELONA             2.292      13.820       741.190       757.302            0       2.254      13.754       712.176       728.184
BURGOS                2.955     186.119       438.115       627.189            0       2.933     183.434       420.334       606.701
CACERES              47.416           0     1.465.724     1.513.140        4.961      41.175           0     1.416.067     1.457.242
CADIZ                     0      84.110     1.487.035     1.571.145            0           0      81.834     1.449.155     1.530.989
CASTELLON             2.234      74.000       498.299       574.533            0       2.208      73.000       485.579       560.787
CIUDAD REAL               0      23.886       186.282       210.168            0           0      23.506       174.703       198.209
CORDOBA               2.792           0        27.992        30.784            0       2.666           0        27.025        29.691
LA CORUÑA           101.443     263.213     1.354.913     1.719.569            0      99.885     255.609     1.287.127     1.642.621
CUENCA                7.050     122.686        39.239       168.975            0       6.911     121.928        36.942       165.781
GIRONA                5.890           0        45.042        50.932            0       5.751           0        43.469        49.220
GRANADA               3.577      36.449        53.054        93.080            0       3.484      36.237        50.852        90.573
GUADALAJARA          15.752      76.879       792.016       884.647       49.266     -33.906      76.358       743.261       785.713
GUIPUZCOA             4.393           0       140.631       145.024            0       4.303           0       132.828       137.131
HUELVA                    0       3.412     1.031.135     1.034.547            0           0       3.349     1.007.580     1.010.929
HUESCA              100.455      36.855        58.697       196.007       24.399      73.156      36.235        55.026       164.417
JAEN                  3.752       2.388        41.613        47.753            0       3.610       2.316        40.233        46.159
LEON                 15.091      15.686     1.243.432     1.274.209            0      14.323      15.215     1.152.205     1.181.743
LLEIDA              136.651      11.579        82.475       230.705       50.095      83.409      11.232        78.502       173.143
LA RIOJA              6.359      68.080       374.967       449.406            0       6.351      66.930       367.143       440.424
LUGO                 90.610     251.086         7.203       348.899            0      89.198     245.143         7.103       341.444
MADRID                2.603           0       105.255       107.858            0       2.521           0        96.692        99.213
MALAGA               27.771      12.793        26.696        67.260       30.394      -3.165      12.651        25.840        35.326
MURCIA                4.159      26.982     1.495.547     1.526.688            0       4.122      26.326     1.446.470     1.476.918
NAVARRA              27.892     142.910       367.628       538.430            0      27.589     142.063       358.907       528.559
ORENSE              218.112      70.846        16.987       305.945       23.995     189.823      70.232        16.396       276.451
ASTURIAS             80.465      57.038     1.190.294     1.327.797       16.678      62.148      54.979     1.109.356     1.226.483
PALENCIA              1.268      51.598       178.847       231.713            0       1.196      50.885       164.891       216.972
LAS PALMAS                0       6.386       453.807       460.193            0           0       6.386       427.935       434.321
PONTEVEDRA           19.959      95.320        21.939       137.218            0      17.764      93.640        21.143       132.547
SALAMANCA           287.466       6.448           566       294.480       42.479     242.506       6.448           543       249.497
S.C.TENERIFE              0       8.778       361.995       370.773            0           0       8.775       341.304       350.079
CANTABRIA            66.343         314        48.686       115.343       67.310      -2.522         305        43.753        41.536
SEGOVIA                 201       8.777        17.564        26.542            0         178       8.777        16.319        25.274
SEVILLA              16.457      13.851        23.194        53.502       20.081      -2.102      13.435        22.392        33.725
SORIA                   363     116.911        29.399       146.673            0         360     114.615        27.982       142.957
TARRAGONA            32.064      40.023     3.397.347     3.469.434            0      31.727      39.001     3.272.802     3.343.530
TERUEL                2.346      24.411     1.193.934     1.220.691            0       2.329      23.679     1.145.281     1.171.289
TOLEDO               17.882       9.615       343.018       370.515            0      17.640       9.464       331.344       358.448
VALENCIA            112.295       5.000     1.159.613     1.276.908      121.112     -10.640       5.000     1.118.731     1.113.091
VALLADOLID            5.424      13.089        48.307        66.820            0       5.372      12.696        46.476        64.544
VIZCAYA               5.465      14.240     1.073.434     1.093.139            0       5.397      14.052     1.049.175     1.068.624
ZAMORA               57.382      63.340         6.380       127.102            0      56.538      62.552         6.380       125.470
ZARAGOZA             35.260     199.699       290.949       525.908            0      34.764     195.168       284.032       513.964
CEUTA                     0           0        19.207        19.207            0           0           0        18.246        18.246
MELILLA                   0           0        17.390        17.390            0           0           0        16.373        16.373
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.602.765   2.634.626    23.197.423    27.434.814      450.770   1.123.476   2.589.751    22.240.313    25.953.540
