
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               FEBRERO    2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 45.351          3.230         48.581            0       45.176          3.059         48.235  ALAVA
ALBACETE             363.145         14.197        377.342            0      362.879         13.726        376.605  ALBACETE
ALICANTE                   0         13.896         13.896            0            0         13.711         13.711  ALICANTE
ALMERIA                    0      1.353.378      1.353.378            0            0      1.314.295      1.314.295  ALMERIA
AVILA                 35.252              0         35.252            0       35.068              0         35.068  AVILA
BADAJOZ                  183          9.664          9.847            0          181          9.010          9.191  BADAJOZ
BALEARES                   0      1.006.212      1.006.212            0            0        947.568        947.568  BALEARES
BARCELONA             39.910      1.690.176      1.730.086            0       39.605      1.612.735      1.652.340  BARCELONA
BURGOS               101.593        872.504        974.097            0      100.877        837.209        938.086  BURGOS
CACERES               45.487      2.744.280      2.789.767        5.246       38.111      2.649.700      2.687.811  CACERES
CADIZ                 28.961      3.211.118      3.240.079            0       28.001      3.130.925      3.158.926  CADIZ
CASTELLON             17.880      1.317.364      1.335.244            0       17.726      1.285.602      1.303.328  CASTELLON
CIUDAD REAL                0        628.462        628.462            0            0        566.987        566.987  CIUDAD REAL
CORDOBA                4.215        414.643        418.858            0        4.008        379.533        383.541  CORDOBA
LA CORUÑA            431.880      3.076.017      3.507.897            0      426.264      2.924.061      3.350.325  LA CORUÑA
CUENCA               147.082         50.012        197.094            0      146.616         47.153        193.769  CUENCA
GIRONA                24.883         73.986         98.869            0       24.521         71.274         95.795  GIRONA
GRANADA                  960         79.908         80.868            0          923         76.734         77.657  GRANADA
GUADALAJARA           65.887      1.696.193      1.762.080       78.943      -13.899      1.590.544      1.576.645  GUADALAJARA
GUIPUZCOA              6.881        361.826        368.707            0        6.792        344.484        351.276  GUIPUZCOA
HUELVA                     0      1.532.184      1.532.184            0            0      1.488.360      1.488.360  HUELVA
HUESCA               277.309         46.701        324.010      102.198      167.087         44.708        211.795  HUESCA
JAEN                   6.562         69.064         75.626            0        6.371         66.373         72.744  JAEN
LEON                  61.002      2.689.197      2.750.199            0       59.552      2.505.156      2.564.708  LEON
LLEIDA               296.024         90.837        386.861      135.110      152.794         88.000        240.794  LLEIDA
LA RIOJA             111.659        510.545        622.204            0      111.622        496.606        608.228  LA RIOJA
LUGO                 394.835         12.901        407.736            0      388.208         12.754        400.962  LUGO
MADRID                 9.588        210.081        219.669            0        9.024        196.406        205.430  MADRID
MALAGA               101.987         44.371        146.358      113.558      -13.059         43.001         29.942  MALAGA
MURCIA                13.355      1.645.197      1.658.552            0       13.290      1.610.190      1.623.480  MURCIA
NAVARRA              405.698        480.563        886.261            0      403.076        468.324        871.400  NAVARRA
ORENSE               447.573         24.593        472.166       55.826      382.272         23.520        405.792  ORENSE
ASTURIAS             336.948      3.322.148      3.659.096       12.750      317.548      3.129.532      3.447.080  ASTURIAS
PALENCIA              54.535        615.815        670.350            0       54.533        577.586        632.119  PALENCIA
LAS PALMAS            25.286        798.794        824.080            0       25.286        750.546        775.832  LAS PALMAS
PONTEVEDRA            48.763         46.078         94.841            0       48.473         44.378         92.851  PONTEVEDRA
SALAMANCA            345.071            357        345.428      191.906      149.274            343        149.617  SALAMANCA
S.C.TENERIFE          13.542        630.044        643.586            0       13.296        591.537        604.833  S.C.TENERIFE
CANTABRIA            168.796        124.963        293.759      150.889       15.426        116.532        131.958  CANTABRIA
SEGOVIA                5.341          3.584          8.925            0        5.270          3.402          8.672  SEGOVIA
SEVILLA               39.975         81.096        121.071       49.736      -10.710         78.519         67.809  SEVILLA
SORIA                 57.727         48.561        106.288            0       57.443         45.798        103.241  SORIA
TARRAGONA            162.852      5.423.916      5.586.768            0      160.898      5.214.821      5.375.719  TARRAGONA
TERUEL                 4.676      1.542.784      1.547.460            0        4.645      1.448.767      1.453.412  TERUEL
TOLEDO                50.467        805.425        855.892            0       49.928        780.771        830.699  TOLEDO
VALENCIA             207.744      1.683.433      1.891.177      244.485      -40.268      1.621.802      1.581.534  VALENCIA
VALLADOLID            13.481         86.133         99.614            0       13.347         83.815         97.162  VALLADOLID
VIZCAYA               48.007      2.573.486      2.621.493            0       47.697      2.517.065      2.564.762  VIZCAYA
ZAMORA               187.939         11.790        199.729            0      185.983         11.626        197.609  ZAMORA
ZARAGOZA             298.058        307.977        606.035            0      296.192        301.387        597.579  ZARAGOZA
CEUTA                      0         35.311         35.311            0            0         33.509         33.509  CEUTA
MELILLA                    0         29.960         29.960            0            0         28.502         28.502  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         5.554.350     44.144.955     49.699.305    1.140.647    4.337.347     42.241.946     46.579.293  T O T A L
