
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                FEBRERO    2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 34.250         32.934         67.184            0       34.160         31.660         65.820  ALAVA
ALBACETE             343.767         13.511        357.278            0      343.299         12.995        356.294  ALBACETE
ALICANTE                   0         11.664         11.664            0            0         11.229         11.229  ALICANTE
ALMERIA                    0        621.393        621.393            0            0        601.696        601.696  ALMERIA
AVILA                 33.323              0         33.323            0       33.191              0         33.191  AVILA
BADAJOZ                6.530          3.643         10.173            0        6.378          3.327          9.705  BADAJOZ
BALEARES                   0        452.781        452.781            0            0        424.061        424.061  BALEARES
BARCELONA             17.025        613.498        630.523            0       16.978        587.472        604.450  BARCELONA
BURGOS               127.763        213.586        341.349            0      126.275        203.003        329.278  BURGOS
CACERES              266.251      1.319.987      1.586.238       10.911      252.893      1.274.937      1.527.830  CACERES
CADIZ                 26.070        955.556        981.626            0       25.639        925.632        951.271  CADIZ
CASTELLON              1.271        294.403        295.674            0        1.248        287.424        288.672  CASTELLON
CIUDAD REAL                0        282.723        282.723            0            0        253.309        253.309  CIUDAD REAL
CORDOBA                2.768        185.418        188.186            0        2.546        168.131        170.677  CORDOBA
LA CORUÑA            364.579      1.180.968      1.545.547            0      360.302      1.117.229      1.477.531  LA CORUÑA
CUENCA               130.350         15.345        145.695            0      130.199         14.347        144.546  CUENCA
GIRONA                 8.905         41.734         50.639            0        8.748         40.270         49.018  GIRONA
GRANADA                2.360         41.672         44.032            0        2.324         40.148         42.472  GRANADA
GUADALAJARA           86.774        719.824        806.598       39.469       46.614        675.532        722.146  GUADALAJARA
GUIPUZCOA              5.712        129.645        135.357            0        5.610        122.675        128.285  GUIPUZCOA
HUELVA                     0        796.708        796.708            0            0        774.145        774.145  HUELVA
HUESCA               156.847         26.858        183.705       25.805      127.458         25.349        152.807  HUESCA
JAEN                   4.298         32.996         37.294            0        4.241         31.400         35.641  JAEN
LEON                  85.948      1.012.748      1.098.696            0       84.772        941.461      1.026.233  LEON
LLEIDA                90.879         49.366        140.245       42.584       44.862         47.306         92.168  LLEIDA
LA RIOJA              48.082        181.237        229.319            0       48.063        175.911        223.974  LA RIOJA
LUGO                 579.369          6.009        585.378            0      572.209          5.914        578.123  LUGO
MADRID                12.419         98.793        111.212            0       12.232         91.360        103.592  MADRID
MALAGA                30.887         18.686         49.573       24.808        5.384         17.865         23.249  MALAGA
MURCIA                10.979        476.844        487.823            0       10.943        462.695        473.638  MURCIA
NAVARRA              170.453        177.475        347.928            0      168.923        173.186        342.109  NAVARRA
ORENSE               636.592         15.475        652.067       15.829      613.714         14.783        628.497  ORENSE
ASTURIAS             296.136      1.370.356      1.666.492        9.864      281.172      1.285.987      1.567.159  ASTURIAS
PALENCIA              56.557        116.914        173.471            0       56.425        108.087        164.512  PALENCIA
LAS PALMAS            18.419        387.501        405.920            0       18.419        365.673        384.092  LAS PALMAS
PONTEVEDRA            52.593          2.556         55.149            0       52.269          2.479         54.748  PONTEVEDRA
SALAMANCA            505.328            576        505.904       89.109      412.836            553        413.389  SALAMANCA
S.C.TENERIFE           6.537        306.461        312.998            0        6.534        288.457        294.991  S.C.TENERIFE
CANTABRIA             79.213         81.320        160.533       87.858      -10.510         76.550         66.040  CANTABRIA
SEGOVIA               11.713         11.362         23.075            0       11.711         10.432         22.143  SEGOVIA
SEVILLA                4.819         36.529         41.348            0        4.719         35.224         39.943  SEVILLA
SORIA                 54.015         25.721         79.736            0       53.633         24.340         77.973  SORIA
TARRAGONA             74.092      2.520.499      2.594.591            0       73.422      2.418.611      2.492.033  TARRAGONA
TERUEL                 1.238        594.897        596.135            0        1.224        557.186        558.410  TERUEL
TOLEDO                35.307        355.712        391.019            0       35.019        346.443        381.462  TOLEDO
VALENCIA              76.290        772.095        848.385       82.434       -7.533        743.169        735.636  VALENCIA
VALLADOLID             6.970         47.501         54.471            0        6.938         45.690         52.628  VALLADOLID
VIZCAYA                5.161        653.211        658.372            0        5.127        635.565        640.692  VIZCAYA
ZAMORA               332.884            112        332.996            0      331.171            112        331.283  ZAMORA
ZARAGOZA             148.185        167.908        316.093            0      147.286        164.429        311.715  ZARAGOZA
CEUTA                      0         16.234         16.234            0            0         16.070         16.070  CEUTA
MELILLA                    0         13.374         13.374            0            0         12.564         12.564  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         5.049.908     17.504.319     22.554.227      428.671    4.569.067     16.694.073     21.263.140  T O T A L
