
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               FEBRERO    2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                10.038      52.706        79.509       142.253            0       9.996      52.706        76.445       139.147
ALBACETE             26.718     609.928        16.178       652.824            0      26.518     604.536        15.573       646.627
ALICANTE                  0           0        12.291        12.291            0           0           0        11.636        11.636
ALMERIA                   0       4.575     1.275.723     1.280.298            0           0       4.438     1.240.178     1.244.616
AVILA                10.013      56.310             0        66.323            0       9.707      55.269             0        64.976
BADAJOZ               8.455           0         8.011        16.466            0       8.055           0         7.332        15.387
BALEARES                  0         835     1.007.812     1.008.647            0           0         810       943.016       943.826
BARCELONA             7.720      20.443     1.407.652     1.435.815            0       7.611      20.313     1.348.804     1.376.728
BURGOS                5.616     306.786       856.677     1.169.079            0       5.575     302.154       821.633     1.129.362
CACERES              83.319           0     2.837.569     2.920.888       10.953      69.891           0     2.741.216     2.811.107
CADIZ                     0     217.687     2.836.613     3.054.300            0           0     212.077     2.764.148     2.976.225
CASTELLON             5.008     128.794       947.457     1.081.259            0       4.937     126.150       924.122     1.055.209
CIUDAD REAL               0      53.403       337.949       391.352            0           0      52.582       318.855       371.437
CORDOBA               4.109           0        38.244        42.353            0       3.870           0        36.843        40.713
LA CORUÑA           159.974     388.955     2.608.753     3.157.682            0     157.322     377.791     2.486.978     3.022.091
CUENCA               12.330     250.414        75.188       337.932            0      12.052     248.839        70.791       331.682
GIRONA               11.138           0        86.619        97.757            0      10.871           0        83.202        94.073
GRANADA               6.688     101.847        98.187       206.722            0       6.518     101.406        94.451       202.375
GUADALAJARA          31.203     125.893     1.532.980     1.690.076       86.710     -56.371     123.683     1.438.496     1.505.808
GUIPUZCOA             6.942           0       294.621       301.563            0       6.830           0       279.044       285.874
HUELVA                    0       8.904     2.020.553     2.029.457            0           0       8.733     1.974.769     1.983.502
HUESCA              180.608      66.591       116.002       363.201       58.602     116.518      65.476       108.624       290.618
JAEN                  5.572       5.575        81.558        92.705            0       5.349       5.407        77.918        88.674
LEON                 36.655      30.642     2.478.071     2.545.368            0      35.102      29.722     2.298.336     2.363.160
LLEIDA              248.227      20.178       161.187       429.592       86.000     156.169      19.573       153.527       329.269
LA RIOJA             10.754     126.664       750.519       887.937            0      10.741     124.630       734.560       869.931
LUGO                126.377     402.827        13.122       542.326            0     124.339     393.321        12.950       530.610
MADRID                4.897           0       205.303       210.200            0       4.783           0       187.712       192.495
MALAGA               49.178      30.619        47.388       127.185       55.759      -7.554      30.225        45.928        68.599
MURCIA                8.596      43.564     2.981.901     3.034.061            0       8.521      42.605     2.881.047     2.932.173
NAVARRA              48.129     272.272       742.089     1.062.490            0      47.433     270.736       725.627     1.043.796
ORENSE              349.485     113.724        33.913       497.122       46.745     295.763     112.930        32.830       441.523
ASTURIAS            138.305      81.970     2.387.384     2.607.659       30.274     105.002      79.123     2.225.578     2.409.703
PALENCIA              7.302      87.622       221.971       316.895            0       7.194      86.282       202.497       295.973
LAS PALMAS                0      18.843       872.664       891.507            0           0      18.470       822.355       840.825
PONTEVEDRA           28.975     153.288        40.374       222.637            0      26.647     150.553        38.902       216.102
SALAMANCA           540.954       9.218         2.024       552.196      120.004     416.019       9.218         1.955       427.192
S.C.TENERIFE              0      15.985       696.320       712.305            0           0      15.766       656.590       672.356
CANTABRIA           128.089       1.484       140.454       270.027      134.562      -9.769       1.440       129.126       120.797
SEGOVIA                 350      18.130        27.845        46.325            0         301      18.130        25.700        44.131
SEVILLA              27.757      33.319        46.306       107.382       33.541      -4.660      32.319        44.681        72.340
SORIA                   687     185.817        55.582       242.086            0         682     182.438        52.809       235.929
TARRAGONA            54.152      54.439     6.503.687     6.612.278            0      53.507      52.878     6.260.809     6.367.194
TERUEL                4.362      37.306     2.369.582     2.411.250            0       4.325      36.187     2.268.977     2.309.489
TOLEDO               27.294      26.831       759.407       813.532            0      26.904      26.415       737.663       790.982
VALENCIA            194.056       6.942     2.565.499     2.766.497      215.173     -24.378       6.884     2.481.402     2.463.908
VALLADOLID           10.216      19.822        81.743       111.781            0      10.097      19.227        78.469       107.793
VIZCAYA              10.898      26.046     2.102.129     2.139.073            0      10.767      25.659     2.056.906     2.093.332
ZAMORA               94.092     106.660         8.521       209.273            0      92.625     103.094         8.456       204.175
ZARAGOZA             61.150     326.058       654.101     1.041.309            0      60.058     318.616       638.649     1.017.323
CEUTA                     0           0        37.179        37.179            0           0           0        35.339        35.339
MELILLA                   0           0        33.317        33.317            0           0           0        31.436        31.436
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        2.786.388   4.649.916    45.595.728    53.032.032      878.323   1.855.867   4.568.811    43.734.890    50.159.568
