
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                JULIO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 17.644         33.602         51.246            0       17.539         31.932         49.471  ALAVA
ALBACETE             189.547         20.806        210.353            0      189.332         19.834        209.166  ALBACETE
ALICANTE                   0          4.665          4.665            0            0          4.584          4.584  ALICANTE
ALMERIA                    0        741.051        741.051            0            0        717.555        717.555  ALMERIA
AVILA                 24.991              0         24.991            0       24.809              0         24.809  AVILA
BADAJOZ               20.628          4.332         24.960            0       20.298          4.080         24.378  BADAJOZ
BALEARES                   0        650.757        650.757            0            0        613.705        613.705  BALEARES
BARCELONA              9.711        816.362        826.073            0        9.657        776.609        786.266  BARCELONA
BURGOS                81.097        425.613        506.710            0       79.673        407.776        487.449  BURGOS
CACERES              335.076      1.429.562      1.764.638          931      331.583      1.377.774      1.709.357  CACERES
CADIZ                 46.454      1.729.931      1.776.385            0       45.836      1.687.000      1.732.836  CADIZ
CASTELLON             11.342        328.553        339.895            0       11.260        319.902        331.162  CASTELLON
CIUDAD REAL            8.685        330.796        339.481            0        8.685        298.031        306.716  CIUDAD REAL
CORDOBA               15.322        190.865        206.187            0       14.979        172.436        187.415  CORDOBA
LA CORUÑA            129.165      1.301.464      1.430.629            0      127.220      1.235.208      1.362.428  LA CORUÑA
CUENCA                71.915         30.546        102.461            0       71.635         29.125        100.760  CUENCA
GIRONA                11.696         36.280         47.976            0       11.515         33.530         45.045  GIRONA
GRANADA                8.413         51.555         59.968            0        8.306         49.249         57.555  GRANADA
GUADALAJARA           60.717        786.088        846.805       61.290       -1.368        735.208        733.840  GUADALAJARA
GUIPUZCOA                482        173.730        174.212            0          476        165.115        165.591  GUIPUZCOA
HUELVA                 2.963      1.085.578      1.088.541            0        2.963      1.056.853      1.059.816  HUELVA
HUESCA               271.765         51.159        322.924        3.953      263.377         47.347        310.724  HUESCA
JAEN                  20.612         37.823         58.435            0       19.691         35.712         55.403  JAEN
LEON                 104.268      1.100.332      1.204.600            0      102.930      1.014.751      1.117.681  LEON
LLEIDA               217.948         51.068        269.016       35.591      177.278         48.732        226.010  LLEIDA
LA RIOJA              41.069        415.273        456.342            0       41.042        406.234        447.276  LA RIOJA
LUGO                 214.118          6.533        220.651            0      211.498          6.433        217.931  LUGO
MADRID                14.672        108.310        122.982            0       14.405         99.211        113.616  MADRID
MALAGA                38.453         22.354         60.807       23.625       13.695         21.644         35.339  MALAGA
MURCIA                 9.581        898.235        907.816            0        9.539        865.310        874.849  MURCIA
NAVARRA              202.642        379.514        582.156            0      199.775        371.681        571.456  NAVARRA
ORENSE               382.109         19.359        401.468       14.116      363.010         18.460        381.470  ORENSE
ASTURIAS              83.262      1.637.215      1.720.477       12.148       69.246      1.533.477      1.602.723  ASTURIAS
PALENCIA              45.568        292.119        337.687            0       45.448        272.791        318.239  PALENCIA
LAS PALMAS            16.834        429.077        445.911            0       16.834        404.662        421.496  LAS PALMAS
PONTEVEDRA            19.134         18.474         37.608            0       18.951         17.807         36.758  PONTEVEDRA
SALAMANCA            433.047         18.590        451.637       41.257      388.452         18.497        406.949  SALAMANCA
S.C.TENERIFE          47.354        350.367        397.721            0       47.341        331.767        379.108  S.C.TENERIFE
CANTABRIA             65.188         87.475        152.663       70.313       -6.937         81.816         74.879  CANTABRIA
SEGOVIA                5.867         11.127         16.994            0        5.833         10.086         15.919  SEGOVIA
SEVILLA               17.089         48.429         65.518            0       16.773         43.148         59.921  SEVILLA
SORIA                 42.556         24.478         67.034            0       42.302         23.057         65.359  SORIA
TARRAGONA             51.596      2.389.279      2.440.875            0       50.567      2.297.712      2.348.279  TARRAGONA
TERUEL                 2.387        830.711        833.098            0        2.365        782.490        784.855  TERUEL
TOLEDO                 9.448        399.080        408.528            0        9.306        386.771        396.077  TOLEDO
VALENCIA              99.081        293.271        392.352       79.501       17.917        269.213        287.130  VALENCIA
VALLADOLID             3.391         46.531         49.922            0        3.340         44.377         47.717  VALLADOLID
VIZCAYA                6.914      1.044.315      1.051.229            0        6.875      1.018.091      1.024.966  VIZCAYA
ZAMORA               190.299              0        190.299            0      189.271              0        189.271  ZAMORA
ZARAGOZA              98.488        192.872        291.360            0       97.872        189.246        287.118  ZARAGOZA
CEUTA                      0         18.215         18.215            0            0         17.426         17.426  CEUTA
MELILLA                    0         17.750         17.750            0            0         17.519         17.519  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.800.588     21.411.471     25.212.059      342.725    3.412.394     20.430.974     23.843.368  T O T A L
