
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JULIO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                161.358        252.925        414.283            0      160.836        243.033        403.869  ALAVA
ALBACETE           1.699.215        118.156      1.817.371            0    1.696.940        113.318      1.810.258  ALBACETE
ALICANTE                   0         60.910         60.910            0            0         58.335         58.335  ALICANTE
ALMERIA                    0      4.948.288      4.948.288            0            0      4.791.176      4.791.176  ALMERIA
AVILA                178.994              0        178.994            0      177.854              0        177.854  AVILA
BADAJOZ               52.172         23.513         75.685            0       50.877         21.805         72.682  BADAJOZ
BALEARES                   0      3.626.191      3.626.191            0            0      3.406.964      3.406.964  BALEARES
BARCELONA            115.075      4.862.339      4.977.414            0      114.362      4.650.678      4.765.040  BARCELONA
BURGOS               640.926      2.418.396      3.059.322            0      631.536      2.313.560      2.945.096  BURGOS
CACERES            1.466.918      9.922.431     11.389.349       40.043    1.412.324      9.572.403     10.984.727  CACERES
CADIZ                245.395      8.556.426      8.801.821            0      241.377      8.329.230      8.570.607  CADIZ
CASTELLON             47.427      2.365.335      2.412.762            0       47.059      2.307.638      2.354.697  CASTELLON
CIUDAD REAL           38.008      2.013.678      2.051.686            0       38.008      1.818.955      1.856.963  CIUDAD REAL
CORDOBA               46.391      1.180.944      1.227.335            0       45.137      1.069.043      1.114.180  CORDOBA
LA CORUÑA          1.727.285      9.177.209     10.904.494            0    1.704.786      8.696.936     10.401.722  LA CORUÑA
CUENCA               687.844        172.204        860.048            0      686.682        162.955        849.637  CUENCA
GIRONA                99.132        274.759        373.891            0       97.713        262.671        360.384  GIRONA
GRANADA               49.856        318.327        368.183            0       48.770        305.663        354.433  GRANADA
GUADALAJARA          494.104      4.638.644      5.132.748      317.462      172.348      4.331.985      4.504.333  GUADALAJARA
GUIPUZCOA             25.471      1.123.064      1.148.535            0       25.101      1.066.218      1.091.319  GUIPUZCOA
HUELVA                 7.845      6.151.708      6.159.553            0        7.845      5.977.218      5.985.063  HUELVA
HUESCA             1.828.942        250.375      2.079.317      150.217    1.645.307        232.867      1.878.174  HUESCA
JAEN                  60.435        232.630        293.065            0       58.550        220.474        279.024  JAEN
LEON                 686.045      7.438.565      8.124.610            0      675.963      6.896.464      7.572.427  LEON
LLEIDA             1.670.570        348.094      2.018.664      302.179    1.335.531        334.140      1.669.671  LLEIDA
LA RIOJA             320.703      2.451.569      2.772.272            0      320.548      2.397.677      2.718.225  LA RIOJA
LUGO               2.497.943         42.885      2.540.828            0    2.466.327         42.244      2.508.571  LUGO
MADRID                82.902        734.994        817.896            0       81.024        676.145        757.169  MADRID
MALAGA               224.170        120.438        344.608      161.639       57.705        116.644        174.349  MALAGA
MURCIA                68.484      4.859.831      4.928.315            0       68.248      4.729.961      4.798.209  MURCIA
NAVARRA            1.298.640      1.807.262      3.105.902            0    1.287.734      1.767.757      3.055.491  NAVARRA
ORENSE             3.353.603        119.657      3.473.260      103.019    3.196.725        114.336      3.311.061  ORENSE
ASTURIAS           1.423.913     10.832.072     12.255.985       71.756    1.329.771     10.164.449     11.494.220  ASTURIAS
PALENCIA             295.900      1.460.216      1.756.116            0      295.050      1.361.431      1.656.481  PALENCIA
LAS PALMAS           158.291      2.923.263      3.081.554            0      157.331      2.763.352      2.920.683  LAS PALMAS
PONTEVEDRA           242.418        111.577        353.995            0      240.800        107.702        348.502  PONTEVEDRA
SALAMANCA          3.316.883         39.800      3.356.683      470.190    2.821.191         39.514      2.860.705  SALAMANCA
S.C.TENERIFE         104.658      2.324.969      2.429.627            0      104.191      2.193.369      2.297.560  S.C.TENERIFE
CANTABRIA            573.131        588.643      1.161.774      465.649       92.166        551.188        643.354  CANTABRIA
SEGOVIA               52.132         83.557        135.689            0       51.825         76.385        128.210  SEGOVIA
SEVILLA               50.349        270.824        321.173        8.689       40.415        257.516        297.931  SEVILLA
SORIA                332.388        184.200        516.588            0      330.196        174.284        504.480  SORIA
TARRAGONA            673.004     16.177.009     16.850.013            0      663.292     15.536.832     16.200.124  TARRAGONA
TERUEL                19.759      4.879.565      4.899.324            0       19.612      4.590.837      4.610.449  TERUEL
TOLEDO               190.231      2.706.486      2.896.717            0      188.229      2.634.231      2.822.460  TOLEDO
VALENCIA             486.635      3.715.990      4.202.625      420.094       57.635      3.556.670      3.614.305  VALENCIA
VALLADOLID            46.613        293.342        339.955            0       46.384        280.378        326.762  VALLADOLID
VIZCAYA               84.179      5.117.309      5.201.488            0       83.711      4.982.365      5.066.076  VIZCAYA
ZAMORA             1.844.607          5.902      1.850.509            0    1.834.748          5.902      1.840.650  ZAMORA
ZARAGOZA           1.018.827      1.259.926      2.278.753            0    1.012.598      1.235.682      2.248.280  ZARAGOZA
CEUTA                      0        118.422        118.422            0            0        116.429        116.429  CEUTA
MELILLA                    0        105.576        105.576            0            0        101.213        101.213  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        30.789.771    133.810.395    164.600.166    2.510.937   27.922.362    127.758.222    155.680.584  T O T A L
