
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JULIO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                67.305     153.787       271.062       492.154            0      67.093     153.769       260.092       480.954
ALBACETE             83.218   2.171.514       117.562     2.372.294            0      82.633   2.153.388       112.655     2.348.676
ALICANTE                171           0        48.939        49.110            0         171           0        46.685        46.856
ALMERIA                   0      84.786     2.839.537     2.924.323            0           0      82.242     2.741.280     2.823.522
AVILA                52.666     160.497             0       213.163            0      51.626     157.858             0       209.484
BADAJOZ              76.202           0        27.295       103.497            0      73.809           0        25.055        98.864
BALEARES                  0       2.925     3.704.111     3.707.036            0           0       2.838     3.469.013     3.471.851
BARCELONA            74.371      86.648     4.275.558     4.436.577            0      73.598      86.103     4.105.494     4.265.195
BURGOS               45.015   1.048.578     2.997.409     4.091.002            0      44.795   1.029.226     2.874.311     3.948.332
CACERES             796.221           0     8.939.421     9.735.642       38.187     746.971           0     8.622.935     9.369.906
CADIZ                     0     724.278     9.122.220     9.846.498            0           0     706.947     8.878.321     9.585.268
CASTELLON            51.954     552.046     3.821.924     4.425.924            0      51.565     536.705     3.727.616     4.315.886
CIUDAD REAL               0     211.731     1.327.304     1.539.035            0           0     209.113     1.221.011     1.430.124
CORDOBA              46.704           0       124.724       171.428            0      45.223           0       118.622       163.845
LA CORUÑA           597.993   1.391.200     8.385.729    10.374.922            0     588.450   1.354.779     8.022.416     9.965.645
CUENCA               77.596     828.261       219.148     1.125.005            0      76.296     822.674       207.081     1.106.051
GIRONA               74.684           0       286.187       360.871            0      73.570           0       274.342       347.912
GRANADA              57.987     324.950       314.397       697.334            0      56.146     323.231       302.969       682.346
GUADALAJARA          90.960     483.354     4.403.297     4.977.611      237.780    -149.147     478.560     4.117.097     4.446.510
GUIPUZCOA            29.978           0       756.374       786.352            0      29.561           0       712.452       742.013
HUELVA                    0      42.832     6.664.761     6.707.593            0           0      42.029     6.506.991     6.549.020
HUESCA            1.621.426     353.648       402.307     2.377.381      149.388   1.436.303     347.843       378.358     2.162.504
JAEN                 54.490      15.814       267.278       337.582            0      50.362      15.378       253.055       318.795
LEON                312.605      93.349     6.593.160     6.999.114            0     306.173      91.419     6.121.516     6.519.108
LLEIDA            1.946.177     112.126       568.983     2.627.286      258.054   1.652.093     108.763       539.182     2.300.038
LA RIOJA             79.832     510.762     2.298.299     2.888.893            0      79.706     502.193     2.249.830     2.831.729
LUGO                713.956   1.615.100        42.698     2.371.754            0     704.899   1.581.378        42.088     2.328.365
MADRID               54.468           0       671.340       725.808            0      53.784           0       610.584       664.368
MALAGA              156.177      98.670       129.438       384.285      138.829      11.854      97.531       125.031       234.416
MURCIA               31.460     159.264    10.230.111    10.420.835            0      31.220     156.423     9.893.211    10.080.854
NAVARRA             272.551   1.281.451     2.978.381     4.532.383            0     270.019   1.271.983     2.913.784     4.455.786
ORENSE            1.797.955     366.804       120.454     2.285.213      180.210   1.588.122     364.177       116.686     2.068.985
ASTURIAS            932.310     279.868     6.808.655     8.020.833       50.291     866.762     271.895     6.349.686     7.488.343
PALENCIA             83.417     380.996       411.484       875.897            0      82.725     375.317       379.136       837.178
LAS PALMAS                0     177.475     2.985.339     3.162.814            0           0     176.272     2.813.928     2.990.200
PONTEVEDRA           95.146     494.127       134.414       723.687            0      91.907     484.801       129.514       706.222
SALAMANCA         2.354.041      36.019        11.453     2.401.513      309.577   2.002.016      36.019        11.207     2.049.242
S.C.TENERIFE              0      83.752     2.393.990     2.477.742            0           0      83.047     2.257.184     2.340.231
CANTABRIA           442.944       6.240       623.073     1.072.257      317.383     116.102       6.053       581.934       704.089
SEGOVIA               4.225      48.853        80.615       133.693            0       3.904      48.853        73.648       126.405
SEVILLA             106.219      91.667       229.041       426.927       95.608       9.839      88.916       220.452       319.207
SORIA                 8.617     745.953       155.347       909.917            0       8.535     733.277       146.802       888.614
TARRAGONA           407.960     211.358    20.181.806    20.801.124            0     402.905     204.695    19.409.609    20.017.209
TERUEL               17.269     144.982     6.453.303     6.615.554            0      17.127     140.636     5.958.325     6.116.088
TOLEDO              107.356      91.431     2.742.454     2.941.241            0     105.858      90.031     2.667.976     2.863.865
VALENCIA            493.139      20.789     8.154.595     8.668.523      493.178      -9.393      20.316     7.875.278     7.886.201
VALLADOLID           45.574     114.747       325.568       485.889            0      45.167     111.304       312.441       468.912
VIZCAYA              84.724      97.833     6.349.416     6.531.973            0      84.084      95.829     6.152.527     6.332.440
ZAMORA              764.805     390.580         8.521     1.163.906            0     757.530     383.875         8.456     1.149.861
ZARAGOZA            510.149   1.685.511     2.728.903     4.924.563            0     504.218   1.644.788     2.669.895     4.818.901
CEUTA                     0           0       125.482       125.482            0           0           0       118.971       118.971
MELILLA                   0           0       103.674       103.674            0           0           0        97.917        97.917
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       15.722.017  17.976.556   143.956.541   177.655.114    2.268.485  13.186.181  17.672.474   137.824.649   168.683.304
