
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               JUNIO      2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                143.714        219.323        363.037            0      143.297        211.101        354.398  ALAVA
ALBACETE           1.509.668         97.350      1.607.018            0    1.507.608         93.484      1.601.092  ALBACETE
ALICANTE                   0         56.245         56.245            0            0         53.751         53.751  ALICANTE
ALMERIA                    0      4.207.237      4.207.237            0            0      4.073.621      4.073.621  ALMERIA
AVILA                154.003              0        154.003            0      153.045              0        153.045  AVILA
BADAJOZ               31.544         19.181         50.725            0       30.579         17.725         48.304  BADAJOZ
BALEARES                   0      2.975.434      2.975.434            0            0      2.793.259      2.793.259  BALEARES
BARCELONA            105.364      4.045.977      4.151.341            0      104.705      3.874.069      3.978.774  BARCELONA
BURGOS               559.829      1.992.783      2.552.612            0      551.863      1.905.784      2.457.647  BURGOS
CACERES            1.131.842      8.492.869      9.624.711       39.112    1.080.741      8.194.629      9.275.370  CACERES
CADIZ                198.941      6.826.495      7.025.436            0      195.541      6.642.230      6.837.771  CADIZ
CASTELLON             36.085      2.036.782      2.072.867            0       35.799      1.987.736      2.023.535  CASTELLON
CIUDAD REAL           29.323      1.682.882      1.712.205            0       29.323      1.520.924      1.550.247  CIUDAD REAL
CORDOBA               31.069        990.079      1.021.148            0       30.158        896.607        926.765  CORDOBA
LA CORUÑA          1.598.120      7.875.745      9.473.865            0    1.577.566      7.461.728      9.039.294  LA CORUÑA
CUENCA               615.929        141.658        757.587            0      615.047        133.830        748.877  CUENCA
GIRONA                87.436        238.479        325.915            0       86.198        229.141        315.339  GIRONA
GRANADA               41.443        266.772        308.215            0       40.464        256.414        296.878  GRANADA
GUADALAJARA          433.387      3.852.556      4.285.943      256.172      173.716      3.596.777      3.770.493  GUADALAJARA
GUIPUZCOA             24.989        949.334        974.323            0       24.625        901.103        925.728  GUIPUZCOA
HUELVA                 4.882      5.066.130      5.071.012            0        4.882      4.920.365      4.925.247  HUELVA
HUESCA             1.557.177        199.216      1.756.393      146.264    1.381.930        185.520      1.567.450  HUESCA
JAEN                  39.823        194.807        234.630            0       38.859        184.762        223.621  JAEN
LEON                 581.777      6.338.233      6.920.010            0      573.033      5.881.713      6.454.746  LEON
LLEIDA             1.452.622        297.026      1.749.648      266.588    1.158.253        285.408      1.443.661  LLEIDA
LA RIOJA             279.634      2.036.296      2.315.930            0      279.506      1.991.443      2.270.949  LA RIOJA
LUGO               2.283.825         36.352      2.320.177            0    2.254.829         35.811      2.290.640  LUGO
MADRID                68.230        626.684        694.914            0       66.619        576.934        643.553  MADRID
MALAGA               185.717         98.084        283.801      138.014       44.010         95.000        139.010  MALAGA
MURCIA                58.903      3.961.596      4.020.499            0       58.709      3.864.651      3.923.360  MURCIA
NAVARRA            1.095.998      1.427.748      2.523.746            0    1.087.959      1.396.076      2.484.035  NAVARRA
ORENSE             2.971.494        100.298      3.071.792       88.903    2.833.715         95.876      2.929.591  ORENSE
ASTURIAS           1.340.651      9.194.857     10.535.508       59.608    1.260.525      8.630.972      9.891.497  ASTURIAS
PALENCIA             250.332      1.168.097      1.418.429            0      249.602      1.088.640      1.338.242  PALENCIA
LAS PALMAS           141.457      2.494.186      2.635.643            0      140.497      2.358.690      2.499.187  LAS PALMAS
PONTEVEDRA           223.284         93.103        316.387            0      221.849         89.895        311.744  PONTEVEDRA
SALAMANCA          2.883.836         21.210      2.905.046      428.933    2.432.739         21.017      2.453.756  SALAMANCA
S.C.TENERIFE          57.304      1.974.602      2.031.906            0       56.850      1.861.602      1.918.452  S.C.TENERIFE
CANTABRIA            507.943        501.168      1.009.111      395.336       99.103        469.372        568.475  CANTABRIA
SEGOVIA               46.265         72.430        118.695            0       45.992         66.299        112.291  SEGOVIA
SEVILLA               33.260        222.395        255.655        8.689       23.642        214.368        238.010  SEVILLA
SORIA                289.832        159.722        449.554            0      287.894        151.227        439.121  SORIA
TARRAGONA            621.408     13.787.730     14.409.138            0      612.725     13.239.120     13.851.845  TARRAGONA
TERUEL                17.372      4.048.854      4.066.226            0       17.247      3.808.347      3.825.594  TERUEL
TOLEDO               180.783      2.307.406      2.488.189            0      178.923      2.247.460      2.426.383  TOLEDO
VALENCIA             387.554      3.422.719      3.810.273      340.593       39.718      3.287.457      3.327.175  VALENCIA
VALLADOLID            43.222        246.811        290.033            0       43.044        236.001        279.045  VALLADOLID
VIZCAYA               77.265      4.072.994      4.150.259            0       76.836      3.964.274      4.041.110  VIZCAYA
ZAMORA             1.654.308          5.902      1.660.210            0    1.645.477          5.902      1.651.379  ZAMORA
ZARAGOZA             920.339      1.067.054      1.987.393            0      914.726      1.046.436      1.961.162  ZARAGOZA
CEUTA                      0        100.207        100.207            0            0         99.003         99.003  CEUTA
MELILLA                    0         87.826         87.826            0            0         83.694         83.694  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        26.989.183    112.398.924    139.388.107    2.168.212   24.509.968    107.327.248    131.837.216  T O T A L
