
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MARZO      2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 78.399         36.815        115.214            0       78.126         35.442        113.568  ALAVA
ALBACETE             650.609         23.879        674.488            0      650.125         23.060        673.185  ALBACETE
ALICANTE                   0         23.000         23.000            0            0         22.705         22.705  ALICANTE
ALMERIA                    0      1.920.547      1.920.547            0            0      1.861.816      1.861.816  ALMERIA
AVILA                 71.397              0         71.397            0       71.054              0         71.054  AVILA
BADAJOZ                2.043         14.396         16.439            0        1.968         13.410         15.378  BADAJOZ
BALEARES                   0      1.478.956      1.478.956            0            0      1.390.564      1.390.564  BALEARES
BARCELONA             67.359      2.431.523      2.498.882            0       66.817      2.327.066      2.393.883  BARCELONA
BURGOS               198.885      1.322.746      1.521.631            0      196.714      1.269.463      1.466.177  BURGOS
CACERES              136.154      3.867.809      4.003.963       20.593      111.793      3.734.129      3.845.922  CACERES
CADIZ                 42.415      4.555.842      4.598.257            0       41.006      4.437.531      4.478.537  CADIZ
CASTELLON             32.897      1.738.931      1.771.828            0       32.647      1.696.629      1.729.276  CASTELLON
CIUDAD REAL                0        945.432        945.432            0            0        852.373        852.373  CIUDAD REAL
CORDOBA                8.622        499.313        507.935            0        8.269        455.424        463.693  CORDOBA
LA CORUÑA            788.317      4.372.210      5.160.527            0      763.373      4.149.363      4.912.736  LA CORUÑA
CUENCA               276.530         77.525        354.055            0      275.925         73.143        349.068  CUENCA
GIRONA                40.534        113.591        154.125            0       39.968        109.470        149.438  GIRONA
GRANADA                3.348        122.160        125.508            0        3.269        117.528        120.797  GRANADA
GUADALAJARA          133.581      2.597.340      2.730.921      121.847       10.445      2.435.720      2.446.165  GUADALAJARA
GUIPUZCOA             12.326        517.090        529.416            0       12.148        491.629        503.777  GUIPUZCOA
HUELVA                     0      2.265.336      2.265.336            0            0      2.200.111      2.200.111  HUELVA
HUESCA               469.051         67.504        536.555      114.869      342.963         64.420        407.383  HUESCA
JAEN                  14.916        106.344        121.260            0       14.543        101.788        116.331  JAEN
LEON                 138.768      3.604.282      3.743.050            0      136.115      3.354.034      3.490.149  LEON
LLEIDA               472.957        134.985        607.942      162.590      298.083        130.554        428.637  LLEIDA
LA RIOJA             174.776        851.940      1.026.716            0      174.709        829.744      1.004.453  LA RIOJA
LUGO                 912.505         20.631        933.136            0      898.262         20.373        918.635  LUGO
MADRID                12.216        316.728        328.944            0       11.604        295.238        306.842  MADRID
MALAGA               139.814         64.752        204.566      140.084       -2.584         62.691         60.107  MALAGA
MURCIA                26.349      2.501.018      2.527.367            0       26.239      2.449.512      2.475.751  MURCIA
NAVARRA              628.343        740.208      1.368.551            0      625.028        720.971      1.345.999  NAVARRA
ORENSE             1.018.560         38.745      1.057.305       98.967      903.073         36.975        940.048  ORENSE
ASTURIAS             744.079      4.610.916      5.354.995       12.750      718.443      4.342.811      5.061.254  ASTURIAS
PALENCIA              98.801        812.681        911.482            0       98.700        761.740        860.440  PALENCIA
LAS PALMAS            41.302      1.215.230      1.256.532            0       41.302      1.144.410      1.185.712  LAS PALMAS
PONTEVEDRA           114.322         69.817        184.139            0      113.612         67.121        180.733  PONTEVEDRA
SALAMANCA            694.550          1.054        695.604      313.190      374.233          1.012        375.245  SALAMANCA
S.C.TENERIFE          21.211        958.304        979.515            0       20.935        901.021        921.956  S.C.TENERIFE
CANTABRIA            256.523        212.059        468.582      209.790       42.586        198.116        240.702  CANTABRIA
SEGOVIA               10.097          5.473         15.570            0        9.999          5.200         15.199  SEGOVIA
SEVILLA               52.606        121.911        174.517       62.425      -11.204        117.964        106.760  SEVILLA
SORIA                118.837         75.796        194.633            0      118.301         71.602        189.903  SORIA
TARRAGONA            271.166      8.054.601      8.325.767            0      268.226      7.742.674      8.010.900  TARRAGONA
TERUEL                 8.344      2.089.976      2.098.320            0        8.292      1.952.395      1.960.687  TERUEL
TOLEDO                84.578      1.034.770      1.119.348            0       83.730      1.000.561      1.084.291  TOLEDO
VALENCIA             262.940      2.572.567      2.835.507      276.363      -17.875      2.478.283      2.460.408  VALENCIA
VALLADOLID            23.305        120.898        144.203            0       23.100        117.551        140.651  VALLADOLID
VIZCAYA               90.717      3.365.446      3.456.163            0       90.178      3.289.098      3.379.276  VIZCAYA
ZAMORA               463.585         14.707        478.292            0      460.006         14.543        474.549  ZAMORA
ZARAGOZA             487.861        489.960        977.821            0      484.608        479.993        964.601  ZARAGOZA
CEUTA                      0         52.948         52.948            0            0         50.253         50.253  CEUTA
MELILLA                    0         44.386         44.386            0            0         42.074         42.074  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        10.396.495     63.295.078     73.691.573    1.533.468    8.718.854     60.541.298     69.260.152  T O T A L
