
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MARZO      2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                20.003      78.998       120.799       219.800            0      19.924      78.998       116.045       214.967
ALBACETE             28.304   1.130.578        36.718     1.195.600            0      28.082   1.118.977        35.270     1.182.329
ALICANTE                  0           0        18.700        18.700            0           0           0        17.724        17.724
ALMERIA                   0      17.345     1.639.025     1.656.370            0           0      16.825     1.590.209     1.607.034
AVILA                14.229      94.480             0       108.709            0      13.769      92.873             0       106.642
BADAJOZ              13.236           0        11.589        24.825            0      12.206           0        10.601        22.807
BALEARES                  0       1.410     1.514.274     1.515.684            0           0       1.368     1.415.121     1.416.489
BARCELONA            11.547      47.366     2.099.301     2.158.214            0      11.374      47.091     2.017.537     2.076.002
BURGOS               11.401     522.755     1.301.135     1.835.291            0      11.331     513.847     1.248.087     1.773.265
CACERES              99.992           0     4.297.158     4.397.150       13.885      82.551           0     4.149.649     4.232.200
CADIZ                     0     294.134     3.932.060     4.226.194            0           0     286.453     3.828.133     4.114.586
CASTELLON            10.880     284.439     1.392.214     1.687.533            0      10.763     277.126     1.356.717     1.644.606
CIUDAD REAL               0      96.670       473.016       569.686            0           0      95.567       447.002       542.569
CORDOBA               5.316           0        58.519        63.835            0       4.791           0        56.223        61.014
LA CORUÑA           230.572     657.823     3.471.068     4.359.463            0     226.649     641.008     3.303.972     4.171.629
CUENCA               14.161     446.906       110.223       571.290            0      13.806     443.708       103.758       561.272
GIRONA               16.465           0       128.401       144.866            0      16.069           0       123.173       139.242
GRANADA              10.165     156.067       138.194       304.426            0       9.905     155.361       133.145       298.411
GUADALAJARA          45.722     254.631     2.200.825     2.501.178      114.120     -69.563     251.485     2.061.346     2.243.268
GUIPUZCOA            12.452           0       433.280       445.732            0      12.227           0       410.103       422.330
HUELVA                    0      17.448     2.927.479     2.944.927            0           0      17.122     2.860.360     2.877.482
HUESCA              292.193     167.101       176.652       635.946       83.080     200.652     164.074       165.977       530.703
JAEN                  7.200       8.123       121.253       136.576            0       6.906       7.879       115.388       130.173
LEON                 58.744      52.595     3.552.601     3.663.940            0      56.456      51.434     3.293.947     3.401.837
LLEIDA              389.426      54.255       239.730       683.411      134.717     245.210      52.628       228.051       525.889
LA RIOJA             18.117     267.387       896.307     1.181.811            0      18.096     262.931       876.951     1.157.978
LUGO                159.069     762.214        18.628       939.911            0     156.481     744.274        18.378       919.133
MADRID                8.087           0       270.903       278.990            0       7.863           0       245.526       253.389
MALAGA               70.968      44.181        67.385       182.534       85.280     -15.725      43.615        65.304        93.194
MURCIA               11.970      90.834     4.309.679     4.412.483            0      11.864      89.120     4.159.667     4.260.651
NAVARRA              88.864     559.815     1.123.924     1.772.603            0      87.804     556.053     1.099.222     1.743.079
ORENSE              460.586     193.759        51.187       705.532       73.744     376.791     192.254        49.635       618.680
ASTURIAS            250.494     147.160     3.312.532     3.710.186       41.186     204.316     142.311     3.087.658     3.434.285
PALENCIA              8.526     173.360       226.359       408.245            0       8.340     170.772       206.822       385.934
LAS PALMAS                0      47.355     1.300.025     1.347.380            0           0      46.152     1.224.615     1.270.767
PONTEVEDRA           39.285     255.229        49.794       344.308            0      36.797     250.670        47.964       335.431
SALAMANCA           754.175      16.958         2.381       773.514      190.332     556.890      16.958         2.298       576.146
S.C.TENERIFE              0      31.773     1.038.684     1.070.457            0           0      31.094       979.293     1.010.387
CANTABRIA           189.227       1.844       239.687       430.758      193.291      -9.014       1.789       221.571       214.346
SEGOVIA                 445      28.170        38.427        67.042            0         374      28.170        35.334        63.878
SEVILLA              42.559      45.020        71.273       158.852       51.222      -7.949      43.669        68.796       104.516
SORIA                 1.051     364.392        82.383       447.826            0       1.043     358.513        78.267       437.823
TARRAGONA            81.125     109.407     9.668.188     9.858.720            0      80.171     105.841     9.306.174     9.492.186
TERUEL                6.828      73.380     3.570.269     3.650.477            0       6.773      71.179     3.423.134     3.501.086
TOLEDO               41.492      43.740     1.170.952     1.256.184            0      40.891      43.036     1.138.601     1.222.528
VALENCIA            274.375      12.580     3.933.244     4.220.199      302.028     -32.352      12.353     3.805.491     3.785.492
VALLADOLID           15.485      48.317       134.977       198.779            0      15.331      46.867       129.725       191.923
VIZCAYA              27.656      51.933     2.943.421     3.023.010            0      27.412      50.971     2.875.891     2.954.274
ZAMORA              136.681     200.346         8.521       345.548            0     134.463     195.623         8.456       338.542
ZARAGOZA             93.410     755.050       920.524     1.768.984            0      91.789     736.823       897.952     1.726.564
CEUTA                     0           0        54.645        54.645            0           0           0        51.894        51.894
MELILLA                   0           0        49.036        49.036            0           0           0        46.234        46.234
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        4.072.483   8.707.328    65.947.549    78.727.360    1.282.885   2.711.557   8.554.862    63.238.391    74.504.810
