
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                MAYO       2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 22.609         38.123         60.732            0       22.543         36.569         59.112  ALAVA
ALBACETE             262.715         14.930        277.645            0      262.321         14.331        276.652  ALBACETE
ALICANTE                   0          9.654          9.654            0            0          9.275          9.275  ALICANTE
ALMERIA                    0        790.625        790.625            0            0        766.057        766.057  ALMERIA
AVILA                 29.850              0         29.850            0       29.711              0         29.711  AVILA
BADAJOZ                7.228          2.188          9.416            0        7.040          2.124          9.164  BADAJOZ
BALEARES                   0        492.361        492.361            0            0        464.681        464.681  BALEARES
BARCELONA             28.479        628.552        657.031            0       28.283        601.870        630.153  BARCELONA
BURGOS               100.342        438.434        538.776            0       98.567        420.560        519.127  BURGOS
CACERES              141.234      1.450.483      1.591.717        3.541      136.012      1.398.497      1.534.509  CACERES
CADIZ                 31.804      1.054.222      1.086.026            0       31.322      1.024.112      1.055.434  CADIZ
CASTELLON              6.677        373.351        380.028            0        6.626        363.686        370.312  CASTELLON
CIUDAD REAL                0        318.144        318.144            0            0        286.042        286.042  CIUDAD REAL
CORDOBA                8.865        213.896        222.761            0        8.751        195.366        204.117  CORDOBA
LA CORUÑA            215.293      1.397.065      1.612.358            0      212.036      1.324.751      1.536.787  LA CORUÑA
CUENCA               119.595         25.928        145.523            0      119.472         25.029        144.501  CUENCA
GIRONA                19.983         24.851         44.834            0       19.751         23.999         43.750  GIRONA
GRANADA                9.798         43.886         53.684            0        9.591         42.334         51.925  GRANADA
GUADALAJARA           84.886        636.826        721.712       29.741       54.593        593.200        647.793  GUADALAJARA
GUIPUZCOA              4.262        175.793        180.055            0        4.212        167.090        171.302  GUIPUZCOA
HUELVA                     0        815.922        815.922            0            0        791.462        791.462  HUELVA
HUESCA               401.757         43.339        445.096       28.808      365.973         40.055        406.028  HUESCA
JAEN                   9.510         35.120         44.630            0        9.332         33.308         42.640  JAEN
LEON                  76.556      1.094.892      1.171.448            0       75.176      1.012.517      1.087.693  LEON
LLEIDA               440.462         53.293        493.755       46.918      387.051         51.166        438.217  LLEIDA
LA RIOJA              55.701        263.499        319.200            0       55.675        257.735        313.410  LA RIOJA
LUGO                 290.142          5.994        296.136            0      285.975          5.892        291.867  LUGO
MADRID                15.961         94.716        110.677            0       15.189         86.274        101.463  MADRID
MALAGA                28.327         17.958         46.285            0       27.727         17.421         45.148  MALAGA
MURCIA                 7.809        513.406        521.215            0        7.797        500.326        508.123  MURCIA
NAVARRA              224.206        304.928        529.134            0      222.245        297.617        519.862  NAVARRA
ORENSE               290.233         16.728        306.961       25.225      261.077         15.975        277.052  ORENSE
ASTURIAS             206.055      1.525.792      1.731.847        9.274      192.911      1.429.370      1.622.281  ASTURIAS
PALENCIA              43.013        231.471        274.484            0       42.874        215.027        257.901  PALENCIA
LAS PALMAS            27.121        416.472        443.593            0       27.121        394.901        422.022  LAS PALMAS
PONTEVEDRA            27.664         21.308         48.972            0       27.543         20.550         48.093  PONTEVEDRA
SALAMANCA            498.159            434        498.593       98.369      395.736            417        396.153  SALAMANCA
S.C.TENERIFE          11.952        331.394        343.346            0       11.909        313.692        325.601  S.C.TENERIFE
CANTABRIA             88.342         86.353        174.695       75.441        9.837         80.425         90.262  CANTABRIA
SEGOVIA               10.663         12.592         23.255            0       10.579         11.517         22.096  SEGOVIA
SEVILLA                8.203         34.222         42.425            0        7.926         32.907         40.833  SEVILLA
SORIA                 54.232         27.399         81.631            0       53.802         25.923         79.725  SORIA
TARRAGONA            124.178      1.755.883      1.880.061            0      122.126      1.671.194      1.793.320  TARRAGONA
TERUEL                 5.383        733.279        738.662            0        5.353        689.930        695.283  TERUEL
TOLEDO                38.048        297.832        335.880            0       37.766        289.871        327.637  TOLEDO
VALENCIA              68.254         86.541        154.795       48.699       18.438         81.252         99.690  VALENCIA
VALLADOLID             7.786         47.104         54.890            0        7.777         45.091         52.868  VALLADOLID
VIZCAYA                7.823        673.985        681.808            0        7.775        654.039        661.814  VIZCAYA
ZAMORA               298.412              0        298.412            0      296.950              0        296.950  ZAMORA
ZARAGOZA             175.017        174.720        349.737            0      174.158        171.294        345.452  ZARAGOZA
CEUTA                      0         16.356         16.356            0            0         16.356         16.356  CEUTA
MELILLA                    0         15.581         15.581            0            0         14.619         14.619  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         4.634.589     17.877.825     22.512.414      366.016    4.214.629     17.027.696     21.242.325  T O T A L
