
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MAYO       2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                129.001        184.966        313.967            0      128.635        178.314        306.949  ALAVA
ALBACETE           1.334.828         74.894      1.409.722            0    1.332.966         71.971      1.404.937  ALBACETE
ALICANTE                   0         49.010         49.010            0            0         46.895         46.895  ALICANTE
ALMERIA                    0      3.533.611      3.533.611            0            0      3.422.143      3.422.143  ALMERIA
AVILA                130.207              0        130.207            0      129.435              0        129.435  AVILA
BADAJOZ               16.185         14.643         30.828            0       15.520         13.516         29.036  BADAJOZ
BALEARES                   0      2.409.256      2.409.256            0            0      2.259.925      2.259.925  BALEARES
BARCELONA             93.668      3.272.376      3.366.044            0       93.081      3.135.004      3.228.085  BARCELONA
BURGOS               490.058      1.586.051      2.076.109            0      482.698      1.516.799      1.999.497  BURGOS
CACERES              987.359      7.097.262      8.084.621       34.342      942.641      6.849.114      7.791.755  CACERES
CADIZ                158.410      5.268.269      5.426.679            0      155.562      5.123.197      5.278.759  CADIZ
CASTELLON             22.581      1.721.271      1.743.852            0       22.374      1.680.893      1.703.267  CASTELLON
CIUDAD REAL           20.024      1.493.649      1.513.673            0       20.024      1.343.168      1.363.192  CIUDAD REAL
CORDOBA               18.924        787.285        806.209            0       18.172        712.077        730.249  CORDOBA
LA CORUÑA          1.421.099      6.524.329      7.945.428            0    1.402.155      6.180.842      7.582.997  LA CORUÑA
CUENCA               546.125        112.268        658.393            0      545.346        106.156        651.502  CUENCA
GIRONA                62.708        198.107        260.815            0       61.780        190.509        252.289  GIRONA
GRANADA               30.796        213.002        243.798            0       30.042        205.234        235.276  GRANADA
GUADALAJARA          369.497      3.714.650      4.084.147      211.212      155.028      3.480.744      3.635.772  GUADALAJARA
GUIPUZCOA             22.832        791.465        814.297            0       22.491        751.334        773.825  GUIPUZCOA
HUELVA                 2.830      4.054.355      4.057.185            0        2.830      3.935.219      3.938.049  HUELVA
HUESCA             1.224.402        157.887      1.382.289      124.683    1.076.988        147.132      1.224.120  HUESCA
JAEN                  26.402        172.098        198.500            0       25.725        163.447        189.172  JAEN
LEON                 516.583      5.310.179      5.826.762            0      508.927      4.931.883      5.440.810  LEON
LLEIDA             1.119.648        251.043      1.370.691      217.937      879.452        241.214      1.120.666  LLEIDA
LA RIOJA             244.567      1.690.877      1.935.444            0      244.464      1.653.518      1.897.982  LA RIOJA
LUGO               2.042.961         32.276      2.075.237            0    2.017.131         31.772      2.048.903  LUGO
MADRID                52.276        520.815        573.091            0       51.000        479.841        530.841  MADRID
MALAGA               152.158         77.454        229.612      116.434       32.724         75.032        107.756  MALAGA
MURCIA                48.943      3.129.544      3.178.487            0       48.785      3.052.373      3.101.158  MURCIA
NAVARRA              954.708      1.126.401      2.081.109            0      946.780      1.100.867      2.047.647  NAVARRA
ORENSE             2.710.578         81.625      2.792.203       88.229    2.576.834         78.057      2.654.891  ORENSE
ASTURIAS           1.226.157      7.565.465      8.791.622       55.286    1.152.267      7.102.530      8.254.797  ASTURIAS
PALENCIA             215.018        915.120      1.130.138            0      214.403        852.688      1.067.091  PALENCIA
LAS PALMAS           115.214      2.082.797      2.198.011            0      114.254      1.969.140      2.083.394  LAS PALMAS
PONTEVEDRA           195.317         74.353        269.670            0      194.079         71.790        265.869  PONTEVEDRA
SALAMANCA          2.499.846          2.749      2.502.595      355.398    2.125.447          2.642      2.128.089  SALAMANCA
S.C.TENERIFE          47.856      1.643.370      1.691.226            0       47.409      1.549.436      1.596.845  S.C.TENERIFE
CANTABRIA            430.191        415.737        845.928      340.595       77.370        388.805        466.175  CANTABRIA
SEGOVIA               39.364         60.554         99.918            0       39.115         55.450         94.565  SEGOVIA
SEVILLA               19.984        183.264        203.248        1.526       17.865        176.843        194.708  SEVILLA
SORIA                251.583        135.947        387.530            0      249.882        128.830        378.712  SORIA
TARRAGONA            555.574     11.551.729     12.107.303            0      547.878     11.087.561     11.635.439  TARRAGONA
TERUEL                14.601      3.216.050      3.230.651            0       14.496      3.013.674      3.028.170  TERUEL
TOLEDO               157.407      1.823.780      1.981.187            0      155.749      1.776.476      1.932.225  TOLEDO
VALENCIA             320.158      3.199.293      3.519.451      299.943       14.097      3.069.612      3.083.709  VALENCIA
VALLADOLID            36.465        207.349        243.814            0       36.364        198.448        234.812  VALLADOLID
VIZCAYA               67.538      3.163.611      3.231.149            0       67.159      3.078.467      3.145.626  VIZCAYA
ZAMORA             1.443.282          5.902      1.449.184            0    1.435.683          5.902      1.441.585  ZAMORA
ZARAGOZA             826.284        878.208      1.704.492            0      821.272        860.911      1.682.183  ZARAGOZA
CEUTA                      0         83.208         83.208            0            0         82.773         82.773  CEUTA
MELILLA                    0         71.576         71.576            0            0         68.481         68.481  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        23.412.197     92.930.980    116.343.177    1.845.585   21.294.379     88.698.649    109.993.028  T O T A L
