
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                NOVIEMBRE  2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 22.912         41.885         64.797            0       22.868         40.036         62.904  ALAVA
ALBACETE             194.947         15.720        210.667            0      194.855         15.095        209.950  ALBACETE
ALICANTE                   0         10.161         10.161            0            0          9.724          9.724  ALICANTE
ALMERIA                    0        568.666        568.666            0            0        547.343        547.343  ALMERIA
AVILA                 34.501              0         34.501            0       34.325              0         34.325  AVILA
BADAJOZ               12.168          2.698         14.866            0       11.957          2.579         14.536  BADAJOZ
BALEARES                   0        401.600        401.600            0            0        374.933        374.933  BALEARES
BARCELONA             13.838        631.191        645.029            0       13.778        600.980        614.758  BARCELONA
BURGOS               109.732        430.437        540.169            0      108.220        412.176        520.396  BURGOS
CACERES              384.986      1.248.872      1.633.858        8.277      373.745      1.203.607      1.577.352  CACERES
CADIZ                 19.495      1.357.850      1.377.345            0       19.127      1.320.038      1.339.165  CADIZ
CASTELLON              1.642        238.128        239.770            0        1.614        231.762        233.376  CASTELLON
CIUDAD REAL                0         75.210         75.210            0            0         72.311         72.311  CIUDAD REAL
CORDOBA                1.301         94.535         95.836            0        1.199         84.864         86.063  CORDOBA
LA CORUÑA            283.545      1.060.454      1.343.999            0      280.392      1.000.858      1.281.250  LA CORUÑA
CUENCA                90.031         26.618        116.649            0       89.912         24.945        114.857  CUENCA
GIRONA                10.390         36.080         46.470            0       10.231         34.935         45.166  GIRONA
GRANADA                4.403         36.837         41.240            0        4.280         35.413         39.693  GRANADA
GUADALAJARA           70.576        771.415        841.991       33.268       36.855        723.012        759.867  GUADALAJARA
GUIPUZCOA              1.211        125.015        126.226            0        1.187        117.713        118.900  GUIPUZCOA
HUELVA                     0        670.763        670.763            0            0        649.154        649.154  HUELVA
HUESCA               253.498         29.874        283.372       14.615      234.335         28.033        262.368  HUESCA
JAEN                   1.679         24.605         26.284            0        1.594         23.390         24.984  JAEN
LEON                  75.548        858.200        933.748            0       74.525        798.841        873.366  LEON
LLEIDA               175.451         54.510        229.961       39.216      132.004         52.285        184.289  LLEIDA
LA RIOJA              42.759        423.088        465.847            0       42.753        413.350        456.103  LA RIOJA
LUGO                 377.045          5.520        382.565            0      372.774          5.432        378.206  LUGO
MADRID                10.324        105.403        115.727            0       10.105         97.048        107.153  MADRID
MALAGA                42.936         15.836         58.772       39.058        3.022         15.568         18.590  MALAGA
MURCIA                 6.586        579.089        585.675            0        6.556        562.457        569.013  MURCIA
NAVARRA              193.468        247.804        441.272            0      193.321        241.962        435.283  NAVARRA
ORENSE               739.077         16.660        755.737       23.981      707.687         15.877        723.564  ORENSE
ASTURIAS             192.137      1.185.631      1.377.768       11.547      176.551      1.111.902      1.288.453  ASTURIAS
PALENCIA              33.795         55.967         89.762            0       33.778         51.332         85.110  PALENCIA
LAS PALMAS                 0        436.096        436.096            0            0        412.581        412.581  LAS PALMAS
PONTEVEDRA            49.939         15.765         65.704            0       49.601         15.079         64.680  PONTEVEDRA
SALAMANCA            457.112            611        457.723      209.311      243.587            587        244.174  SALAMANCA
S.C.TENERIFE           1.129        333.316        334.445            0        1.128        316.106        317.234  S.C.TENERIFE
CANTABRIA             68.777         85.651        154.428       90.833      -23.235         80.565         57.330  CANTABRIA
SEGOVIA                5.102         11.916         17.018            0        5.089         11.029         16.118  SEGOVIA
SEVILLA                8.294         39.065         47.359            0        8.174         37.660         45.834  SEVILLA
SORIA                 41.891         27.900         69.791            0       41.704         26.416         68.120  SORIA
TARRAGONA             46.506      2.536.853      2.583.359            0       45.923      2.439.823      2.485.746  TARRAGONA
TERUEL                 1.136        554.239        555.375            0        1.127        511.331        512.458  TERUEL
TOLEDO                58.007        260.231        318.238            0       57.678        251.285        308.963  TOLEDO
VALENCIA              81.649        788.173        869.822            0       80.129        758.119        838.248  VALENCIA
VALLADOLID             4.586         58.347         62.933            0        4.528         56.344         60.872  VALLADOLID
VIZCAYA                9.155        756.441        765.596            0        9.105        737.119        746.224  VIZCAYA
ZAMORA               302.967          7.865        310.832            0      301.447          7.764        309.211  ZAMORA
ZARAGOZA              79.363        180.755        260.118            0       78.831        177.039        255.870  ZARAGOZA
CEUTA                      0         17.149         17.149            0            0         16.174         16.174  CEUTA
MELILLA                    0         12.913         12.913            0            0         12.103         12.103  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         4.615.594     17.569.608     22.185.202      470.106    4.098.366     16.786.079     20.884.445  T O T A L
