
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               NOVIEMBRE  2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                222.480        347.345        569.825            0      221.799        335.170        556.969  ALAVA
ALBACETE           1.904.327        100.876      2.005.203            0    1.902.967         96.644      1.999.611  ALBACETE
ALICANTE                   0         85.486         85.486            0            0         83.733         83.733  ALICANTE
ALMERIA                    0      6.608.883      6.608.883            0            0      6.386.069      6.386.069  ALMERIA
AVILA                259.518              0        259.518            0      258.272              0        258.272  AVILA
BADAJOZ              112.455         40.220        152.675            0      109.752         38.011        147.763  BADAJOZ
BALEARES                   0      5.748.182      5.748.182            0            0      5.399.641      5.399.641  BALEARES
BARCELONA            193.297      8.507.796      8.701.093            0      191.980      8.161.481      8.353.461  BARCELONA
BURGOS               723.430      4.610.967      5.334.397            0      714.227      4.415.568      5.129.795  BURGOS
CACERES            1.266.974     13.480.733     14.747.707       46.456    1.204.763     12.992.331     14.197.094  CACERES
CADIZ                209.989     17.447.892     17.657.881            0      204.226     16.980.005     17.184.231  CADIZ
CASTELLON             82.089      5.269.223      5.351.312            0       81.439      5.131.554      5.212.993  CASTELLON
CIUDAD REAL                0      2.700.666      2.700.666            0            0      2.425.253      2.425.253  CIUDAD REAL
CORDOBA               73.262      1.504.850      1.578.112            0       71.814      1.360.444      1.432.258  CORDOBA
LA CORUÑA          2.186.529     14.010.710     16.197.239            0    2.146.031     13.271.284     15.417.315  LA CORUÑA
CUENCA               839.154        238.715      1.077.869            0      837.735        224.962      1.062.697  CUENCA
GIRONA               196.057        412.423        608.480            0      192.175        396.449        588.624  GIRONA
GRANADA               45.226        426.021        471.247            0       44.207        409.502        453.709  GRANADA
GUADALAJARA          564.892      7.888.551      8.453.443      317.617      243.520      7.368.475      7.611.995  GUADALAJARA
GUIPUZCOA             29.685      1.716.867      1.746.552            0       29.363      1.628.996      1.658.359  GUIPUZCOA
HUELVA                     0      8.471.309      8.471.309            0            0      8.219.214      8.219.214  HUELVA
HUESCA             2.490.408        252.954      2.743.362      414.846    2.025.460        239.448      2.264.908  HUESCA
JAEN                 110.535        338.570        449.105            0      108.363        322.846        431.209  JAEN
LEON                 675.862     11.961.816     12.637.678            0      662.857     11.136.833     11.799.690  LEON
LLEIDA             2.069.329        470.537      2.539.866      549.329    1.467.975        452.503      1.920.478  LLEIDA
LA RIOJA             489.627      4.387.090      4.876.717            0      489.446      4.287.843      4.777.289  LA RIOJA
LUGO               2.590.683         66.027      2.656.710            0    2.548.908         65.036      2.613.944  LUGO
MADRID                62.918      1.109.669      1.172.587            0       61.639      1.020.754      1.082.393  MADRID
MALAGA               526.296        194.874        721.170      515.130          212        188.590        188.802  MALAGA
MURCIA                83.735      9.107.815      9.191.550            0       83.372      8.903.519      8.986.891  MURCIA
NAVARRA            1.967.690      3.383.761      5.351.451            0    1.954.525      3.306.724      5.261.249  NAVARRA
ORENSE             3.760.853        380.242      4.141.095      279.258    3.430.620        372.212      3.802.832  ORENSE
ASTURIAS           1.727.122     14.966.384     16.693.506       96.690    1.598.244     14.040.795     15.639.039  ASTURIAS
PALENCIA             399.944      2.359.612      2.759.556            0      399.054      2.211.029      2.610.083  PALENCIA
LAS PALMAS           201.703      4.604.792      4.806.495            0      201.703      4.351.408      4.553.111  LAS PALMAS
PONTEVEDRA           307.584        244.652        552.236            0      305.853        235.152        541.005  PONTEVEDRA
SALAMANCA          2.756.130          6.233      2.762.363    1.048.815    1.679.679          5.987      1.685.666  SALAMANCA
S.C.TENERIFE          86.367      3.645.286      3.731.653            0       85.917      3.441.037      3.526.954  S.C.TENERIFE
CANTABRIA            764.684        916.428      1.681.112      700.922       50.463        859.672        910.135  CANTABRIA
SEGOVIA               35.129         27.952         63.081            0       34.522         26.278         60.800  SEGOVIA
SEVILLA              150.773        441.379        592.152      141.353        5.553        424.373        429.926  SEVILLA
SORIA                371.278        277.517        648.795            0      369.488        261.981        631.469  SORIA
TARRAGONA            632.962     26.894.474     27.527.436            0      626.430     25.762.831     26.389.261  TARRAGONA
TERUEL                25.263      7.135.072      7.160.335            0       25.075      6.633.587      6.658.662  TERUEL
TOLEDO               212.672      3.625.843      3.838.515            0      210.194      3.497.875      3.708.069  TOLEDO
VALENCIA             842.545      8.941.201      9.783.746      689.295      138.774      8.601.816      8.740.590  VALENCIA
VALLADOLID            52.875        424.738        477.613            0       52.335        413.079        465.414  VALLADOLID
VIZCAYA              155.011     10.058.153     10.213.164            0      154.014      9.796.575      9.950.589  VIZCAYA
ZAMORA             1.779.447         30.662      1.810.109            0    1.767.432         30.126      1.797.558  ZAMORA
ZARAGOZA           1.120.327      1.857.836      2.978.163            0    1.112.733      1.816.353      2.929.086  ZARAGOZA
CEUTA                      0        190.790        190.790            0            0        180.339        180.339  CEUTA
MELILLA                    0        163.482        163.482            0            0        154.543        154.543  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        35.359.116    218.083.556    253.442.672    4.799.711   30.105.110    208.365.930    238.471.040  T O T A L
