
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                OCTUBRE    2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 19.303         62.125         81.428            0       19.268         60.113         79.381  ALAVA
ALBACETE             193.173         14.748        207.921            0      193.085         14.141        207.226  ALBACETE
ALICANTE                   0          9.624          9.624            0            0          9.174          9.174  ALICANTE
ALMERIA                    0        467.008        467.008            0            0        450.057        450.057  ALMERIA
AVILA                 33.236              0         33.236            0       33.124              0         33.124  AVILA
BADAJOZ                   82          3.085          3.167            0           43          2.977          3.020  BADAJOZ
BALEARES                   0        491.484        491.484            0            0        462.926        462.926  BALEARES
BARCELONA             15.540        569.177        584.717            0       15.450        546.723        562.173  BARCELONA
BURGOS                92.541        409.838        502.379            0       90.870        391.443        482.313  BURGOS
CACERES               40.448        747.668        788.116        2.760       36.743        721.784        758.527  CACERES
CADIZ                 32.445      1.654.241      1.686.686            0       31.521      1.612.704      1.644.225  CADIZ
CASTELLON              1.226        274.784        276.010            0        1.210        265.267        266.477  CASTELLON
CIUDAD REAL                0        126.133        126.133            0            0        114.121        114.121  CIUDAD REAL
CORDOBA                2.059        178.374        180.433            0        1.997        161.627        163.624  CORDOBA
LA CORUÑA            238.553      1.162.860      1.401.413            0      235.753      1.100.009      1.335.762  LA CORUÑA
CUENCA                91.357         18.845        110.202            0       91.271         17.952        109.223  CUENCA
GIRONA                12.289         40.318         52.607            0       12.124         38.681         50.805  GIRONA
GRANADA                  639         37.690         38.329            0          626         36.213         36.839  GRANADA
GUADALAJARA           86.602        793.397        879.999       34.874       51.125        742.496        793.621  GUADALAJARA
GUIPUZCOA              9.999        161.409        171.408            0        9.975        153.234        163.209  GUIPUZCOA
HUELVA                     0        858.641        858.641            0            0        832.267        832.267  HUELVA
HUESCA               261.577         22.252        283.829       30.181      226.283         20.954        247.237  HUESCA
JAEN                   3.305         25.982         29.287            0        3.210         24.768         27.978  JAEN
LEON                  49.840        960.292      1.010.132            0       48.940        895.084        944.024  LEON
LLEIDA               151.972         34.320        186.292       43.129      104.868         32.693        137.561  LLEIDA
LA RIOJA              38.231        441.544        479.775            0       38.227        431.753        469.980  LA RIOJA
LUGO                 241.033          6.922        247.955            0      237.088          6.821        243.909  LUGO
MADRID                 5.561        104.084        109.645            0        5.468         95.108        100.576  MADRID
MALAGA                41.630         12.940         54.570       44.405       -4.586         12.749          8.163  MALAGA
MURCIA                 6.345        637.672        644.017            0        6.315        621.389        627.704  MURCIA
NAVARRA              168.659        390.396        559.055            0      166.744        381.527        548.271  NAVARRA
ORENSE               425.995         14.721        440.716       31.738      389.413         13.887        403.300  ORENSE
ASTURIAS             142.677      1.349.005      1.491.682       10.758      128.717      1.261.615      1.390.332  ASTURIAS
PALENCIA              32.942        192.014        224.956            0       32.900        180.230        213.130  PALENCIA
LAS PALMAS                 0        453.922        453.922            0            0        430.001        430.001  LAS PALMAS
PONTEVEDRA            35.524         21.483         57.007            0       35.349         20.648         55.997  PONTEVEDRA
SALAMANCA            245.511          1.262        246.773      157.025       85.676          1.214         86.890  SALAMANCA
S.C.TENERIFE           1.141        354.264        355.405            0        1.110        336.399        337.509  S.C.TENERIFE
CANTABRIA             78.718         86.566        165.284       90.833      -13.114         80.486         67.372  CANTABRIA
SEGOVIA                4.667          1.765          6.432            0        4.540          1.679          6.219  SEGOVIA
SEVILLA                3.647         38.936         42.583            0        3.560         37.411         40.971  SEVILLA
SORIA                 42.360         28.362         70.722            0       42.168         26.824         68.992  SORIA
TARRAGONA             41.219      2.560.178      2.601.397            0       40.822      2.448.896      2.489.718  TARRAGONA
TERUEL                 1.344        614.418        615.762            0        1.331        574.821        576.152  TERUEL
TOLEDO                25.057        246.235        271.292            0       24.799        237.424        262.223  TOLEDO
VALENCIA              80.811        860.112        940.923       94.918      -15.610        827.899        812.289  VALENCIA
VALLADOLID             3.905         43.678         47.583            0        3.874         42.437         46.311  VALLADOLID
VIZCAYA               10.156        840.641        850.797            0       10.102        817.406        827.508  VIZCAYA
ZAMORA               216.935          4.787        221.722            0      215.753          4.686        220.439  ZAMORA
ZARAGOZA              62.999        174.468        237.467            0       62.539        170.368        232.907  ZARAGOZA
CEUTA                      0         17.801         17.801            0            0         16.753         16.753  CEUTA
MELILLA                    0         14.585         14.585            0            0         13.750         13.750  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         3.293.253     18.637.056     21.930.309      540.621    2.710.671     17.801.589     20.512.260  T O T A L
