
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               OCTUBRE    2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                199.568        305.460        505.028            0      198.931        295.134        494.065  ALAVA
ALBACETE           1.709.380         85.156      1.794.536            0    1.708.112         81.549      1.789.661  ALBACETE
ALICANTE                   0         75.325         75.325            0            0         74.009         74.009  ALICANTE
ALMERIA                    0      6.040.217      6.040.217            0            0      5.838.726      5.838.726  ALMERIA
AVILA                225.017              0        225.017            0      223.947              0        223.947  AVILA
BADAJOZ              100.287         37.522        137.809            0       97.795         35.432        133.227  BADAJOZ
BALEARES                   0      5.346.582      5.346.582            0            0      5.024.708      5.024.708  BALEARES
BARCELONA            179.459      7.876.605      8.056.064            0      178.202      7.560.501      7.738.703  BARCELONA
BURGOS               613.698      4.180.530      4.794.228            0      606.007      4.003.392      4.609.399  BURGOS
CACERES              881.988     12.231.861     13.113.849       38.179      831.018     11.788.724     12.619.742  CACERES
CADIZ                190.494     16.090.042     16.280.536            0      185.099     15.659.967     15.845.066  CADIZ
CASTELLON             80.447      5.031.095      5.111.542            0       79.825      4.899.792      4.979.617  CASTELLON
CIUDAD REAL                0      2.625.456      2.625.456            0            0      2.352.942      2.352.942  CIUDAD REAL
CORDOBA               71.961      1.410.315      1.482.276            0       70.615      1.275.580      1.346.195  CORDOBA
LA CORUÑA          1.902.984     12.950.256     14.853.240            0    1.865.639     12.270.426     14.136.065  LA CORUÑA
CUENCA               749.123        212.097        961.220            0      747.823        200.017        947.840  CUENCA
GIRONA               185.667        376.343        562.010            0      181.944        361.514        543.458  GIRONA
GRANADA               40.823        389.184        430.007            0       39.927        374.089        414.016  GRANADA
GUADALAJARA          494.316      7.117.136      7.611.452      284.349      206.665      6.645.463      6.852.128  GUADALAJARA
GUIPUZCOA             28.474      1.591.852      1.620.326            0       28.176      1.511.283      1.539.459  GUIPUZCOA
HUELVA                     0      7.800.546      7.800.546            0            0      7.570.060      7.570.060  HUELVA
HUESCA             2.236.910        223.080      2.459.990      400.231    1.791.125        211.415      2.002.540  HUESCA
JAEN                 108.856        313.965        422.821            0      106.769        299.456        406.225  JAEN
LEON                 600.314     11.103.616     11.703.930            0      588.332     10.337.992     10.926.324  LEON
LLEIDA             1.893.878        416.027      2.309.905      510.113    1.335.971        400.218      1.736.189  LLEIDA
LA RIOJA             446.868      3.964.002      4.410.870            0      446.693      3.874.493      4.321.186  LA RIOJA
LUGO               2.213.638         60.507      2.274.145            0    2.176.134         59.604      2.235.738  LUGO
MADRID                52.594      1.004.266      1.056.860            0       51.534        923.706        975.240  MADRID
MALAGA               483.360        179.038        662.398      476.072       -2.810        173.022        170.212  MALAGA
MURCIA                77.149      8.528.726      8.605.875            0       76.816      8.341.062      8.417.878  MURCIA
NAVARRA            1.774.222      3.135.957      4.910.179            0    1.761.204      3.064.762      4.825.966  NAVARRA
ORENSE             3.021.776        363.582      3.385.358      255.277    2.722.933        356.335      3.079.268  ORENSE
ASTURIAS           1.534.985     13.780.753     15.315.738       85.143    1.421.693     12.928.893     14.350.586  ASTURIAS
PALENCIA             366.149      2.303.645      2.669.794            0      365.276      2.159.697      2.524.973  PALENCIA
LAS PALMAS           201.703      4.168.696      4.370.399            0      201.703      3.938.827      4.140.530  LAS PALMAS
PONTEVEDRA           257.645        228.887        486.532            0      256.252        220.073        476.325  PONTEVEDRA
SALAMANCA          2.299.018          5.622      2.304.640      839.504    1.436.092          5.400      1.441.492  SALAMANCA
S.C.TENERIFE          85.238      3.311.970      3.397.208            0       84.789      3.124.931      3.209.720  S.C.TENERIFE
CANTABRIA            695.907        830.777      1.526.684      610.089       73.698        779.107        852.805  CANTABRIA
SEGOVIA               30.027         16.036         46.063            0       29.433         15.249         44.682  SEGOVIA
SEVILLA              142.479        402.314        544.793      141.353       -2.621        386.713        384.092  SEVILLA
SORIA                329.387        249.617        579.004            0      327.784        235.565        563.349  SORIA
TARRAGONA            586.456     24.357.621     24.944.077            0      580.507     23.323.008     23.903.515  TARRAGONA
TERUEL                24.127      6.580.833      6.604.960            0       23.948      6.122.256      6.146.204  TERUEL
TOLEDO               154.665      3.365.612      3.520.277            0      152.516      3.246.590      3.399.106  TOLEDO
VALENCIA             760.896      8.153.028      8.913.924      689.295       58.645      7.843.697      7.902.342  VALENCIA
VALLADOLID            48.289        366.391        414.680            0       47.807        356.735        404.542  VALLADOLID
VIZCAYA              145.856      9.301.712      9.447.568            0      144.909      9.059.456      9.204.365  VIZCAYA
ZAMORA             1.476.480         22.797      1.499.277            0    1.465.985         22.362      1.488.347  ZAMORA
ZARAGOZA           1.040.964      1.677.081      2.718.045            0    1.033.902      1.639.314      2.673.216  ZARAGOZA
CEUTA                      0        173.641        173.641            0            0        164.165        164.165  CEUTA
MELILLA                    0        150.569        150.569            0            0        142.440        142.440  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        30.743.522    200.513.948    231.257.470    4.329.605   26.006.744    191.579.851    217.586.595  T O T A L
