
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                OCTUBRE    2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                 4.625      24.591        39.796        69.012            0       4.600      24.591        38.026        67.217
ALBACETE              1.648     282.969        16.034       300.651            0       1.610     281.794        15.402       298.806
ALICANTE                  0           0         8.613         8.613            0           0           0         8.295         8.295
ALMERIA                   0      21.600       689.900       711.500            0           0      20.969       667.710       688.679
AVILA                 2.485      19.629             0        22.114            0       2.367      19.629             0        21.996
BADAJOZ                 392           0         4.161         4.553            0         325           0         3.955         4.280
BALEARES                  0         470       487.350       487.820            0           0         456       456.707       457.163
BARCELONA            10.343       9.496       751.343       771.182            0      10.258       9.496       722.720       742.474
BURGOS                2.732     129.581       399.014       531.327            0       2.713     129.435       380.871       513.019
CACERES              24.071           0     1.454.622     1.478.693          930      22.388           0     1.402.898     1.425.286
CADIZ                     0      65.658     1.087.084     1.152.742            0           0      64.452     1.054.774     1.119.226
CASTELLON             9.595      72.145       750.410       832.150            0       9.518      69.981       732.877       812.376
CIUDAD REAL               0      38.616       327.458       366.074            0           0      38.387       294.613       333.000
CORDOBA               1.553           0        34.230        35.783            0       1.436           0        32.875        34.311
LA CORUÑA            31.993     159.296     1.386.434     1.577.723            0      31.346     157.481     1.327.879     1.516.706
CUENCA                7.208     115.176        30.481       152.865            0       7.100     115.176        29.225       151.501
GIRONA               10.064           0        15.960        26.024            0       9.860           0        15.125        24.985
GRANADA               3.458      45.355        48.925        97.738            0       3.353      45.027        47.247        95.627
GUADALAJARA          10.550      53.898       793.468       857.916       17.861      -7.568      53.379       742.658       788.469
GUIPUZCOA             1.144       2.431        95.179        98.754            0       1.112       2.431        91.116        94.659
HUELVA                    0       5.397       990.477       995.874            0           0       5.397       967.567       972.964
HUESCA               78.173      37.266        53.546       168.985        3.016      73.163      36.989        49.977       160.129
JAEN                  2.770       2.521        44.754        50.045            0       2.543       2.521        43.114        48.178
LEON                 14.832      12.395     1.123.696     1.150.923            0      14.074      12.395     1.042.728     1.069.197
LLEIDA               86.404      10.858        74.941       172.203       27.044      57.136      10.858        71.047       139.041
LA RIOJA              7.262      77.968       335.624       420.854            0       7.249      77.968       328.474       413.691
LUGO                 54.159     183.768         6.841       244.768            0      53.408     181.055         6.719       241.182
MADRID                6.429           0        98.526       104.955            0       6.330           0        90.232        96.562
MALAGA               15.340       8.161        13.599        37.100       19.905      -4.938       8.124        13.226        16.412
MURCIA                3.180      21.595     1.272.301     1.297.076            0       3.153      21.595     1.244.944     1.269.692
NAVARRA              15.528     177.240       345.588       538.356            0      15.430     177.240       337.983       530.653
ORENSE              178.844      58.650        16.056       253.550       20.977     154.693      58.581        15.510       228.784
ASTURIAS             62.264      41.116     1.225.386     1.328.766        7.605      53.439      40.231     1.155.397     1.249.067
PALENCIA              2.816      71.552        49.159       123.527            0       2.756      71.173        45.440       119.369
LAS PALMAS                0      15.326       443.716       459.042            0           0      15.326       419.100       434.426
PONTEVEDRA            1.059      67.069        22.152        90.280            0       1.026      65.773        21.335        88.134
SALAMANCA           226.378       6.027        17.117       249.522       31.429     192.799       6.027        17.031       215.857
S.C.TENERIFE              0      28.050       351.782       379.832            0           0      28.049       331.568       359.617
CANTABRIA            56.560       1.648        84.193       142.401       51.170       4.474       1.648        78.783        84.905
SEGOVIA                 334       7.552        10.777        18.663            0         334       7.552         9.795        17.681
SEVILLA              10.345       8.625        45.460        64.430       11.157      -1.198       8.625        43.906        51.333
SORIA                   237      57.353        10.886        68.476            0         235      57.098        10.200        67.533
TARRAGONA            50.601      35.795     2.221.654     2.308.050            0      50.136      34.855     2.128.223     2.213.214
TERUEL                2.550      19.095       705.478       727.123            0       2.529      18.959       657.368       678.856
TOLEDO               22.902      10.612       393.964       427.478            0      22.510      10.498       383.945       416.953
VALENCIA            104.633       2.611       948.451     1.055.695      107.945      -4.951       2.611       913.335       910.995
VALLADOLID            3.535      17.381        50.463        71.379            0       3.501      17.381        48.450        69.332
VIZCAYA                   0      13.952       668.614       682.566            0           0      13.952       650.382       664.334
ZAMORA               77.834      59.776         2.847       140.457            0      77.035      59.776         2.847       139.658
ZARAGOZA             52.878     229.009       178.507       460.394            0      52.223     224.724       175.329       452.276
CEUTA                     0           0        18.007        18.007            0           0           0        17.013        17.013
MELILLA                   0           0        17.004        17.004            0           0           0        16.006        16.006
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L        1.259.708   2.329.279    20.262.028    23.851.015      299.039     939.507   2.309.665    19.401.947    22.651.119
