
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               OCTUBRE    2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                80.388     209.643       361.836       651.867            0      80.130     209.625       346.382       636.137
ALBACETE             95.645   2.931.796       151.525     3.178.966            0      94.885   2.910.160       145.228     3.150.273
ALICANTE                171           0        68.341        68.512            0         171           0        65.359        65.530
ALMERIA                   0     149.557     4.428.821     4.578.378            0           0     145.103     4.274.331     4.419.434
AVILA                70.845     212.937             0       283.782            0      69.446     209.909             0       279.355
BADAJOZ             106.039           0        38.861       144.900            0     102.740           0        35.841       138.581
BALEARES                  0       4.185     5.471.206     5.475.391            0           0       4.060     5.127.702     5.131.762
BARCELONA           109.328     112.041     6.528.040     6.749.409            0     108.228     111.377     6.268.599     6.488.204
BURGOS               54.873   1.372.780     4.194.107     5.621.760            0      54.593   1.349.296     4.016.973     5.420.862
CACERES           1.087.458           0    13.200.029    14.287.487       39.465   1.033.564           0    12.727.928    13.761.492
CADIZ                     0     940.754    13.026.867    13.967.621            0           0     918.795    12.445.892    13.364.687
CASTELLON            78.704     742.073     6.152.590     6.973.367            0      78.122     721.032     6.005.439     6.804.593
CIUDAD REAL               0     293.022     2.134.632     2.427.654            0           0     289.920     1.947.672     2.237.592
CORDOBA              63.033           0       189.683       252.716            0      61.032           0       180.499       241.531
LA CORUÑA           673.579   1.845.746    13.041.982    15.561.307            0     662.337   1.802.979    12.504.685    14.970.001
CUENCA               98.282   1.115.702       298.614     1.512.598            0      96.722   1.108.755       283.567     1.489.044
GIRONA              114.604           0       360.451       475.055            0     112.764           0       345.279       458.043
GRANADA              65.222     446.238       448.946       960.406            0      63.174     443.719       432.823       939.716
GUADALAJARA         125.538     637.333     6.745.964     7.508.835      297.987    -175.522     631.022     6.308.808     6.764.308
GUIPUZCOA            31.218       2.431     1.004.002     1.037.651            0      30.763       2.431       947.541       980.735
HUELVA                    0      59.435     9.618.922     9.678.357            0           0      58.427     9.392.998     9.451.425
HUESCA            2.028.296     471.321       564.321     3.063.938      182.820   1.800.588     464.695       529.450     2.794.733
JAEN                 79.621      21.359       353.899       454.879            0      73.805      20.923       335.996       430.724
LEON                414.488     125.652     9.641.323    10.181.463            0     405.754     123.588     8.948.471     9.477.813
LLEIDA            2.380.291     147.224       793.633     3.321.148      320.232   2.015.641     143.134       752.086     2.910.861
LA RIOJA            107.593     694.600     3.125.645     3.927.838            0     107.416     684.243     3.059.347     3.851.006
LUGO                911.770   2.193.529        61.625     3.166.924            0     900.378   2.151.069        60.731     3.112.178
MADRID               82.595           0       929.536     1.012.131            0      81.534           0       849.009       930.543
MALAGA              206.102     128.918       166.499       501.519      195.544       3.732     127.359       160.962       292.053
MURCIA               47.483     207.434    14.001.997    14.256.914            0      47.142     204.146    13.558.544    13.809.832
NAVARRA             318.398   1.823.714     4.323.863     6.465.975            0     315.601   1.811.836     4.230.513     6.357.950
ORENSE            2.402.761     479.589       153.370     3.035.720      246.177   2.118.054     476.586       148.564     2.743.204
ASTURIAS          1.084.502     387.279     9.819.586    11.291.367       64.481   1.001.368     377.045     9.176.788    10.555.201
PALENCIA            130.986     542.515       748.099     1.421.600            0     129.934     535.166       694.825     1.359.925
LAS PALMAS                0     259.765     4.309.782     4.569.547            0           0     258.562     4.065.143     4.323.705
PONTEVEDRA           98.256     636.873       198.689       933.818            0      94.913     624.728       191.415       911.056
SALAMANCA         2.835.497      50.285        39.585     2.925.367      342.815   2.444.222      50.285        39.150     2.533.657
S.C.TENERIFE              0     142.336     3.459.911     3.602.247            0           0     141.614     3.262.564     3.404.178
CANTABRIA           560.878       9.386       890.537     1.460.801      442.235     107.247       9.154       832.286       948.687
SEGOVIA               5.632      65.778       112.382       183.792            0       5.231      65.778       102.336       173.345
SEVILLA             141.442     117.825       363.809       623.076      125.403      13.432     114.437       350.116       477.985
SORIA                12.505     948.781       185.358     1.146.644            0      12.393     933.317       174.757     1.120.467
TARRAGONA           546.414     295.172    27.175.814    28.017.400            0     539.953     286.752    26.118.929    26.945.634
TERUEL               24.622     194.497     8.603.706     8.822.825            0      24.418     189.106     7.972.823     8.186.347
TOLEDO              143.732     118.907     3.896.877     4.159.516            0     141.519     117.286     3.791.830     4.050.635
VALENCIA            752.917      26.049    11.011.873    11.790.839      737.200       1.784      25.496    10.625.958    10.653.238
VALLADOLID           55.108     160.195       459.587       674.890            0      54.606     155.910       440.451       650.967
VIZCAYA              97.157     129.567     8.864.585     9.091.309            0      96.398     127.138     8.605.148     8.828.684
ZAMORA            1.022.176     526.169        11.368     1.559.713            0   1.012.472     518.671        11.303     1.542.446
ZARAGOZA            654.364   2.317.394     3.676.805     6.648.563            0     646.824   2.263.955     3.602.040     6.512.819
CEUTA                     0           0       180.623       180.623            0           0           0       171.107       171.107
MELILLA                   0           0       159.323       159.323            0           0           0       150.315       150.315
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       20.000.513  24.297.786   205.749.429   250.047.728    2.994.359  16.669.508  23.918.589   196.816.503   237.404.600
