
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                SEPTIEMBRE 2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 15.276         36.898         52.174            0       15.253         35.151         50.404  ALAVA
ALBACETE             106.494         18.250        124.744            0      106.320         17.403        123.723  ALBACETE
ALICANTE                   0          4.675          4.675            0            0          4.583          4.583  ALICANTE
ALMERIA                    0        615.114        615.114            0            0        591.935        591.935  ALMERIA
AVILA                 17.183              0         17.183            0       17.023              0         17.023  AVILA
BADAJOZ                2.185          4.758          6.943            0        1.957          4.242          6.199  BADAJOZ
BALEARES                   0        558.883        558.883            0            0        525.962        525.962  BALEARES
BARCELONA             11.397        590.850        602.247            0       11.322        561.852        573.174  BARCELONA
BURGOS                94.240        419.088        513.328            0       92.459        401.088        493.547  BURGOS
CACERES               76.532      1.383.103      1.459.635           64       75.464      1.333.059      1.408.523  CACERES
CADIZ                 30.419      1.341.818      1.372.237            0       29.902      1.306.457      1.336.359  CADIZ
CASTELLON              5.068        164.821        169.889            0        5.025        159.973        164.998  CASTELLON
CIUDAD REAL            7.461        369.622        377.083            0        7.461        332.279        339.740  CIUDAD REAL
CORDOBA                3.474        218.497        221.971            0        3.344        198.600        201.944  CORDOBA
LA CORUÑA            201.680      1.297.052      1.498.732            0      200.128      1.226.433      1.426.561  LA CORUÑA
CUENCA                49.134         33.931         83.065            0       49.060         31.932         80.992  CUENCA
GIRONA                11.623         24.039         35.662            0       11.394         23.022         34.416  GIRONA
GRANADA                6.873         59.573         66.446            0        6.751         56.636         63.387  GRANADA
GUADALAJARA           55.083        763.000        818.083       38.953       15.727        713.875        729.602  GUADALAJARA
GUIPUZCOA              1.835        160.077        161.912            0        1.807        152.014        153.821  GUIPUZCOA
HUELVA                 1.284        772.617        773.901            0        1.284        748.159        749.443  HUELVA
HUESCA               143.781         49.554        193.335       19.577      121.530         46.105        167.635  HUESCA
JAEN                   5.579         42.573         48.152            0        5.408         40.002         45.410  JAEN
LEON                  43.244      1.072.240      1.115.484            0       42.554        996.536      1.039.090  LEON
LLEIDA               139.937         45.178        185.115       27.743      109.094         43.387        152.481  LLEIDA
LA RIOJA              35.641        382.717        418.358            0       35.630        373.923        409.553  LA RIOJA
LUGO                 280.171          5.526        285.697            0      276.592          5.433        282.025  LUGO
MADRID                 9.873         93.651        103.524            0        9.793         85.944         95.737  MADRID
MALAGA                23.149         27.323         50.472       17.710        4.998         26.488         31.486  MALAGA
MURCIA                 8.059        758.057        766.116            0        8.017        737.500        745.517  MURCIA
NAVARRA              194.039        314.666        508.705            0      192.625        307.723        500.348  NAVARRA
ORENSE               188.276         17.863        206.139       26.372      158.954         17.222        176.176  ORENSE
ASTURIAS              74.010      1.447.384      1.521.394       12.805       59.411      1.351.330      1.410.741  ASTURIAS
PALENCIA              32.565        285.874        318.439            0       32.440        266.874        299.314  PALENCIA
LAS PALMAS            10.913        432.605        443.518            0       10.913        408.409        419.322  LAS PALMAS
PONTEVEDRA            16.181         16.518         32.699            0       16.138         15.906         32.044  PONTEVEDRA
SALAMANCA            367.958         16.347        384.305       36.836      328.132         16.256        344.388  SALAMANCA
S.C.TENERIFE          27.678        349.905        377.583            0       27.675        331.260        358.935  S.C.TENERIFE
CANTABRIA             71.275         80.437        151.712       86.405      -16.922         75.051         58.129  CANTABRIA
SEGOVIA                5.125         11.178         16.303            0        5.089         10.154         15.243  SEGOVIA
SEVILLA               84.605         35.202        119.807        9.650       74.581         33.847        108.428  SEVILLA
SORIA                 34.702         20.787         55.489            0       34.473         19.419         53.892  SORIA
TARRAGONA             53.439      2.717.950      2.771.389            0       52.822      2.602.434      2.655.256  TARRAGONA
TERUEL                 2.049        879.703        881.752            0        2.010        842.755        844.765  TERUEL
TOLEDO                16.857        446.326        463.183            0       16.682        433.846        450.528  TOLEDO
VALENCIA              69.576      1.220.032      1.289.608       70.211       -1.948      1.177.270      1.175.322  VALENCIA
VALLADOLID             2.882         41.405         44.287            0        2.850         39.511         42.361  VALLADOLID
VIZCAYA                6.828        888.021        894.849            0        6.749        867.979        874.728  VIZCAYA
ZAMORA               133.875              0        133.875            0      133.068              0        133.068  ZAMORA
ZARAGOZA              83.181        184.972        268.153            0       82.581        181.780        264.361  ZARAGOZA
CEUTA                      0         17.414         17.414            0            0         16.729         16.729  CEUTA
MELILLA                    0         17.570         17.570            0            0         16.527         16.527  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.862.689     20.755.644     23.618.333      346.326    2.483.620     19.812.255     22.295.875  T O T A L
