
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               SEPTIEMBRE 2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                196.591        320.457        517.048            0      195.999        307.664        503.663  ALAVA
ALBACETE           2.012.599        158.319      2.170.918            0    2.009.915        151.626      2.161.541  ALBACETE
ALICANTE                   0         69.212         69.212            0            0         66.483         66.483  ALICANTE
ALMERIA                    0      6.338.526      6.338.526            0            0      6.132.052      6.132.052  ALMERIA
AVILA                224.528              0        224.528            0      223.183              0        223.183  AVILA
BADAJOZ               73.963         32.091        106.054            0       72.021         29.367        101.388  BADAJOZ
BALEARES                   0      4.849.730      4.849.730            0            0      4.557.911      4.557.911  BALEARES
BARCELONA            136.395      6.051.998      6.188.393            0      135.542      5.783.338      5.918.880  BARCELONA
BURGOS               846.816      3.260.811      4.107.627            0      833.605      3.119.543      3.953.148  BURGOS
CACERES            1.721.502     12.729.415     14.450.917       41.546    1.662.724     12.277.576     13.940.300  CACERES
CADIZ                319.240     11.171.588     11.490.828            0      314.113     10.873.905     11.188.018  CADIZ
CASTELLON             62.307      2.809.028      2.871.335            0       61.822      2.739.301      2.801.123  CASTELLON
CIUDAD REAL           57.856      2.710.026      2.767.882            0       57.856      2.445.821      2.503.677  CIUDAD REAL
CORDOBA               62.684      1.627.308      1.689.992            0       61.122      1.474.409      1.535.531  CORDOBA
LA CORUÑA          2.109.150     11.742.491     13.851.641            0    2.081.903     11.125.184     13.207.087  LA CORUÑA
CUENCA               821.076        221.917      1.042.993            0      819.737        209.890      1.029.627  CUENCA
GIRONA               128.121        330.375        458.496            0      126.229        315.891        442.120  GIRONA
GRANADA               67.063        438.102        505.165            0       65.698        420.180        485.878  GRANADA
GUADALAJARA          619.157      6.188.625      6.807.782      411.156      202.769      5.781.946      5.984.715  GUADALAJARA
GUIPUZCOA             27.993      1.435.534      1.463.527            0       27.575      1.362.927      1.390.502  GUIPUZCOA
HUELVA                11.321      7.797.791      7.809.112            0       11.321      7.577.449      7.588.770  HUELVA
HUESCA             2.184.130        340.491      2.524.621      184.417    1.960.101        316.720      2.276.821  HUESCA
JAEN                  83.687        307.474        391.161            0       80.845        291.532        372.377  JAEN
LEON                 818.593      9.708.741     10.527.334            0      806.743      9.005.135      9.811.878  LEON
LLEIDA             1.948.256        436.974      2.385.230      360.336    1.548.651        419.334      1.967.985  LLEIDA
LA RIOJA             411.900      3.193.246      3.605.146            0      411.709      3.122.181      3.533.890  LA RIOJA
LUGO               3.009.865         51.456      3.061.321            0    2.971.824         50.681      3.022.505  LUGO
MADRID               108.920        905.247      1.014.167            0      106.603        833.390        939.993  MADRID
MALAGA               280.949        173.776        454.725      206.163       68.982        168.444        237.426  MALAGA
MURCIA                85.230      6.309.003      6.394.233            0       84.934      6.136.310      6.221.244  MURCIA
NAVARRA            1.713.898      2.421.608      4.135.506            0    1.699.337      2.368.052      4.067.389  NAVARRA
ORENSE             3.791.661        157.353      3.949.014      156.443    3.575.432        150.471      3.725.903  ORENSE
ASTURIAS           1.576.957     13.875.508     15.452.465       84.561    1.466.486     13.009.737     14.476.223  ASTURIAS
PALENCIA             381.509      2.045.956      2.427.465            0      380.376      1.908.527      2.288.903  PALENCIA
LAS PALMAS           170.297      3.792.952      3.963.249            0      169.337      3.582.355      3.751.692  LAS PALMAS
PONTEVEDRA           281.503        146.474        427.977            0      279.813        141.357        421.170  PONTEVEDRA
SALAMANCA          4.064.280         74.993      4.139.273      544.140    3.488.584         74.518      3.563.102  SALAMANCA
S.C.TENERIFE         134.544      3.030.665      3.165.209            0      134.062      2.861.390      2.995.452  S.C.TENERIFE
CANTABRIA            705.997        748.831      1.454.828      629.938       57.451        701.207        758.658  CANTABRIA
SEGOVIA               65.948        105.893        171.841            0       65.551         96.670        162.221  SEGOVIA
SEVILLA              155.449        350.454        505.903       29.340      123.045        333.964        457.009  SEVILLA
SORIA                417.678        219.017        636.695            0      414.933        206.718        621.651  SORIA
TARRAGONA            780.205     21.108.136     21.888.341            0      768.817     20.263.999     21.032.816  TARRAGONA
TERUEL                24.375      6.407.900      6.432.275            0       24.148      6.048.790      6.072.938  TERUEL
TOLEDO               217.961      3.552.063      3.770.024            0      215.653      3.453.893      3.669.546  TOLEDO
VALENCIA             654.097      5.330.869      5.984.966      582.380       59.896      5.103.217      5.163.113  VALENCIA
VALLADOLID            52.576        375.567        428.143            0       52.280        358.879        411.159  VALLADOLID
VIZCAYA               97.260      6.809.451      6.906.711            0       96.661      6.633.667      6.730.328  VIZCAYA
ZAMORA             2.159.171          5.902      2.165.073            0    2.147.539          5.902      2.153.441  ZAMORA
ZARAGOZA           1.206.578      1.608.723      2.815.301            0    1.199.133      1.578.257      2.777.390  ZARAGOZA
CEUTA                      0        153.932        153.932            0            0        150.546        150.546  CEUTA
MELILLA                    0        141.176        141.176            0            0        134.713        134.713  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        37.081.836    174.173.175    211.255.011    3.230.420   33.422.060    166.263.019    199.685.079  T O T A L
