
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               SEPTIEMBRE 2008
       CENTRALES DE 1.000 kW O MAS


                         PRODUCCION BRUTA EXPRESADA EN MWh                              PRODUCCION DISPONIBLE EXPRESADA EN MWh
                ---------------------------------------------------              --------------------------------------------------
PROVINCIA       HIDROELECT.    EOLICA   TERMOELECT.       TOTAL         BOMBEO   HIDROELECT.    EOLICA    TERMOELECT.      TOTAL
--------------- ----------- ----------- ------------- ------------- -----------  ------------ ----------- ------------  ------------
ALAVA                75.763     185.052       322.040       582.855            0      75.530     185.034       308.356       568.920
ALBACETE             93.997   2.648.827       135.491     2.878.315            0      93.275   2.628.366       129.826     2.851.467
ALICANTE                171           0        59.728        59.899            0         171           0        57.064        57.235
ALMERIA                   0     127.957     3.738.921     3.866.878            0           0     124.134     3.606.621     3.730.755
AVILA                68.360     193.308             0       261.668            0      67.079     190.280             0       257.359
BADAJOZ             105.647           0        34.700       140.347            0     102.415           0        31.886       134.301
BALEARES                  0       3.715     4.983.856     4.987.571            0           0       3.604     4.670.995     4.674.599
BARCELONA            98.985     102.545     5.776.697     5.978.227            0      97.970     101.881     5.545.879     5.745.730
BURGOS               52.141   1.243.199     3.795.093     5.090.433            0      51.880   1.219.861     3.636.102     4.907.843
CACERES           1.063.387           0    11.745.407    12.808.794       38.535   1.011.176           0    11.325.030    12.336.206
CADIZ                     0     875.096    11.939.783    12.814.879            0           0     854.343    11.391.118    12.245.461
CASTELLON            69.109     669.928     5.402.180     6.141.217            0      68.604     651.051     5.272.562     5.992.217
CIUDAD REAL               0     254.406     1.807.174     2.061.580            0           0     251.533     1.653.059     1.904.592
CORDOBA              61.480           0       155.453       216.933            0      59.596           0       147.624       207.220
LA CORUÑA           641.586   1.686.450    11.655.548    13.983.584            0     630.991   1.645.498    11.176.806    13.453.295
CUENCA               91.074   1.000.526       268.133     1.359.733            0      89.622     993.579       254.342     1.337.543
GIRONA              104.540           0       344.491       449.031            0     102.904           0       330.154       433.058
GRANADA              61.764     400.883       400.021       862.668            0      59.821     398.692       385.576       844.089
GUADALAJARA         114.988     583.435     5.952.496     6.650.919      280.126    -167.954     577.643     5.566.150     5.975.839
GUIPUZCOA            30.074           0       908.823       938.897            0      29.651           0       856.425       886.076
HUELVA                    0      54.038     8.628.445     8.682.483            0           0      53.030     8.425.431     8.478.461
HUESCA            1.950.123     434.055       510.775     2.894.953      179.804   1.727.425     427.706       479.473     2.634.604
JAEN                 76.851      18.838       309.145       404.834            0      71.262      18.402       292.882       382.546
LEON                399.656     113.257     8.517.627     9.030.540            0     391.680     111.193     7.905.743     8.408.616
LLEIDA            2.293.887     136.366       718.692     3.148.945      293.188   1.958.505     132.276       681.039     2.771.820
LA RIOJA            100.331     616.632     2.790.021     3.506.984            0     100.167     606.275     2.730.873     3.437.315
LUGO                857.611   2.009.761        54.784     2.922.156            0     846.970   1.970.014        54.012     2.870.996
MADRID               76.166           0       831.010       907.176            0      75.204           0       758.777       833.981
MALAGA              190.762     120.757       152.900       464.419      175.639       8.670     119.235       147.736       275.641
MURCIA               44.303     185.839    12.729.696    12.959.838            0      43.989     182.551    12.313.600    12.540.140
NAVARRA             302.870   1.646.474     3.978.275     5.927.619            0     300.171   1.634.596     3.892.530     5.827.297
ORENSE            2.223.917     420.939       137.314     2.782.170      225.200   1.963.361     418.005       133.054     2.514.420
ASTURIAS          1.022.238     346.163     8.594.200     9.962.601       56.876     947.929     336.814     8.021.391     9.306.134
PALENCIA            128.170     470.963       698.940     1.298.073            0     127.178     463.993       649.385     1.240.556
LAS PALMAS                0     244.439     3.866.066     4.110.505            0           0     243.236     3.646.043     3.889.279
PONTEVEDRA           97.197     569.804       176.537       843.538            0      93.887     558.955       170.080       822.922
SALAMANCA         2.609.119      44.258        22.468     2.675.845      311.386   2.251.423      44.258        22.119     2.317.800
S.C.TENERIFE              0     114.286     3.108.129     3.222.415            0           0     113.565     2.930.996     3.044.561
CANTABRIA           504.318       7.738       806.344     1.318.400      391.065     102.773       7.506       753.503       863.782
SEGOVIA               5.298      58.226       101.605       165.129            0       4.897      58.226        92.541       155.664
SEVILLA             131.097     109.200       318.349       558.646      114.246      14.630     105.812       306.210       426.652
SORIA                12.268     891.428       174.472     1.078.168            0      12.158     876.219       164.557     1.052.934
TARRAGONA           495.813     259.377    24.954.160    25.709.350            0     489.817     251.897    23.990.706    24.732.420
TERUEL               22.072     175.402     7.898.228     8.095.702            0      21.889     170.147     7.315.455     7.507.491
TOLEDO              120.830     108.295     3.502.913     3.732.038            0     119.009     106.788     3.407.885     3.633.682
VALENCIA            648.284      23.438    10.063.422    10.735.144      629.255       6.735      22.885     9.712.623     9.742.243
VALLADOLID           51.573     142.814       409.124       603.511            0      51.105     138.529       392.001       581.635
VIZCAYA              97.157     115.615     8.195.971     8.408.743            0      96.398     113.186     7.954.766     8.164.350
ZAMORA              944.342     466.393         8.521     1.419.256            0     935.437     458.895         8.456     1.402.788
ZARAGOZA            601.486   2.088.385     3.498.298     6.188.169            0     594.601   2.039.231     3.426.711     6.060.543
CEUTA                     0           0       162.616       162.616            0           0           0       154.094       154.094
MELILLA                   0           0       142.319       142.319            0           0           0       134.309       134.309
                ----------- ----------- ------------- ------------- -----------  ----------- ----------- -------------  ------------
T  O T A L       18.740.805  21.968.507   185.487.401   226.196.713    2.695.320  15.730.001  21.608.924   177.414.556   214.753.481
